# Residuals   
# Time        	Ux            	Uz            	p             	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	2.057490e-01
2             	5.154621e-01	6.882484e-01	5.349336e-02	1.396294e-01	1.199331e-02
3             	1.314524e-01	5.122545e-01	6.238906e-02	5.579373e-02	5.639646e-03
4             	8.866078e-02	4.627966e-01	6.717448e-02	3.848439e-02	1.689715e-02
5             	7.896483e-02	4.181035e-01	7.159657e-02	2.565180e-02	8.382646e-03
6             	6.556574e-02	3.742108e-01	7.561701e-02	1.893325e-02	7.925452e-03
7             	5.262173e-02	3.284846e-01	8.044530e-02	1.498946e-02	6.187238e-03
8             	4.347609e-02	2.858269e-01	8.464709e-02	1.232367e-02	5.357314e-03
9             	3.736572e-02	2.495628e-01	8.855770e-02	1.044599e-02	4.012236e-03
10            	3.217889e-02	2.208920e-01	8.620090e-02	9.091765e-03	3.139750e-03
11            	2.769444e-02	1.939296e-01	8.957049e-02	8.113192e-03	2.746465e-03
12            	2.429410e-02	1.705611e-01	9.136372e-02	7.336567e-03	2.456627e-03
13            	2.179477e-02	1.481154e-01	9.121066e-02	6.733090e-03	2.030038e-03
14            	1.875310e-02	1.266894e-01	9.131120e-02	6.268722e-03	1.783268e-03
15            	1.618089e-02	1.104103e-01	8.884697e-02	5.903738e-03	1.638197e-03
16            	1.441621e-02	9.700122e-02	8.733556e-02	5.634721e-03	1.360985e-03
17            	1.247313e-02	8.270467e-02	8.729026e-02	5.436635e-03	1.232785e-03
18            	1.084735e-02	7.165624e-02	8.476582e-02	5.403693e-03	9.879141e-04
19            	9.890210e-03	6.423697e-02	8.536617e-02	5.385672e-03	8.797123e-04
20            	9.252170e-03	5.792102e-02	8.424376e-02	5.394766e-03	7.234333e-04
21            	8.727933e-03	5.242128e-02	8.279275e-02	5.475499e-03	6.413128e-04
22            	8.429920e-03	4.833267e-02	8.219998e-02	5.498381e-03	5.703553e-04
23            	8.058206e-03	4.552064e-02	8.002516e-02	5.523983e-03	4.647328e-04
24            	7.695632e-03	4.273257e-02	7.819756e-02	5.429639e-03	3.919422e-04
25            	7.181885e-03	3.966627e-02	7.660969e-02	5.289952e-03	3.467936e-04
26            	6.770884e-03	3.787136e-02	7.311751e-02	5.089785e-03	3.227875e-04
27            	6.330398e-03	3.617741e-02	7.137270e-02	4.893528e-03	2.992056e-04
28            	5.903753e-03	3.447697e-02	7.062486e-02	4.682790e-03	2.964182e-04
29            	5.458648e-03	3.234666e-02	6.940075e-02	4.555782e-03	2.941608e-04
30            	5.082119e-03	3.035994e-02	6.823703e-02	4.496671e-03	2.882938e-04
31            	4.799210e-03	2.870490e-02	6.693227e-02	4.506615e-03	2.834238e-04
32            	4.563008e-03	2.721360e-02	6.587337e-02	4.523603e-03	2.767798e-04
33            	4.474600e-03	2.633862e-02	6.447963e-02	4.575434e-03	2.758062e-04
34            	4.413758e-03	2.595191e-02	6.435629e-02	4.652230e-03	2.811796e-04
35            	4.424630e-03	2.604050e-02	6.418651e-02	4.737198e-03	2.866824e-04
36            	4.395754e-03	2.561117e-02	6.375814e-02	4.895610e-03	2.902290e-04
37            	4.457412e-03	2.576773e-02	6.437606e-02	5.066158e-03	2.937732e-04
38            	4.656197e-03	2.582677e-02	6.514946e-02	5.201925e-03	2.970817e-04
39            	4.693821e-03	2.666105e-02	6.559645e-02	5.354437e-03	2.957374e-04
40            	4.830195e-03	2.693596e-02	6.620159e-02	5.556644e-03	2.994020e-04
41            	4.942508e-03	2.719495e-02	6.705311e-02	5.845981e-03	2.998637e-04
42            	5.057874e-03	2.767298e-02	6.853115e-02	6.219382e-03	3.007164e-04
43            	5.223009e-03	2.824286e-02	7.006300e-02	6.709873e-03	3.048087e-04
44            	5.410882e-03	2.897770e-02	7.227257e-02	7.378797e-03	3.062089e-04
45            	5.526634e-03	3.042741e-02	7.196216e-02	8.075583e-03	3.175896e-04
46            	5.814704e-03	3.164098e-02	7.334276e-02	8.748426e-03	3.230906e-04
47            	5.993262e-03	3.379382e-02	7.284120e-02	9.513863e-03	3.289034e-04
48            	6.230930e-03	3.567005e-02	7.457080e-02	1.024895e-02	3.326746e-04
49            	6.507307e-03	3.752254e-02	7.677845e-02	1.102098e-02	3.374180e-04
50            	6.780013e-03	3.958023e-02	7.917611e-02	1.168432e-02	3.437402e-04
51            	6.970697e-03	4.124607e-02	8.108174e-02	1.224564e-02	3.499255e-04
52            	7.031640e-03	4.285235e-02	8.240756e-02	1.258441e-02	3.508704e-04
53            	6.952023e-03	4.364355e-02	8.435952e-02	1.263058e-02	3.510977e-04
54            	6.757549e-03	4.390557e-02	8.584928e-02	1.220090e-02	3.407985e-04
55            	6.527923e-03	4.298522e-02	8.817216e-02	1.174809e-02	3.311562e-04
56            	6.347866e-03	4.184117e-02	8.736605e-02	1.137155e-02	3.208210e-04
57            	6.226895e-03	3.959281e-02	9.035482e-02	1.139887e-02	3.227136e-04
58            	6.077079e-03	3.829005e-02	8.342280e-02	1.145971e-02	3.117778e-04
59            	5.962960e-03	3.612497e-02	8.563335e-02	1.159277e-02	3.109163e-04
60            	5.938833e-03	3.431594e-02	8.539812e-02	1.177586e-02	3.078059e-04
61            	5.876896e-03	3.265871e-02	9.056399e-02	1.211018e-02	3.091105e-04
62            	5.805926e-03	3.187721e-02	8.367985e-02	1.246811e-02	3.006345e-04
63            	5.779497e-03	3.021679e-02	9.007470e-02	1.287541e-02	3.004257e-04
64            	5.772653e-03	2.913269e-02	9.104524e-02	1.323682e-02	2.981736e-04
65            	5.760531e-03	2.818624e-02	9.060040e-02	1.346784e-02	2.954719e-04
66            	5.766721e-03	2.768644e-02	9.239615e-02	1.349489e-02	2.952496e-04
67            	5.797687e-03	2.696762e-02	8.741384e-02	1.320021e-02	2.897503e-04
68            	5.699837e-03	2.676082e-02	8.006700e-02	1.272024e-02	2.910604e-04
69            	5.746129e-03	2.714878e-02	7.445055e-02	1.221687e-02	2.883356e-04
70            	5.759753e-03	2.752067e-02	7.208890e-02	1.187642e-02	2.852060e-04
71            	5.706947e-03	2.786432e-02	6.733410e-02	1.169473e-02	2.825923e-04
72            	5.665621e-03	2.828852e-02	6.605422e-02	1.161043e-02	2.788211e-04
73            	5.502173e-03	2.845241e-02	6.425549e-02	1.151289e-02	2.758399e-04
74            	5.377230e-03	2.865442e-02	6.407051e-02	1.140532e-02	2.728295e-04
75            	5.148220e-03	2.855275e-02	6.311180e-02	1.130872e-02	2.724566e-04
76            	4.883363e-03	2.805100e-02	6.081806e-02	1.126172e-02	2.697437e-04
77            	4.630104e-03	2.735290e-02	5.893504e-02	1.136446e-02	2.656072e-04
78            	4.360360e-03	2.658619e-02	5.681765e-02	1.152293e-02	2.600400e-04
79            	4.136584e-03	2.576292e-02	5.355912e-02	1.171862e-02	2.516532e-04
80            	3.990365e-03	2.495523e-02	5.094827e-02	1.190515e-02	2.414792e-04
81            	3.884061e-03	2.410332e-02	4.796550e-02	1.209259e-02	2.319362e-04
82            	3.778349e-03	2.343770e-02	4.487471e-02	1.215446e-02	2.188998e-04
83            	3.656461e-03	2.280194e-02	4.224923e-02	1.215583e-02	2.052659e-04
84            	3.527701e-03	2.233064e-02	3.953201e-02	1.212933e-02	1.963225e-04
85            	3.406490e-03	2.179461e-02	3.735939e-02	1.207237e-02	1.844029e-04
86            	3.295601e-03	2.129147e-02	3.494739e-02	1.204466e-02	1.765440e-04
87            	3.195921e-03	2.090218e-02	3.323045e-02	1.202174e-02	1.718503e-04
88            	3.119937e-03	2.054994e-02	3.229904e-02	1.201642e-02	1.677765e-04
