zone,"alpha, deg",cl,cd
80 grit,-4.04,-0.4417,0.00871
80 grit,-2.14,-0.2385,0.008
80 grit,-0.05,-0.0126,0.00809
80 grit,2.05,0.2125,0.00816
80 grit,4.04,0.4316,0.00823
80 grit,6.09,0.6546,0.00885
80 grit,8.3,0.8873,0.0105
80 grit,10.12,1.0707,0.01201
80 grit,11.13,1.1685,0.01239
80 grit,12.12,1.2605,0.01332
80 grit,13.08,1.3455,0.01503
80 grit,14.22,1.4365,0.01625
80 grit,15.26,1.5129,0.019
80 grit,16.3,1.5739,0.02218
80 grit,17.13,1.6116,0.0256
80 grit,18.02,0.9967,0.18785
80 grit,19.08,1.1358,0.27292
120 grit,-4.01,-0.4466,0.00843
120 grit,-2.12,-0.2425,0.00789
120 grit,-0.01,-0.012,0.00811
120 grit,0.01,-0.0122,0.00804
120 grit,2.15,0.2236,0.00823
120 grit,4.11,0.4397,0.00879
120 grit,6.01,0.6487,0.00842
120 grit,8.08,0.8701,0.00995
120 grit,10.1,1.0775,0.01175
120 grit,11.23,1.1849,0.01248
120 grit,12.13,1.272,0.01282
120 grit,13.26,1.3699,0.01408
120 grit,14.3,1.4571,0.01628
120 grit,15.27,1.528,0.0179
120 grit,16.16,1.5838,0.02093
120 grit,17.24,1.6347,0.02519
120 grit,18.18,1.1886,0.25194
120 grit,19.25,1.1888,0.28015
180 grit,-3.99,-0.4363,0.00871
180 grit,-1.98,-0.2213,0.00792
180 grit,-0.03,-0.0115,0.00803
180 grit,0.04,-0.0013,0.00811
180 grit,2.0,0.2213,0.00814
180 grit,4.06,0.4365,0.00814
180 grit,6.09,0.6558,0.00851
180 grit,8.09,0.8689,0.00985
180 grit,10.18,1.0809,0.01165
180 grit,11.13,1.1731,0.01247
180 grit,12.1,1.2644,0.01299
180 grit,13.31,1.3676,0.01408
180 grit,14.08,1.4316,0.01533
180 grit,15.24,1.5169,0.0187
180 grit,16.33,1.5855,0.02186
180 grit,17.13,1.6219,0.02513
180 grit,18.21,1.0104,0.25899
180 grit,19.27,1.0664,0.43446
