zone,x/c,cp
alpha=0,0.0,1.0
alpha=0,0.0023497,0.847673
alpha=0,0.00496048,0.456198
alpha=0,0.00526903,0.173569
alpha=0,0.0142406,-0.044407
alpha=0,0.0209337,-0.175278
alpha=0,0.0473501,-0.372653
alpha=0,0.0779437,-0.396388
alpha=0,0.0976194,-0.41941
alpha=0,0.128166,-0.418874
alpha=0,0.150001,-0.411087
alpha=0,0.178387,-0.402938
alpha=0,0.289702,-0.36672
alpha=0,0.322431,-0.347115
alpha=0,0.387891,-0.307906
alpha=0,0.448983,-0.268412
alpha=0,0.514442,-0.229203
alpha=0,0.579902,-0.189994
alpha=0,0.638834,-0.159098
alpha=0,0.704317,-0.114629
alpha=0,0.767593,-0.065278
alpha=0,0.835236,-0.026211
alpha=0,0.896305,0.03502
alpha=0,0.959533,0.0978565
alpha=0,1.0009,0.173854
alpha=10,0.0,-3.66423
alpha=10,0.00218341,-5.04375
alpha=10,0.00873362,-5.24068
alpha=10,0.0131004,-4.67125
alpha=10,0.0174672,-4.32079
alpha=10,0.0480349,-2.74347
alpha=10,0.0742358,-2.26115
alpha=10,0.0982533,-1.95405
alpha=10,0.124454,-1.7345
alpha=10,0.146288,-1.55884
alpha=10,0.176856,-1.36109
alpha=10,0.28821,-1.00829
alpha=10,0.320961,-0.941877
alpha=10,0.384279,-0.787206
alpha=10,0.447598,-0.654432
alpha=10,0.515284,-0.543461
alpha=10,0.576419,-0.432633
alpha=10,0.637555,-0.343703
alpha=10,0.700873,-0.254725
alpha=10,0.766376,-0.1657
alpha=10,0.831878,-0.098572
alpha=10,0.893013,-0.00964205
alpha=10,0.958515,0.0793835
alpha=10,1.0,0.124088
alpha=15,-7.59438e-05,-8.65066
alpha=15,0.0024302,-10.1789
alpha=15,0.00450442,-9.72033
alpha=15,0.00870506,-9.04329
alpha=15,0.0129722,-8.67192
alpha=15,0.0167741,-6.16084
alpha=15,0.0467387,-3.99796
alpha=15,0.0769928,-3.16694
alpha=15,0.0964534,-2.68574
alpha=15,0.146315,-2.05038
alpha=15,0.174528,-1.83081
alpha=15,0.287443,-1.23636
alpha=15,0.317853,-1.12586
alpha=15,0.380854,-0.9266
alpha=15,0.443854,-0.727343
alpha=15,0.509042,-0.593492
alpha=15,0.576404,-0.459546
alpha=15,0.635076,-0.347813
alpha=15,0.698095,-0.235891
alpha=15,0.761123,-0.167637
alpha=15,0.8285,-0.0991921
alpha=15,0.893707,-0.0526765
alpha=15,0.954576,-0.0500185
alpha=15,1.00022,-0.00435728
