zone,x,cp
alpha=0,1.0,0.24708
alpha=0,0.999,0.22623
alpha=0,0.99797,0.22481
alpha=0,0.99689,0.22078
alpha=0,0.99578,0.21643
alpha=0,0.99463,0.21155
alpha=0,0.99344,0.20673
alpha=0,0.9922,0.20201
alpha=0,0.99092,0.19744
alpha=0,0.9896,0.19297
alpha=0,0.98823,0.18859
alpha=0,0.98681,0.18426
alpha=0,0.98534,0.17996
alpha=0,0.98381,0.17569
alpha=0,0.98224,0.17143
alpha=0,0.98061,0.16718
alpha=0,0.97892,0.16292
alpha=0,0.97718,0.15866
alpha=0,0.97537,0.15439
alpha=0,0.9735,0.15012
alpha=0,0.97157,0.14583
alpha=0,0.96957,0.14153
alpha=0,0.9675,0.13722
alpha=0,0.96537,0.1329
alpha=0,0.96316,0.12856
alpha=0,0.96087,0.1242
alpha=0,0.95852,0.11984
alpha=0,0.95608,0.11546
alpha=0,0.95356,0.11107
alpha=0,0.95096,0.10666
alpha=0,0.94827,0.10225
alpha=0,0.9455,0.097817
alpha=0,0.94264,0.093377
alpha=0,0.93969,0.088932
alpha=0,0.93664,0.084471
alpha=0,0.9335,0.080004
alpha=0,0.93025,0.075533
alpha=0,0.92691,0.07105
alpha=0,0.92347,0.066563
alpha=0,0.91991,0.06207
alpha=0,0.91626,0.057572
alpha=0,0.91249,0.053068
alpha=0,0.9086,0.048559
alpha=0,0.90461,0.044045
alpha=0,0.9005,0.039531
alpha=0,0.89626,0.035012
alpha=0,0.89191,0.030487
alpha=0,0.88744,0.025957
alpha=0,0.88284,0.021427
alpha=0,0.87811,0.016892
alpha=0,0.87325,0.012357
alpha=0,0.86827,0.007811
alpha=0,0.86315,0.0032652
alpha=0,0.85789,-0.0012859
alpha=0,0.8525,-0.0058371
alpha=0,0.84698,-0.010399
alpha=0,0.84132,-0.014966
alpha=0,0.83551,-0.019538
alpha=0,0.82957,-0.024121
alpha=0,0.82349,-0.028709
alpha=0,0.81727,-0.033308
alpha=0,0.8109,-0.037912
alpha=0,0.80439,-0.042532
alpha=0,0.79774,-0.047163
alpha=0,0.79095,-0.051804
alpha=0,0.78402,-0.056467
alpha=0,0.77694,-0.06114
alpha=0,0.76973,-0.065829
alpha=0,0.76238,-0.070539
alpha=0,0.75489,-0.07527
alpha=0,0.74726,-0.080017
alpha=0,0.7395,-0.084791
alpha=0,0.7316,-0.089591
alpha=0,0.72358,-0.094412
alpha=0,0.71543,-0.099265
alpha=0,0.70715,-0.10415
alpha=0,0.69875,-0.10905
alpha=0,0.69023,-0.11399
alpha=0,0.6816,-0.11896
alpha=0,0.67286,-0.12397
alpha=0,0.66401,-0.12901
alpha=0,0.65505,-0.13409
alpha=0,0.646,-0.1392
alpha=0,0.63686,-0.14436
alpha=0,0.62763,-0.14955
alpha=0,0.61831,-0.15477
alpha=0,0.60892,-0.16004
alpha=0,0.59946,-0.16534
alpha=0,0.58993,-0.17068
alpha=0,0.58035,-0.17606
alpha=0,0.57071,-0.18147
alpha=0,0.56102,-0.18692
alpha=0,0.55129,-0.1924
alpha=0,0.54153,-0.19791
alpha=0,0.53174,-0.20345
alpha=0,0.52194,-0.20902
alpha=0,0.51212,-0.21462
alpha=0,0.50229,-0.22023
alpha=0,0.49246,-0.22587
alpha=0,0.48265,-0.23151
alpha=0,0.47284,-0.23717
alpha=0,0.46306,-0.24283
alpha=0,0.45331,-0.24849
alpha=0,0.44359,-0.25415
alpha=0,0.43391,-0.2598
alpha=0,0.42428,-0.26544
alpha=0,0.41471,-0.27105
alpha=0,0.4052,-0.27664
alpha=0,0.39575,-0.2822
alpha=0,0.38638,-0.28772
alpha=0,0.37708,-0.29319
alpha=0,0.36787,-0.29862
alpha=0,0.35875,-0.30399
alpha=0,0.34972,-0.30929
alpha=0,0.34079,-0.31453
alpha=0,0.33197,-0.31969
alpha=0,0.32325,-0.32476
alpha=0,0.31465,-0.32975
alpha=0,0.30616,-0.33464
alpha=0,0.2978,-0.33944
alpha=0,0.28955,-0.34412
alpha=0,0.28144,-0.34869
alpha=0,0.27345,-0.35314
alpha=0,0.26559,-0.35747
alpha=0,0.25787,-0.36167
alpha=0,0.25029,-0.36574
alpha=0,0.24284,-0.36966
alpha=0,0.23553,-0.37345
alpha=0,0.22837,-0.37708
alpha=0,0.22134,-0.38056
alpha=0,0.21446,-0.38388
alpha=0,0.20772,-0.38705
alpha=0,0.20112,-0.39005
alpha=0,0.19467,-0.39288
alpha=0,0.18837,-0.39553
alpha=0,0.1822,-0.39803
alpha=0,0.17618,-0.40034
alpha=0,0.1703,-0.40246
alpha=0,0.16456,-0.40441
alpha=0,0.15897,-0.40617
alpha=0,0.15351,-0.40774
alpha=0,0.14819,-0.40912
alpha=0,0.14301,-0.41031
alpha=0,0.13797,-0.4113
alpha=0,0.13306,-0.41209
alpha=0,0.12828,-0.41268
alpha=0,0.12363,-0.41306
alpha=0,0.11911,-0.41324
alpha=0,0.11472,-0.4132
alpha=0,0.11046,-0.41294
alpha=0,0.10631,-0.41247
alpha=0,0.10229,-0.41177
alpha=0,0.098386,-0.41084
alpha=0,0.094598,-0.40968
alpha=0,0.090925,-0.40828
alpha=0,0.087364,-0.40663
alpha=0,0.083912,-0.40473
alpha=0,0.080568,-0.40257
alpha=0,0.07733,-0.40015
alpha=0,0.074194,-0.39745
alpha=0,0.071158,-0.39447
alpha=0,0.068221,-0.3912
alpha=0,0.06538,-0.38763
alpha=0,0.062633,-0.38375
alpha=0,0.059977,-0.37954
alpha=0,0.05741,-0.37501
alpha=0,0.05493,-0.37012
alpha=0,0.052535,-0.36487
alpha=0,0.050222,-0.35926
alpha=0,0.04799,-0.35324
alpha=0,0.045837,-0.34683
alpha=0,0.043759,-0.33999
alpha=0,0.041756,-0.33271
alpha=0,0.039825,-0.32497
alpha=0,0.037964,-0.31675
alpha=0,0.036171,-0.30803
alpha=0,0.034445,-0.2988
alpha=0,0.032783,-0.28903
alpha=0,0.031184,-0.27868
alpha=0,0.029646,-0.26775
alpha=0,0.028167,-0.25621
alpha=0,0.026746,-0.24404
alpha=0,0.02538,-0.23119
alpha=0,0.024068,-0.21768
alpha=0,0.022809,-0.20346
alpha=0,0.021601,-0.1885
alpha=0,0.020443,-0.17277
alpha=0,0.019333,-0.15627
alpha=0,0.018269,-0.13898
alpha=0,0.01725,-0.12086
alpha=0,0.016276,-0.10191
alpha=0,0.015343,-0.082163
alpha=0,0.014452,-0.061611
alpha=0,0.013601,-0.040381
alpha=0,0.012789,-0.018526
alpha=0,0.012014,0.003493
alpha=0,0.011275,0.026243
alpha=0,0.010572,0.050006
alpha=0,0.0099023,0.074854
alpha=0,0.0092657,0.10118
alpha=0,0.008661,0.12839
alpha=0,0.008087,0.15625
alpha=0,0.0075428,0.18462
alpha=0,0.0070272,0.21343
alpha=0,0.0065393,0.24266
alpha=0,0.006078,0.2723
alpha=0,0.0056425,0.30227
alpha=0,0.0052316,0.3325
alpha=0,0.0048446,0.36287
alpha=0,0.0044803,0.39329
alpha=0,0.004138,0.42364
alpha=0,0.0038166,0.45383
alpha=0,0.0035153,0.48376
alpha=0,0.0032332,0.5133
alpha=0,0.0029694,0.54237
alpha=0,0.0027231,0.57087
alpha=0,0.0024934,0.5987
alpha=0,0.0022795,0.62577
alpha=0,0.0020806,0.65202
alpha=0,0.0018959,0.67736
alpha=0,0.0017246,0.70174
alpha=0,0.001566,0.72511
alpha=0,0.0014194,0.74743
alpha=0,0.001284,0.76868
alpha=0,0.0011592,0.78882
alpha=0,0.0010443,0.80785
alpha=0,0.00093876,0.82578
alpha=0,0.00084191,0.8426
alpha=0,0.00075319,0.85833
alpha=0,0.00067206,0.87299
alpha=0,0.00059799,0.88663
alpha=0,0.00053051,0.89925
alpha=0,0.00046913,0.9109
alpha=0,0.00041342,0.92162
alpha=0,0.00036295,0.93145
alpha=0,0.00031735,0.94043
alpha=0,0.00027624,0.94862
alpha=0,0.00023927,0.95604
alpha=0,0.00020611,0.96276
alpha=0,0.00017648,0.9688
alpha=0,0.00015008,0.97423
alpha=0,0.00012665,0.97908
alpha=0,0.00010594,0.98338
alpha=0,8.773e-05,0.98718
alpha=0,7.1803e-05,0.99052
alpha=0,5.7964e-05,0.99344
alpha=0,4.6029e-05,0.99596
alpha=0,3.5831e-05,0.99813
alpha=0,2.7213e-05,0.99996
alpha=0,2.003e-05,1.0015
alpha=0,1.4151e-05,1.0027
alpha=0,9.4511e-06,1.0038
alpha=0,5.8186e-06,1.0045
alpha=0,3.1491e-06,1.0051
alpha=0,1.3469e-06,1.0055
alpha=0,3.2412e-07,1.0057
alpha=0,0.0,1.0058
alpha=0,3.2412e-07,1.0057
alpha=0,1.3469e-06,1.0055
alpha=0,3.1491e-06,1.0051
alpha=0,5.8186e-06,1.0045
alpha=0,9.4511e-06,1.0038
alpha=0,1.4151e-05,1.0028
alpha=0,2.003e-05,1.0015
alpha=0,2.7213e-05,0.99996
alpha=0,3.5831e-05,0.99813
alpha=0,4.6029e-05,0.99597
alpha=0,5.7964e-05,0.99344
alpha=0,7.1803e-05,0.99053
alpha=0,8.773e-05,0.98719
alpha=0,0.00010594,0.98338
alpha=0,0.00012665,0.97908
alpha=0,0.00015008,0.97423
alpha=0,0.00017648,0.96881
alpha=0,0.00020611,0.96276
alpha=0,0.00023927,0.95605
alpha=0,0.00027624,0.94862
alpha=0,0.00031735,0.94044
alpha=0,0.00036295,0.93146
alpha=0,0.00041342,0.92163
alpha=0,0.00046913,0.91091
alpha=0,0.00053051,0.89926
alpha=0,0.00059799,0.88664
alpha=0,0.00067206,0.87301
alpha=0,0.00075319,0.85834
alpha=0,0.00084191,0.84261
alpha=0,0.00093876,0.82579
alpha=0,0.0010443,0.80786
alpha=0,0.0011592,0.78883
alpha=0,0.001284,0.76869
alpha=0,0.0014194,0.74745
alpha=0,0.001566,0.72513
alpha=0,0.0017246,0.70176
alpha=0,0.0018959,0.67738
alpha=0,0.0020806,0.65203
alpha=0,0.0022795,0.62579
alpha=0,0.0024934,0.59871
alpha=0,0.0027231,0.57089
alpha=0,0.0029694,0.54239
alpha=0,0.0032332,0.51332
alpha=0,0.0035153,0.48377
alpha=0,0.0038166,0.45385
alpha=0,0.004138,0.42366
alpha=0,0.0044803,0.3933
alpha=0,0.0048446,0.36289
alpha=0,0.0052316,0.33252
alpha=0,0.0056425,0.30229
alpha=0,0.006078,0.27232
alpha=0,0.0065393,0.24269
alpha=0,0.0070272,0.21346
alpha=0,0.0075428,0.18463
alpha=0,0.008087,0.15626
alpha=0,0.008661,0.12841
alpha=0,0.0092657,0.1012
alpha=0,0.0099023,0.07487
alpha=0,0.010572,0.050027
alpha=0,0.011275,0.026265
alpha=0,0.012014,0.0035142
alpha=0,0.012789,-0.01851
alpha=0,0.013601,-0.040365
alpha=0,0.014452,-0.061595
alpha=0,0.015343,-0.082142
alpha=0,0.016276,-0.1019
alpha=0,0.01725,-0.12084
alpha=0,0.018269,-0.13896
alpha=0,0.019333,-0.15625
alpha=0,0.020443,-0.17276
alpha=0,0.021601,-0.18848
alpha=0,0.022809,-0.20344
alpha=0,0.024068,-0.21766
alpha=0,0.02538,-0.23117
alpha=0,0.026746,-0.24402
alpha=0,0.028167,-0.2562
alpha=0,0.029646,-0.26774
alpha=0,0.031184,-0.27867
alpha=0,0.032783,-0.28901
alpha=0,0.034445,-0.29878
alpha=0,0.036171,-0.30802
alpha=0,0.037964,-0.31674
alpha=0,0.039825,-0.32496
alpha=0,0.041756,-0.33269
alpha=0,0.043759,-0.33997
alpha=0,0.045837,-0.34681
alpha=0,0.04799,-0.35323
alpha=0,0.050222,-0.35924
alpha=0,0.052535,-0.36486
alpha=0,0.05493,-0.37011
alpha=0,0.05741,-0.37499
alpha=0,0.059977,-0.37953
alpha=0,0.062633,-0.38374
alpha=0,0.06538,-0.38762
alpha=0,0.068221,-0.39119
alpha=0,0.071158,-0.39446
alpha=0,0.074194,-0.39744
alpha=0,0.07733,-0.40014
alpha=0,0.080568,-0.40256
alpha=0,0.083912,-0.40472
alpha=0,0.087364,-0.40662
alpha=0,0.090925,-0.40827
alpha=0,0.094598,-0.40967
alpha=0,0.098386,-0.41083
alpha=0,0.10229,-0.41176
alpha=0,0.10631,-0.41246
alpha=0,0.11046,-0.41293
alpha=0,0.11472,-0.41319
alpha=0,0.11911,-0.41323
alpha=0,0.12363,-0.41306
alpha=0,0.12828,-0.41267
alpha=0,0.13306,-0.41208
alpha=0,0.13797,-0.41129
alpha=0,0.14301,-0.4103
alpha=0,0.14819,-0.40911
alpha=0,0.15351,-0.40773
alpha=0,0.15897,-0.40616
alpha=0,0.16456,-0.4044
alpha=0,0.1703,-0.40245
alpha=0,0.17618,-0.40032
alpha=0,0.1822,-0.39801
alpha=0,0.18837,-0.39553
alpha=0,0.19467,-0.39287
alpha=0,0.20112,-0.39004
alpha=0,0.20772,-0.38704
alpha=0,0.21446,-0.38387
alpha=0,0.22134,-0.38055
alpha=0,0.22837,-0.37707
alpha=0,0.23553,-0.37344
alpha=0,0.24284,-0.36966
alpha=0,0.25029,-0.36573
alpha=0,0.25787,-0.36166
alpha=0,0.26559,-0.35747
alpha=0,0.27345,-0.35314
alpha=0,0.28144,-0.34868
alpha=0,0.28955,-0.34411
alpha=0,0.2978,-0.33943
alpha=0,0.30616,-0.33464
alpha=0,0.31465,-0.32974
alpha=0,0.32325,-0.32476
alpha=0,0.33197,-0.31968
alpha=0,0.34079,-0.31452
alpha=0,0.34972,-0.30929
alpha=0,0.35875,-0.30398
alpha=0,0.36787,-0.29861
alpha=0,0.37708,-0.29318
alpha=0,0.38638,-0.28771
alpha=0,0.39575,-0.28219
alpha=0,0.4052,-0.27663
