zone,log(y+),u+
Dwight 2022,-1.311883748275825,0.04145448632664221
Dwight 2022,-0.8346278368199247,0.1244028871186576
Dwight 2022,-0.612509829498311,0.20746661038931385
Dwight 2022,-0.4659780267984549,0.29072271285557827
Dwight 2022,-0.35629543055705254,0.37424840184141267
Dwight 2022,-0.268472989189509,0.4581211434058711
Dwight 2022,-0.1951161283497166,0.5424186584813826
Dwight 2022,-0.13202843620674984,0.6272191236830762
Dwight 2022,-0.0765977154316845,0.7126010863509901
Dwight 2022,-0.02708710687662458,0.798643634465654
Dwight 2022,0.017716947046169933,0.8854263580309119
Dwight 2022,0.05869579606178871,0.9730294263082775
Dwight 2022,0.09650967908929477,1.06153366505129
Dwight 2022,0.13166598856818804,1.1510205178883375
Dwight 2022,0.16456299262025242,1.2415722394085444
Dwight 2022,0.195519006997403,1.333271586224351
Dwight 2022,0.22479242264134475,1.4262021259089337
Dwight 2022,0.25259580621314875,1.5204480052931395
Dwight 2022,0.2791060868489312,1.6160939504654857
Dwight 2022,0.30447205818734707,1.7132252667721588
Dwight 2022,0.3288200859217271,1.8119276071139472
Dwight 2022,0.35225818124977537,1.912286778860352
Dwight 2022,0.37487957374843484,2.01438866661523
Dwight 2022,0.3967651008788453,2.1183188074278356
Dwight 2022,0.41798542058641996,2.2241621204725757
Dwight 2022,0.43860242987747144,2.3320024436428732
Dwight 2022,0.4586708980537296,2.441922031527854
Dwight 2022,0.4782391831577186,2.5540007444516073
Dwight 2022,0.4973504938980101,2.6683155464498736
Dwight 2022,0.5160433123882147,2.7849393467547037
Dwight 2022,0.5343521651619425,2.9039400343650095
Dwight 2022,0.5523081158447499,3.0253793581484025
Dwight 2022,0.5699391820302381,3.149311304919716
Dwight 2022,0.5872707120050575,3.275780940925669
Dwight 2022,0.6043257052666768,3.4048223651344296
Dwight 2022,0.6211250257042137,3.5364572804000285
Dwight 2022,0.6376877457769093,3.6706929467519296
Dwight 2022,0.6540312094613233,3.807520482239194
Dwight 2022,0.6701713513912542,3.9469130865402944
Dwight 2022,0.6861227187841261,4.088824650744708
Dwight 2022,0.7018987030528748,4.233188019579903
Dwight 2022,0.7175115725597795,4.379913987364716
Dwight 2022,0.7329726494196487,4.528891722798308
Dwight 2022,0.7482923837723274,4.679988768960163
Dwight 2022,0.7634804060119599,4.833050270966525
Dwight 2022,0.7785455896393676,4.987902837688209
