zone,x,skinfr,5percenterror
"theory 1, White 6-112a",0.002,0.00938257,0.000469128
"theory 1, White 6-112a",0.004,0.008168,0.0004084
"theory 1, White 6-112a",0.006,0.00753178,0.000376589
"theory 1, White 6-112a",0.008,0.00711066,0.000355533
"theory 1, White 6-112a",0.01,0.00680029,0.000340015
"theory 1, White 6-112a",0.012,0.00655679,0.00032784
"theory 1, White 6-112a",0.014,0.00635773,0.000317887
"theory 1, White 6-112a",0.016,0.00619019,0.000309509
"theory 1, White 6-112a",0.018,0.00604607,0.000302304
"theory 1, White 6-112a",0.02,0.00592,0.000296
"theory 1, White 6-112a",0.022,0.00580822,0.000290411
"theory 1, White 6-112a",0.024,0.00570802,0.000285401
"theory 1, White 6-112a",0.026,0.00561737,0.000280869
"theory 1, White 6-112a",0.028,0.00553473,0.000276736
"theory 1, White 6-112a",0.03,0.00545888,0.000272944
"theory 1, White 6-112a",0.032,0.00538887,0.000269444
"theory 1, White 6-112a",0.034,0.00532392,0.000266196
"theory 1, White 6-112a",0.036,0.00526341,0.000263171
"theory 1, White 6-112a",0.038,0.0052068,0.00026034
"theory 1, White 6-112a",0.04,0.00515366,0.000257683
"theory 1, White 6-112a",0.042,0.00510361,0.000255181
"theory 1, White 6-112a",0.044,0.00505635,0.000252818
"theory 1, White 6-112a",0.046,0.0050116,0.00025058
"theory 1, White 6-112a",0.048,0.00496912,0.000248456
"theory 1, White 6-112a",0.05,0.00492871,0.000246436
"theory 1, White 6-112a",0.052,0.0048902,0.00024451
"theory 1, White 6-112a",0.054,0.00485343,0.000242672
"theory 1, White 6-112a",0.056,0.00481826,0.000240913
"theory 1, White 6-112a",0.058,0.00478456,0.000239228
"theory 1, White 6-112a",0.06,0.00475223,0.000237612
"theory 1, White 6-112a",0.062,0.00472117,0.000236058
"theory 1, White 6-112a",0.064,0.00469128,0.000234564
"theory 1, White 6-112a",0.066,0.0046625,0.000233125
"theory 1, White 6-112a",0.068,0.00463475,0.000231737
"theory 1, White 6-112a",0.07,0.00460795,0.000230398
"theory 1, White 6-112a",0.072,0.00458206,0.000229103
"theory 1, White 6-112a",0.074,0.00455702,0.000227851
"theory 1, White 6-112a",0.076,0.00453278,0.000226639
"theory 1, White 6-112a",0.078,0.0045093,0.000225465
"theory 1, White 6-112a",0.08,0.00448652,0.000224326
"theory 1, White 6-112a",0.082,0.00446442,0.000223221
"theory 1, White 6-112a",0.084,0.00444295,0.000222148
"theory 1, White 6-112a",0.086,0.00442209,0.000221105
"theory 1, White 6-112a",0.088,0.00440181,0.00022009
"theory 1, White 6-112a",0.09,0.00438207,0.000219103
"theory 1, White 6-112a",0.092,0.00436285,0.000218142
"theory 1, White 6-112a",0.094,0.00434412,0.000217206
"theory 1, White 6-112a",0.096,0.00432587,0.000216293
"theory 1, White 6-112a",0.098,0.00430807,0.000215403
"theory 1, White 6-112a",0.1,0.0042907,0.000214535
"theory 1, White 6-112a",0.102,0.00427374,0.000213687
"theory 1, White 6-112a",0.104,0.00425717,0.000212859
"theory 1, White 6-112a",0.106,0.00424098,0.000212049
"theory 1, White 6-112a",0.108,0.00422516,0.000211258
"theory 1, White 6-112a",0.11,0.00420968,0.000210484
"theory 1, White 6-112a",0.112,0.00419454,0.000209727
"theory 1, White 6-112a",0.114,0.00417972,0.000208986
"theory 1, White 6-112a",0.116,0.0041652,0.00020826
"theory 1, White 6-112a",0.118,0.00415099,0.000207549
"theory 1, White 6-112a",0.12,0.00413706,0.000206853
"theory 1, White 6-112a",0.122,0.0041234,0.00020617
"theory 1, White 6-112a",0.124,0.00411001,0.000205501
"theory 1, White 6-112a",0.126,0.00409688,0.000204844
"theory 1, White 6-112a",0.128,0.004084,0.0002042
"theory 1, White 6-112a",0.13,0.00407136,0.000203568
"theory 1, White 6-112a",0.132,0.00405894,0.000202947
"theory 1, White 6-112a",0.134,0.00404675,0.000202338
"theory 1, White 6-112a",0.136,0.00403478,0.000201739
"theory 1, White 6-112a",0.138,0.00402302,0.000201151
"theory 1, White 6-112a",0.14,0.00401146,0.000200573
"theory 1, White 6-112a",0.142,0.00400009,0.000200005
"theory 1, White 6-112a",0.144,0.00398892,0.000199446
"theory 1, White 6-112a",0.146,0.00397793,0.000198896
"theory 1, White 6-112a",0.148,0.00396712,0.000198356
"theory 1, White 6-112a",0.15,0.00395648,0.000197824
"theory 1, White 6-112a",0.152,0.00394602,0.000197301
"theory 1, White 6-112a",0.154,0.00393571,0.000196786
"theory 1, White 6-112a",0.156,0.00392557,0.000196279
"theory 1, White 6-112a",0.158,0.00391558,0.000195779
"theory 1, White 6-112a",0.16,0.00390574,0.000195287
"theory 1, White 6-112a",0.162,0.00389605,0.000194803
"theory 1, White 6-112a",0.164,0.0038865,0.000194325
"theory 1, White 6-112a",0.166,0.00387709,0.000193855
"theory 1, White 6-112a",0.168,0.00386782,0.000193391
"theory 1, White 6-112a",0.17,0.00385867,0.000192934
"theory 1, White 6-112a",0.172,0.00384966,0.000192483
"theory 1, White 6-112a",0.174,0.00384077,0.000192038
"theory 1, White 6-112a",0.176,0.003832,0.0001916
"theory 1, White 6-112a",0.178,0.00382335,0.000191167
"theory 1, White 6-112a",0.18,0.00381481,0.000190741
"theory 1, White 6-112a",0.182,0.00380639,0.00019032
"theory 1, White 6-112a",0.184,0.00379808,0.000189904
"theory 1, White 6-112a",0.186,0.00378988,0.000189494
"theory 1, White 6-112a",0.188,0.00378178,0.000189089
"theory 1, White 6-112a",0.19,0.00377378,0.000188689
"theory 1, White 6-112a",0.192,0.00376589,0.000188294
"theory 1, White 6-112a",0.194,0.00375809,0.000187905
"theory 1, White 6-112a",0.196,0.00375039,0.00018752
"theory 1, White 6-112a",0.198,0.00374278,0.000187139
"theory 1, White 6-112a",0.2,0.00373527,0.000186763
"theory 1, White 6-112a",0.202,0.00372784,0.000186392
"theory 1, White 6-112a",0.204,0.0037205,0.000186025
"theory 1, White 6-112a",0.206,0.00371325,0.000185663
"theory 1, White 6-112a",0.208,0.00370608,0.000185304
"theory 1, White 6-112a",0.21,0.003699,0.00018495
"theory 1, White 6-112a",0.212,0.00369199,0.0001846
"theory 1, White 6-112a",0.214,0.00368506,0.000184253
"theory 1, White 6-112a",0.216,0.00367821,0.000183911
"theory 1, White 6-112a",0.218,0.00367144,0.000183572
"theory 1, White 6-112a",0.22,0.00366474,0.000183237
"theory 1, White 6-112a",0.222,0.00365811,0.000182906
"theory 1, White 6-112a",0.224,0.00365156,0.000182578
"theory 1, White 6-112a",0.226,0.00364507,0.000182254
"theory 1, White 6-112a",0.228,0.00363865,0.000181933
"theory 1, White 6-112a",0.23,0.0036323,0.000181615
"theory 1, White 6-112a",0.232,0.00362602,0.000181301
"theory 1, White 6-112a",0.234,0.0036198,0.00018099
"theory 1, White 6-112a",0.236,0.00361364,0.000180682
"theory 1, White 6-112a",0.238,0.00360755,0.000180377
"theory 1, White 6-112a",0.24,0.00360152,0.000180076
"theory 1, White 6-112a",0.242,0.00359554,0.000179777
"theory 1, White 6-112a",0.244,0.00358963,0.000179482
"theory 1, White 6-112a",0.246,0.00358377,0.000179189
"theory 1, White 6-112a",0.248,0.00357798,0.000178899
"theory 1, White 6-112a",0.25,0.00357223,0.000178612
"theory 1, White 6-112a",0.252,0.00356654,0.000178327
"theory 1, White 6-112a",0.254,0.00356091,0.000178045
"theory 1, White 6-112a",0.256,0.00355533,0.000177766
"theory 1, White 6-112a",0.258,0.0035498,0.00017749
"theory 1, White 6-112a",0.26,0.00354432,0.000177216
"theory 1, White 6-112a",0.262,0.00353889,0.000176945
"theory 1, White 6-112a",0.264,0.00353351,0.000176676
"theory 1, White 6-112a",0.266,0.00352819,0.000176409
"theory 1, White 6-112a",0.268,0.0035229,0.000176145
"theory 1, White 6-112a",0.27,0.00351767,0.000175883
"theory 1, White 6-112a",0.272,0.00351248,0.000175624
"theory 1, White 6-112a",0.274,0.00350734,0.000175367
"theory 1, White 6-112a",0.276,0.00350224,0.000175112
"theory 1, White 6-112a",0.278,0.00349719,0.000174859
"theory 1, White 6-112a",0.28,0.00349218,0.000174609
"theory 1, White 6-112a",0.282,0.00348721,0.00017436
"theory 1, White 6-112a",0.284,0.00348228,0.000174114
"theory 1, White 6-112a",0.286,0.0034774,0.00017387
"theory 1, White 6-112a",0.288,0.00347256,0.000173628
"theory 1, White 6-112a",0.29,0.00346775,0.000173388
"theory 1, White 6-112a",0.292,0.00346299,0.000173149
"theory 1, White 6-112a",0.294,0.00345826,0.000172913
"theory 1, White 6-112a",0.296,0.00345358,0.000172679
