zone,log10(y+),u+
"Theory, inner",-1.602100015,0.02500000037
"Theory, inner",-1.300999999,0.05000000075
"Theory, inner",-1.124899983,0.07500000298
"Theory, inner",-1.0,0.1000000015
"Theory, inner",-0.9030900002,0.125
"Theory, inner",-0.8239099979,0.150000006
"Theory, inner",-0.7569599748,0.174999997
"Theory, inner",-0.6989700198,0.200000003
"Theory, inner",-0.6478199959,0.224999994
"Theory, inner",-0.60206002,0.25
"Theory, inner",-0.5606700182,0.275000006
"Theory, inner",-0.5228800178,0.3000000119
"Theory, inner",-0.4881199896,0.3249999881
"Theory, inner",-0.4559299946,0.349999994
"Theory, inner",-0.4259699881,0.375
"Theory, inner",-0.3979400098,0.400000006
"Theory, inner",-0.3716099858,0.4250000119
"Theory, inner",-0.3467899859,0.4499999881
"Theory, inner",-0.3233099878,0.474999994
"Theory, inner",-0.30103001,0.5
"Theory, inner",-0.2798399925,0.5249999762
"Theory, inner",-0.2596400082,0.5500000119
"Theory, inner",-0.2403299958,0.5749999881
"Theory, inner",-0.2218499929,0.6000000238
"Theory, inner",-0.2041199952,0.625
"Theory, inner",-0.1870899945,0.6499999762
"Theory, inner",-0.1706999987,0.6750000119
"Theory, inner",-0.1548999995,0.6999999881
"Theory, inner",-0.1396600008,0.7250000238
"Theory, inner",-0.1249400005,0.75
"Theory, inner",-0.1106999964,0.7749999762
"Theory, inner",-0.09690999985,0.8000000119
"Theory, inner",-0.08354599774,0.8249999881
"Theory, inner",-0.07058099657,0.8500000238
"Theory, inner",-0.05799200013,0.875
"Theory, inner",-0.0457569994,0.8999999762
"Theory, inner",-0.03385800123,0.9250000119
"Theory, inner",-0.02227599919,0.9499999881
"Theory, inner",-0.01099499967,0.9750000238
"Theory, inner",1.928699977e-16,1.0
"Theory, inner",0.0107239997,1.024999976
"Theory, inner",0.02118900046,1.049999952
"Theory, inner",0.03140800074,1.075000048
"Theory, inner",0.04139300063,1.100000024
"Theory, inner",0.05115300044,1.125
"Theory, inner",0.06069799885,1.149999976
"Theory, inner",0.07003799826,1.174999952
"Theory, inner",0.07918100059,1.200000048
"Theory, inner",0.08813600242,1.225000024
"Theory, inner",0.09690999985,1.25
"Theory, inner",0.1055099964,1.274999976
"Theory, inner",0.1139400005,1.299999952
"Theory, inner",0.1222200021,1.325000048
"Theory, inner",0.1303299963,1.350000024
"Theory, inner",0.1383000016,1.375
"Theory, inner",0.1461299956,1.399999976
"Theory, inner",0.1538099945,1.424999952
"Theory, inner",0.1613699943,1.450000048
"Theory, inner",0.1687899977,1.475000024
"Theory, inner",0.1760900021,1.5
"Theory, inner",0.1832700074,1.524999976
"Theory, inner",0.1903299987,1.549999952
"Theory, inner",0.1972800046,1.575000048
"Theory, inner",0.2041199952,1.600000024
"Theory, inner",0.2108500004,1.625
"Theory, inner",0.2174800038,1.649999976
"Theory, inner",0.2240100056,1.674999952
"Theory, inner",0.2304500043,1.700000048
"Theory, inner",0.2367900014,1.725000024
"Theory, inner",0.2430399954,1.75
"Theory, inner",0.2492000014,1.774999976
"Theory, inner",0.2552700043,1.799999952
"Theory, inner",0.2612600029,1.825000048
"Theory, inner",0.267170012,1.850000024
"Theory, inner",0.2730000019,1.875
"Theory, inner",0.2787500024,1.899999976
"Theory, inner",0.2844299972,1.924999952
"Theory, inner",0.2900300026,1.950000048
"Theory, inner",0.2955699861,1.975000024
"Theory, inner",0.30103001,2.0
"Theory, inner",0.306430012,2.025000095
"Theory, inner",0.3117499948,2.049999952
"Theory, inner",0.317019999,2.075000048
"Theory, inner",0.3222199976,2.099999905
"Theory, inner",0.3273600042,2.125
"Theory, inner",0.3324399889,2.150000095
"Theory, inner",0.3374600112,2.174999952
"Theory, inner",0.3424200118,2.200000048
"Theory, inner",0.347330004,2.224999905
"Theory, inner",0.3521800041,2.25
"Theory, inner",0.356979996,2.275000095
"Theory, inner",0.3617300093,2.299999952
"Theory, inner",0.3664200008,2.325000048
"Theory, inner",0.3710699975,2.349999905
"Theory, inner",0.3756600022,2.375
"Theory, inner",0.3802100122,2.400000095
"Theory, inner",0.3847100139,2.424999952
"Theory, inner",0.389169991,2.450000048
"Theory, inner",0.3935799897,2.474999905
"Theory, inner",0.3979400098,2.5
"Theory, inner",0.4022600055,2.525000095
"Theory, inner",0.4065400064,2.549999952
"Theory, inner",0.4107800126,2.575000048
"Theory, inner",0.4149700105,2.599999905
"Theory, inner",0.4191299975,2.625
"Theory, inner",0.4232499897,2.650000095
"Theory, inner",0.4273200035,2.674999952
"Theory, inner",0.4313600063,2.700000048
"Theory, inner",0.4353699982,2.724999905
"Theory, inner",0.4393300116,2.75
"Theory, inner",0.4432600141,2.775000095
"Theory, inner",0.4471600056,2.799999952
"Theory, inner",0.4510200024,2.825000048
"Theory, inner",0.4548400044,2.849999905
"Theory, inner",0.4586400092,2.875
"Theory, inner",0.4623999894,2.900000095
"Theory, inner",0.4661299884,2.924999952
"Theory, inner",0.4698199928,2.950000048
"Theory, inner",0.4734899998,2.974999905
"Theory, inner",0.477120012,3.0
"Theory, inner",0.4807299972,3.025000095
"Theory, inner",0.4842999876,3.049999952
"Theory, inner",0.4878500104,3.075000048
"Theory, inner",0.4913600087,3.099999905
"Theory, inner",0.4948500097,3.125
"Theory, inner",0.4983099997,3.150000095
"Theory, inner",0.5017399788,3.174999952
"Theory, inner",0.5051500201,3.200000048
"Theory, inner",0.5085300207,3.224999905
