zone,y/Dj,u'v'/Uj^2
"x/Djet=2, Dwight 2022",0.0012725624015748032,-5.997949582179708e-07
"x/Djet=2, Dwight 2022",0.003911346850393701,-8.008011540426712e-07
"x/Djet=2, Dwight 2022",0.006744065157480316,-2.8353752883236127e-07
"x/Djet=2, Dwight 2022",0.009784206889763778,-9.797850917234265e-09
"x/Djet=2, Dwight 2022",0.013045747047244096,4.607738066123247e-08
"x/Djet=2, Dwight 2022",0.01654306338582677,6.138369747666389e-08
"x/Djet=2, Dwight 2022",0.02029082874015748,6.880923454829934e-08
"x/Djet=2, Dwight 2022",0.024303881889763783,7.14664901351697e-08
"x/Djet=2, Dwight 2022",0.02859706102362205,7.562168327633052e-08
"x/Djet=2, Dwight 2022",0.033185015748031496,8.307364138531856e-08
"x/Djet=2, Dwight 2022",0.038081976377952756,9.185279570711324e-08
"x/Djet=2, Dwight 2022",0.043301505905511815,1.0210012119821056e-07
"x/Djet=2, Dwight 2022",0.04885619881889764,1.13414403013384e-07
"x/Djet=2, Dwight 2022",0.0547573720472441,1.2527966355298804e-07
"x/Djet=2, Dwight 2022",0.06101471062992126,1.3868242136886195e-07
"x/Djet=2, Dwight 2022",0.06763590551181102,1.5372747666662493e-07
"x/Djet=2, Dwight 2022",0.07462626968503937,1.702398325151509e-07
"x/Djet=2, Dwight 2022",0.08198836614173229,1.8898604901342115e-07
"x/Djet=2, Dwight 2022",0.08972162401574804,2.1036448635214313e-07
"x/Djet=2, Dwight 2022",0.09782200984251968,2.341264583081271e-07
"x/Djet=2, Dwight 2022",0.10628171062992127,2.6020125259972485e-07
"x/Djet=2, Dwight 2022",0.11508889566929134,2.886028923400441e-07
"x/Djet=2, Dwight 2022",0.1242275472440945,3.2005001722466386e-07
"x/Djet=2, Dwight 2022",0.13367738188976377,3.5533518747729636e-07
"x/Djet=2, Dwight 2022",0.14341387992125987,3.944412765981968e-07
"x/Djet=2, Dwight 2022",0.15340843307086616,4.3755347400365664e-07
"x/Djet=2, Dwight 2022",0.16362860826771655,4.853266343664996e-07
"x/Djet=2, Dwight 2022",0.17403853937007877,5.380720138966442e-07
"x/Djet=2, Dwight 2022",0.18459943503937007,5.965001925246041e-07
"x/Djet=2, Dwight 2022",0.19527017716535436,6.614964598649465e-07
"x/Djet=2, Dwight 2022",0.206008031496063,7.334143630930877e-07
"x/Djet=2, Dwight 2022",0.2167693503937008,8.129980461801098e-07
"x/Djet=2, Dwight 2022",0.2275104527559055,9.012115994881383e-07
"x/Djet=2, Dwight 2022",0.23818830708661418,9.983440656895133e-07
"x/Djet=2, Dwight 2022",0.2487613779527559,1.1044759126234508e-06
"x/Djet=2, Dwight 2022",0.2591902559055118,1.220304704363404e-06
"x/Djet=2, Dwight 2022",0.26943836614173233,1.3466246799761324e-06
"x/Djet=2, Dwight 2022",0.27947240157480313,1.483848173713819e-06
"x/Djet=2, Dwight 2022",0.28926279527559057,1.6322468949516312e-06
"x/Djet=2, Dwight 2022",0.29878403543307086,1.791907625587269e-06
"x/Djet=2, Dwight 2022",0.3080147637795275,1.962815066144074e-06
"x/Djet=2, Dwight 2022",0.31693785433070865,2.144989247459681e-06
"x/Djet=2, Dwight 2022",0.3255403937007874,2.3383376281748698e-06
"x/Djet=2, Dwight 2022",0.3338134448818898,2.542447630696985e-06
