zone,x/Dj,y/Dj,u/Uj,v/Uj,u'v'/Uj^2,k/Uj^2
x/Dj=2,2.0,-1.379999995,0.009805999696,0.006324000191,2.822999932e-06,0.0002276300074
x/Dj=2,2.0,-1.360000014,0.009789999574,0.006262999959,2.777999953e-06,0.000220144997
x/Dj=2,2.0,-1.340000033,0.009797999635,0.006357999984,2.9549999e-06,0.0002181399905
x/Dj=2,2.0,-1.320000052,0.009793000296,0.006403999869,3.029000027e-06,0.0002152800007
x/Dj=2,2.0,-1.299999952,0.009824999608,0.006560000125,3.223000022e-06,0.0002139400021
x/Dj=2,2.0,-1.279999971,0.009782000445,0.006539000198,2.897000059e-06,0.0002052100026
x/Dj=2,2.0,-1.25999999,0.009631000459,0.006240000017,1.761000021e-06,0.0001703150047
x/Dj=2,2.0,-1.24000001,0.009642999619,0.00632000016,1.739000027e-06,0.0001680400019
x/Dj=2,2.0,-1.220000029,0.009690999985,0.006529000122,1.68400004e-06,0.0001694100065
x/Dj=2,2.0,-1.200000048,0.009704000317,0.006632999983,1.519999955e-06,0.0001701400033
x/Dj=2,2.0,-1.179999948,0.009721999988,0.00684799999,1.464999968e-06,0.0001720849978
x/Dj=2,2.0,-1.159999967,0.009719000198,0.006934999954,1.322000003e-06,0.0001717499981
x/Dj=2,2.0,-1.139999986,0.009752999991,0.00718599977,1.543000053e-06,0.0001741099986
x/Dj=2,2.0,-1.120000005,0.009765000083,0.007323000114,1.634e-06,0.0001746399939
x/Dj=2,2.0,-1.100000024,0.009863000363,0.007635000162,1.558999998e-06,0.0001803299965
x/Dj=2,2.0,-1.080000043,0.009898999706,0.00776699977,1.58499995e-06,0.0001835149887
x/Dj=2,2.0,-1.059999943,0.01009,0.008074999787,9.991000525e-07,0.0001956100023
x/Dj=2,2.0,-1.039999962,0.01013999991,0.008204000071,7.374000006e-07,0.000201435003
x/Dj=2,2.0,-1.019999981,0.0105100004,0.008561999537,-1.529999963e-06,0.0002223000047
x/Dj=2,2.0,-1.0,0.01059999969,0.008756999858,-2.087999974e-06,0.0002347000118
x/Dj=2,2.0,-0.9800000191,0.01137000043,0.009154999629,-8.275999789e-06,0.0002785499964
x/Dj=2,2.0,-0.9599999785,0.01155999955,0.009348999709,-9.559999853e-06,0.0002996000112
x/Dj=2,2.0,-0.9399999976,0.01295999996,0.009677000344,-2.494e-05,0.000373649993
