zone,x/Dj,y/Dj,u/Uj,v/Uj,u'v'/Uj^2,k/Uj^2
x/Dj=2,2.0,0.001276876777,0.9979929924,3.907652513e-08,6.162190441e-14,6.968425281e-10
x/Dj=2,2.0,0.003942391835,0.9979928732,1.134500849e-07,1.186344266e-14,6.968134403e-10
x/Dj=2,2.0,0.006839782,0.9979929328,1.870746615e-07,-1.726975225e-13,6.967563193e-10
x/Dj=2,2.0,0.009986088611,0.9979937673,1.815947428e-07,-3.554421839e-13,6.967035837e-10
x/Dj=2,2.0,0.01339897607,0.9979948401,2.088270605e-07,-2.346131373e-13,6.966542898e-10
x/Dj=2,2.0,0.01709663123,0.9979951978,2.349848813e-07,9.863399838e-14,6.965975574e-10
x/Dj=2,2.0,0.02109762281,0.9979942441,2.556405434e-07,2.580649453e-13,6.965208965e-10
x/Dj=2,2.0,0.0254207328,0.9979934096,3.07143182e-07,1.254449527e-14,6.964150367e-10
x/Dj=2,2.0,0.0300847441,0.9979941249,3.877078996e-07,-8.278696739e-14,6.962741494e-10
x/Dj=2,2.0,0.03510820121,0.9979940653,3.905938968e-07,6.731805868e-14,6.960944043e-10
x/Dj=2,2.0,0.04050911963,0.9979935884,4.503634159e-07,-9.538176286e-15,6.958706389e-10
x/Dj=2,2.0,0.04630465806,0.9979941845,5.666584002e-07,-1.750019265e-13,6.955949705e-10
x/Dj=2,2.0,0.05251073092,0.9979952574,5.298920769e-07,-8.725484595e-15,6.952604603e-10
x/Dj=2,2.0,0.05914162099,0.9979944229,6.003198791e-07,-4.001303344e-14,6.948595033e-10
x/Dj=2,2.0,0.06620952487,0.9979956746,6.169891549e-07,-2.636997608e-13,6.94382829e-10
x/Dj=2,2.0,0.07372406125,0.9979975224,7.02179932e-07,-2.454441002e-13,6.938208341e-10
x/Dj=2,2.0,0.0816918239,0.9979988933,7.581351724e-07,-1.864521856e-13,6.9316336e-10
x/Dj=2,2.0,0.0901158601,0.9980000257,8.420280437e-07,-1.548063435e-13,6.923998597e-10
x/Dj=2,2.0,0.09899522364,0.998001039,9.723706853e-07,-1.2095312e-13,6.915192308e-10
x/Dj=2,2.0,0.1083244979,0.9980018735,1.09806092e-06,-1.391608183e-13,6.905105376e-10
x/Dj=2,2.0,0.118093431,0.9980033636,1.209316451e-06,-2.164666829e-13,6.893629556e-10
x/Dj=2,2.0,0.128286615,0.9980054498,1.300218855e-06,-1.447646934e-13,6.880662151e-10
x/Dj=2,2.0,0.1388832778,0.998005867,1.401418217e-06,-2.568604034e-14,6.866068825e-10
x/Dj=2,2.0,0.1498571634,0.9980060458,1.500818485e-06,-2.160358887e-14,6.849732448e-10
x/Dj=2,2.0,0.1611765772,0.9980063438,1.654967491e-06,-4.041025462e-14,6.831633592e-10
x/Dj=2,2.0,0.1728046238,0.9980068803,1.814472739e-06,-8.517998454e-14,6.811728404e-10
x/Dj=2,2.0,0.184699446,0.9980080128,1.987322548e-06,-1.065954847e-13,6.789975249e-10
x/Dj=2,2.0,0.1968148351,0.9980090857,2.137130195e-06,-7.224919312e-14,6.766364691e-10
x/Dj=2,2.0,0.2091008127,0.9980094433,2.304695954e-06,-2.073850904e-14,6.740900615e-10
x/Dj=2,2.0,0.2215044498,0.9980097413,2.437084504e-06,-8.676684317e-14,6.713621326e-10
x/Dj=2,2.0,0.2339707166,0.998011291,2.599501613e-06,-1.338372772e-13,6.684480192e-10
x/Dj=2,2.0,0.2464434803,0.9980123639,2.752147566e-06,-5.689973639e-14,6.653618767e-10
x/Dj=2,2.0,0.2588665485,0.9980124831,2.912313676e-06,4.245710974e-14,6.621267423e-10
x/Dj=2,2.0,0.2711845934,0.9980117083,3.084244781e-06,1.308614133e-13,6.58757715e-10
x/Dj=2,2.0,0.283344239,0.9980100393,3.253229579e-06,2.053407222e-13,6.552722254e-10
x/Dj=2,2.0,0.2952948213,0.9980077147,3.374661674e-06,2.768754735e-13,6.516784889e-10
x/Dj=2,2.0,0.3069894016,0.9980048537,3.530360345e-06,2.752692009e-13,6.479987658e-10
x/Dj=2,2.0,0.3183852434,0.9980026484,3.704955361e-06,2.173661099e-13,6.442640865e-10
x/Dj=2,2.0,0.3294444382,0.9980009198,3.799536898e-06,2.571163226e-13,6.404896058e-10
x/Dj=2,2.0,0.3401342928,0.99799788,3.811606803e-06,4.016248597e-13,6.366791538e-10
x/Dj=2,2.0,0.3504275084,0.9979939461,3.929052582e-06,4.992492422e-13,6.328891855e-10
x/Dj=2,2.0,0.3603022993,0.997989893,3.96886162e-06,4.531196111e-13,6.291475674e-10
x/Dj=2,2.0,0.3697421551,0.9979866743,3.975984328e-06,4.742661342e-13,6.924517071e-10
x/Dj=2,2.0,0.3787358701,0.9979833364,4.001390607e-06,3.761218836e-10,6.356766846e-08
x/Dj=2,2.0,0.3872771859,0.9977222681,2.034702629e-05,7.310899491e-06,5.830958617e-05
x/Dj=2,2.0,0.3953642249,0.993258357,0.000288778625,0.0001746119378,0.0008171500522
x/Dj=2,2.0,0.4029993415,0.9756929278,0.001227803994,0.0009972203989,0.003145388095
x/Dj=2,2.0,0.4101884663,0.9504747987,0.002469779458,0.002177416813,0.006135363132
x/Dj=2,2.0,0.4169406593,0.924161911,0.003645886434,0.003280599602,0.009045193903
x/Dj=2,2.0,0.4232676029,0.8989344835,0.004677383695,0.004251467064,0.01166925672
x/Dj=2,2.0,0.4291831851,0.8752805591,0.005547568668,0.005082577467,0.01395267714
x/Dj=2,2.0,0.434703052,0.8532491326,0.006284790579,0.005798635539,0.01594047248
x/Dj=2,2.0,0.4398440719,0.8329551816,0.00689786626,0.006406292785,0.01764324494
x/Dj=2,2.0,0.444624126,0.8142198324,0.007407316472,0.006923235953,0.01910422929
x/Dj=2,2.0,0.4490616322,0.7970123291,0.007831499912,0.007364117075,0.02035936154
x/Dj=2,2.0,0.4531752765,0.7812197804,0.008178259246,0.007736216765,0.02142718807
x/Dj=2,2.0,0.4569838345,0.7667390704,0.008466238156,0.008054393344,0.0223468896
x/Dj=2,2.0,0.4605059028,0.7534614205,0.008700697683,0.008323950693,0.02313163318
x/Dj=2,2.0,0.4637596905,0.7413351536,0.008892486803,0.008553307503,0.0238043759
x/Dj=2,2.0,0.4667629004,0.7302033901,0.009050295688,0.00875020586,0.02438620105
x/Dj=2,2.0,0.4695326686,0.7200228572,0.009176954627,0.008917186409,0.02488360181
