x_mm,y_mm,z_mm,p,Cp
-215.0,0.0,338.0,-322.7073974609375,-0.4398397493362427
-215.0,-30.0,338.0,-325.4913024902344,-0.4433196306228638
-215.0,-60.0,338.0,-333.2049255371094,-0.4529616594314575
-215.0,-90.0,338.0,-344.67071533203125,-0.46729389667510984
-215.0,-120.0,338.0,-357.54547119140625,-0.4833873414993286
-215.0,-150.0,338.0,-362.7266540527344,-0.4898638200759888
-215.0,-157.5,338.0,-360.13824462890625,-0.4866283082962036
-215.0,-165.0,338.0,-356.4200134277344,-0.4819805192947388
-215.0,-172.5,338.0,-346.82135009765625,-0.4699821901321411
-215.0,-180.0,338.0,-336.7770690917969,-0.4574268388748169
-215.0,-187.5,338.0,-323.0595703125,-0.4402799654006958
-208.0,0.0,338.0,-356.7939147949219,-0.4824478960037231
-208.0,-30.0,338.0,-361.0185546875,-0.4877286958694458
-208.0,-60.0,338.0,-372.0851745605469,-0.5015619707107544
-208.0,-90.0,338.0,-389.23760986328125,-0.5230025148391724
-208.0,-120.0,338.0,-411.048828125,-0.5502665376663208
-208.0,-150.0,338.0,-427.1138000488281,-0.5703477525711059
-208.0,-157.5,338.0,-427.6199035644531,-0.5709803819656372
-208.0,-165.0,338.0,-425.9793395996094,-0.5689296770095825
-208.0,-172.5,338.0,-420.3444519042969,-0.5618860673904419
-208.0,-180.0,338.0,-412.99957275390625,-0.5527049684524536
-208.0,-187.5,338.0,-403.68621826171875,-0.5410632753372192
-215.0,-194.5,57.0,-110.86471557617188,-0.17503639698028564
-215.0,-194.5,133.0,-116.0936050415039,-0.1815725088119507
-215.0,-194.5,193.0,-119.21370697021484,-0.18547263622283935
-215.0,-194.5,253.0,-132.4961700439453,-0.20207571506500244
-215.0,-194.5,314.0,-182.36558532714844,-0.26441248416900637
-215.0,-194.5,322.0,-199.88963317871094,-0.2863175439834595
-215.0,-194.5,330.0,-215.08297729492188,-0.30530922412872313
-208.0,-194.5,314.0,-191.20199584960938,-0.27545799732208254
-208.0,-194.5,322.0,-214.031494140625,-0.30399487018585203
-208.0,-194.5,330.0,-235.75784301757812,-0.33115280628204347
-195.51,-194.5,312.35,-201.60275268554688,-0.2884589433670044
-195.51,-194.5,320.35,-233.4009246826172,-0.3282066583633423
-195.51,-194.5,328.35,-310.8765563964844,-0.42505119800567626
-188.26,-194.5,308.97,-204.45217895507812,-0.29202072620391845
-188.26,-194.5,316.97,-235.7917022705078,-0.3311951303482056
-188.26,-194.5,324.97,-271.9586486816406,-0.3764038133621216
-181.01,-194.5,57.0,-98.86714935302734,-0.160039439201355
-181.01,-194.5,133.0,-113.26502227783203,-0.17803678035736084
-181.01,-194.5,193.0,-119.8379135131836,-0.1862528944015503
-181.01,-194.5,253.0,-138.83250427246094,-0.20999613285064697
-181.01,-194.5,305.59,-202.4917449951172,-0.28957018375396726
-181.01,-194.5,313.59,-232.29461669921875,-0.32682377338409424
-181.01,-194.5,321.59,-265.3783874511719,-0.36817848682403564
-173.76,-194.5,302.2,-200.02182006835938,-0.28648277759552004
-173.76,-194.5,310.2,-228.6996612548828,-0.32233007907867434
-173.76,-194.5,318.2,-260.89996337890625,-0.3625804567337036
-155.63,-194.5,293.75,-196.54736328125,-0.2821397066116333
-155.63,-194.5,301.75,-214.34185791015625,-0.30438282489776614
-155.63,-194.5,309.75,-271.432861328125,-0.375746579170227
-128.45,-194.5,57.0,-106.57086181640625,-0.1696690797805786
-128.45,-194.5,133.0,-111.16545104980469,-0.17541231632232665
-128.45,-194.5,193.0,-120.52068328857422,-0.18710635662078856
-128.45,-194.5,253.0,-146.35899353027344,-0.2194042444229126
-128.45,-194.5,281.07,-177.22743225097656,-0.25798979282379153
-128.45,-194.5,289.07,-193.57554626464844,-0.27842493534088136
-128.45,-194.5,297.07,-226.29132080078125,-0.31931965351104735
-101.26,-194.5,268.4,-170.03717041015625,-0.2490019655227661
-101.26,-194.5,276.4,-186.57687377929688,-0.2696765947341919
-101.26,-194.5,284.4,-212.67861938476562,-0.3023037767410278
-74.07,-194.5,57.0,-103.22479248046875,-0.16548649311065675
-74.07,-194.5,133.0,-111.13262176513672,-0.1753712797164917
-74.07,-194.5,193.0,-120.94060516357422,-0.18763125896453858
