x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-38.0,-250.0,28.0,39.710175,-1.0771805,-1.0028942,6.547667,929.6011,-113.09612,0.0070459694,4.321552,4.2868266,4.497773,-0.81294113,-1.1476989,-0.941271
-38.0,-250.0,38.0,41.3163,0.89517695,-1.0913657,6.0370016,856.7406,-112.081924,0.007044595,4.027298,3.944555,4.122045,-0.4973455,-1.2165153,-0.5664317
-38.0,-250.0,58.0,44.747684,2.545552,-1.0073037,1.5289587,535.67065,-108.269295,0.002789613,1.0059599,1.1253334,0.9269436,-0.12117997,-0.25763026,0.2291285
-38.0,-250.0,78.0,44.659443,1.924388,-0.6256688,0.29643142,203.28665,-106.21539,0.0011198416,0.19221102,0.23992437,0.15731111,-0.0005290937,0.050581995,0.08402877
-38.0,-250.0,98.0,43.884487,1.3866105,-0.2722542,0.116068885,155.39697,-106.20271,0.00074544805,0.074687496,0.10367629,0.051489912,-0.0016679189,0.023809234,0.0318211
-38.0,-250.0,118.0,43.471165,1.0797622,0.0610247,0.04098619,114.51397,-106.9895,0.00035699882,0.02631614,0.039082758,0.015956452,-0.002989573,0.003784668,0.006723099
-38.0,-250.0,138.0,43.354107,0.96869564,0.36022457,0.01640837,82.69289,-108.19253,0.00019845738,0.0104808,0.016762834,0.00532872,-0.0020844103,0.00041547394,0.0009162004
-38.0,-250.0,158.0,43.33064,0.96962816,0.6357112,0.0076610823,58.99092,-109.65746,0.00012996802,0.004880846,0.008694926,0.0015726553,-0.0014557828,-0.00013235195,-0.0004869623
-38.0,-250.0,178.0,43.3438,1.0544963,0.9115132,0.0045838677,45.61798,-111.39386,0.000100759775,0.002975983,0.0058145765,0.00021634903,-0.0012046553,-0.000275342,-0.0011979782
-38.0,-250.0,198.0,43.388,1.2361386,1.1950431,0.0027670765,30.777033,-113.523346,5.0647144e-05,0.0018839622,0.0031884774,0.0004089896,-0.00067754486,-0.0002356598,-0.0011120446
-38.0,-250.0,218.0,43.44849,1.5346692,1.4757974,0.0018644243,21.370146,-116.18392,2.1163181e-05,0.0013070491,0.0017395843,0.0006691122,-0.00033876058,-0.00010957612,-0.0007481241
-38.0,-250.0,238.0,43.507065,1.9829042,1.7197821,0.0015582164,17.054718,-119.25656,1.1571156e-05,0.0011094406,0.0011976872,0.0008062002,-0.00023126577,-5.2053827e-05,-0.0006085912
