x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
200.0,-400.0,28.0,33.737793,0.6439001,0.5214242,6.2655125,806.4208,-34.211143,0.0077492413,4.323471,4.253287,3.9468038,0.056795705,-1.8932064,-0.17959234
200.0,-400.0,38.0,36.03161,0.87870246,0.6444903,5.9924703,708.672,-34.225338,0.008036573,4.152328,3.985218,3.8447282,0.10312414,-1.8122296,-0.27992037
200.0,-400.0,58.0,40.510006,1.4883758,0.7369091,3.4712722,582.1402,-34.307804,0.005406241,2.429228,2.216497,2.2993612,0.109851114,-1.1160262,-0.18792963
200.0,-400.0,78.0,43.10722,1.8607818,0.69462293,0.4578041,247.21675,-34.460026,0.0017438653,0.3279706,0.26516917,0.32379934,-0.0065643266,-0.05026682,-0.025171723
200.0,-400.0,98.0,42.536446,1.945906,0.5694523,0.122191526,104.557076,-34.599373,0.0011661923,0.09284362,0.057516593,0.096263796,-0.001632114,0.052204754,-0.0057351887
200.0,-400.0,118.0,41.849518,1.981008,0.46526337,0.045042366,50.644222,-34.657837,0.00081227045,0.03898299,0.013913363,0.03777114,-0.0017101265,0.018650929,-0.00196086
200.0,-400.0,138.0,41.587868,2.0301692,0.38191184,0.016325403,24.652752,-34.60908,0.000459632,0.016168496,0.0023206174,0.0144591415,-0.00067523815,0.0029744382,-0.0010327421
200.0,-400.0,158.0,41.51674,2.0533557,0.30364445,0.0061445115,11.841901,-34.47439,0.00016349323,0.0059862686,0.0013034965,0.0051983353,-0.00026406982,0.00032198656,-0.00053208426
200.0,-400.0,178.0,41.504826,2.06751,0.23706014,0.002925437,5.753028,-34.232506,6.384994e-05,0.0026810113,0.00081079477,0.0023846019,-8.355053e-05,6.105874e-07,-0.00019788976
200.0,-400.0,198.0,41.51982,2.0787156,0.16044128,0.001679208,2.374918,-33.884014,2.9992794e-05,0.001457415,0.00057042576,0.0013697156,-3.4688568e-05,-9.438358e-06,-8.342633e-05
200.0,-400.0,218.0,41.528656,2.102623,0.08506971,0.001330569,1.1353965,-33.439938,2.564018e-05,0.0011700001,0.0004374564,0.0010754176,-2.6651323e-05,1.2320795e-05,-1.2362663e-05
200.0,-400.0,238.0,41.525295,2.1121662,0.001534793,0.0011879189,0.6752602,-32.90092,2.104346e-05,0.0010180654,0.0003869601,0.0009880612,-1.3979788e-05,2.2603655e-05,2.338468e-05
200.0,-400.0,258.0,41.514153,2.126213,-0.089586295,0.0011262784,0.49380326,-32.317924,2.1025286e-05,0.0009703836,0.00038481032,0.00092735596,-5.925131e-06,3.2687454e-05,9.041386e-06
200.0,-400.0,278.0,41.495953,2.109629,-0.16845186,0.0011064477,0.4144726,-31.684961,1.985658e-05,0.0009378486,0.00034908805,0.0009264123,1.0309384e-06,3.461176e-05,1.7491113e-05
200.0,-400.0,298.0,41.47267,2.0668235,-0.27629456,0.0010960865,0.3750525,-31.000633,1.9989662e-05,0.00092278735,0.00035855477,0.0009232168,-4.0378953e-07,3.6227484e-05,-1.1364968e-05
200.0,-400.0,318.0,41.452896,2.0255392,-0.35716859,0.0010930045,0.3396825,-30.372482,2.0914731e-05,0.0009252973,0.00038928405,0.0008956862,5.381089e-06,3.3955428e-05,0.00010769927
200.0,-400.0,338.0,41.433113,1.9759419,-0.45026994,0.0010918282,0.33856946,-29.738094,1.8317234e-05,0.00089260266,0.0003929185,0.00090659055,1.337346e-05,3.0174077e-05,0.00015414698
200.0,-400.0,358.0,41.415977,1.9508103,-0.53811127,0.0010911066,0.31079236,-29.192257,2.1637243e-05,0.00091394974,0.00044653832,0.0008401104,1.7317761e-05,2.8573451e-05,0.00018108547
200.0,-400.0,378.0,41.401512,1.8620679,-0.59729785,0.0010908389,0.30987057,-28.673811,2.032809e-05,0.0008950261,0.00040501048,0.0008976454,1.9012818e-05,2.3985858e-05,0.00015615288
200.0,-400.0,398.0,41.38663,1.7709725,-0.67812955,0.0010905995,0.2907411,-28.229248,2.4336523e-05,0.00091903855,0.0003734764,0.00090108626,2.1535525e-05,2.4964938e-05,9.276007e-05
200.0,-400.0,418.0,41.376343,1.668903,-0.71164113,0.0010903362,0.27731952,-27.827486,2.3837898e-05,0.000906866,0.00046768514,0.0008239962,1.6047967e-05,1.7534057e-05,0.00021663355
200.0,-400.0,438.0,41.36547,1.5721198,-0.7656701,0.0010902459,0.2769659,-27.472313,2.2358865e-05,0.0008878401,0.00046860272,0.0008326067,1.9804214e-05,1.7942726e-05,0.00024292912
200.0,-400.0,488.0,41.34476,1.335881,-0.8493677,0.0010899281,0.26059422,-26.825624,2.3890594e-05,0.0008795802,0.00046375045,0.0008428417,1.723316e-05,1.2439384e-05,0.00023658853
200.0,-400.0,538.0,41.331284,1.1457562,-0.86707985,0.0010894653,0.22014901,-26.431395,3.3161334e-05,0.0009161034,0.00054253393,0.0007210021,1.8795994e-05,8.609812e-06,0.00027079834
200.0,-350.0,28.0,35.629772,0.18818176,0.5265617,4.6112843,696.66095,-36.929607,0.006641941,3.1940236,3.2341933,2.7925413,-0.08129599,-1.1980677,-0.32866564
200.0,-350.0,38.0,37.228703,0.84332484,0.7098194,4.4020505,612.61993,-37.025017,0.007188039,3.0563805,3.014504,2.7331288,-0.20205148,-1.0937734,-0.46629277
200.0,-350.0,58.0,40.43841,2.0476599,0.8400417,3.3461668,562.54346,-37.246563,0.0059200986,2.3756118,2.101591,2.2152486,-0.08368781,-1.0463983,-0.26775312
200.0,-350.0,78.0,43.13436,2.5733528,0.7888003,0.47693282,264.53516,-37.462543,0.0016760554,0.34586936,0.2674716,0.34056094,-0.0038886701,-0.063429795,-0.010432997
200.0,-350.0,98.0,42.5961,2.5763953,0.631161,0.13226935,110.76943,-37.723976,0.0011903761,0.10343959,0.055786993,0.105335355,-0.0024913487,0.04853166,0.0018106449
200.0,-350.0,118.0,41.93257,2.5567663,0.5120877,0.052433547,58.695442,-37.86763,0.0008832935,0.047740165,0.013403421,0.04369738,-0.0023795795,0.020248843,0.00074399705
200.0,-350.0,138.0,41.651535,2.549184,0.4288298,0.018036302,29.553152,-37.869778,0.0005259311,0.020088773,0.00013517402,0.015840858,-0.0014869374,0.003772428,-0.0002460329
200.0,-350.0,158.0,41.57069,2.5575745,0.36080453,0.0071060667,15.339904,-37.7,0.00020615842,0.007925637,0.00019634329,0.006098276,-0.00055423944,0.00050193194,-0.0004106717
200.0,-350.0,178.0,41.545555,2.5839512,0.29339823,0.003398572,8.223507,-37.35186,8.064199e-05,0.0034989412,0.00046834268,0.0028308483,-0.00019233502,6.733847e-05,-0.00022825821
200.0,-350.0,198.0,41.552387,2.6125062,0.21813272,0.0018352641,3.5848792,-36.812748,2.9605862e-05,0.0016668532,0.000537857,0.0014657757,-5.7931666e-05,1.003638e-05,-9.239708e-05
200.0,-350.0,218.0,41.55589,2.6430507,0.12846966,0.0013840975,1.7589322,-36.08366,2.0004229e-05,0.0012140109,0.00043657998,0.0011177151,-3.0447252e-05,2.415336e-05,-5.6991517e-05
200.0,-350.0,238.0,41.5453,2.6665545,0.02333843,0.0012198414,1.066177,-35.18227,1.7017288e-05,0.0010524889,0.0003816964,0.0010052552,-1.6624708e-05,3.5591827e-05,-3.2324177e-05
200.0,-350.0,258.0,41.524815,2.677089,-0.09681938,0.0011400061,0.7813967,-34.17629,1.5484005e-05,0.00096744444,0.00035692702,0.00096302154,-6.485135e-06,3.86875e-05,3.7116486e-06
200.0,-350.0,278.0,41.496735,2.6643016,-0.22996919,0.0011135178,0.6249733,-33.0468,1.4869926e-05,0.00093425,0.0003484758,0.00094446185,4.731399e-06,4.210423e-05,3.2155483e-05
200.0,-350.0,298.0,41.464054,2.6321049,-0.36726722,0.0011001556,0.53159547,-31.927504,1.4713649e-05,0.0009141654,0.00035040386,0.00093568215,1.2795367e-05,4.179164e-05,6.585074e-05
200.0,-350.0,318.0,41.435497,2.5766234,-0.5033355,0.0010952448,0.48029056,-30.854792,1.4831008e-05,0.0009027662,0.0003603295,0.00092746504,2.031607e-05,3.4994307e-05,0.00010467546
200.0,-350.0,338.0,41.40823,2.4975255,-0.63192946,0.0010936676,0.44949004,-29.877401,1.5148682e-05,0.00089615164,0.00037501243,0.00091614074,2.5299567e-05,3.457379e-05,0.00013788306
