x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-1442.0,0.0,28.0,36.963985,-0.0005276754,-0.16975774,2.0597558,1052.813,143.74298,0.0017754617,1.4203826,1.3460487,1.3531041,-0.00020523195,-0.602949,-2.6027139e-05
-1442.0,0.0,48.0,39.38305,-0.0004572804,-0.06173848,0.47316557,368.065,141.35783,0.0012732049,0.34679973,0.2979572,0.30166653,-1.3838743e-05,-0.024447521,-2.1051635e-06
-1442.0,0.0,68.0,38.704285,-0.0004477475,0.048322022,0.14031732,134.95036,138.85786,0.0010019505,0.11860612,0.07950738,0.08239359,7.942283e-07,0.043749657,2.1067654e-06
-1442.0,0.0,88.0,37.859547,-0.00046439335,0.16106877,0.042721603,48.50302,136.45341,0.00043333735,0.039730027,0.022308128,0.023411132,-1.914157e-07,0.012752877,5.46037e-07
-1442.0,0.0,108.0,37.462883,-0.00045778824,0.28248337,0.018653495,23.014992,134.123,0.00026880615,0.019625545,0.008593363,0.009088286,-1.5741188e-06,0.0016691259,9.440025e-07
-1442.0,0.0,128.0,37.383865,-0.00048206685,0.40802315,0.0077187777,9.596549,131.78223,0.00010350721,0.007929531,0.0036655632,0.0038431739,-1.2848017e-06,-0.00027513396,3.206381e-07
-1442.0,0.0,148.0,37.40716,-0.00045964992,0.5338458,0.0034215285,3.6966643,129.33514,4.4401677e-05,0.0034636084,0.0016545316,0.0017245016,-7.270418e-07,-0.00027221744,1.4969923e-07
-1442.0,0.0,168.0,37.497578,-0.0004682018,0.6577395,0.0017896548,1.2434313,126.690674,2.2889699e-05,0.0017909722,0.00087402435,0.0009143076,-3.686699e-07,-0.00019767611,1.17126014e-07
-1442.0,0.0,188.0,37.598003,-0.00045023524,0.77701354,0.00134497,0.54849446,123.78124,1.756385e-05,0.0013415129,0.00065637205,0.0006919579,-2.2977734e-07,-0.00015820528,7.8542655e-08
-1442.0,0.0,208.0,37.695454,-0.0004333708,0.8906342,0.0012045774,0.32498398,120.56443,1.6262611e-05,0.0011989505,0.0005859108,0.000624205,-2.0448476e-07,-0.00014647868,7.995239e-08
-1442.0,0.0,228.0,37.793056,-0.00042800917,0.99688315,0.0011266111,0.20436253,117.02137,1.567763e-05,0.0011152916,0.0005470508,0.00059083255,-1.8614341e-07,-0.00014845138,8.789865e-08
-1442.0,0.0,248.0,37.891518,-0.00039525054,1.0956131,0.0011011992,0.15977648,113.14815,1.5771266e-05,0.0010810967,0.0005378348,0.00058350526,-1.7506187e-07,-0.00016062846,9.384643e-09
-1442.0,0.0,268.0,37.986477,-0.00036485126,1.18384,0.001089313,0.1404392,108.96801,1.6064005e-05,0.0010575794,0.00052593206,0.00059533154,-1.7587105e-07,-0.00017423349,-2.1156074e-08
-1442.0,0.0,288.0,38.096985,-0.00034576087,1.260622,0.0010852998,0.13273725,104.514656,1.6469357e-05,0.0010390539,0.0005286472,0.00060318044,-1.6737256e-07,-0.00019260492,-5.768768e-08
-1442.0,0.0,308.0,38.211025,-0.00033081011,1.3301625,0.0010844255,0.13030806,99.83149,1.7493865e-05,0.0010298303,0.00052810356,0.00061127346,-2.0456457e-07,-0.00020173301,-5.2328172e-08
-1442.0,0.0,328.0,38.330795,-0.00036051992,1.3883418,0.001083851,0.12913479,94.97065,1.7921684e-05,0.0010094813,0.000529815,0.000629237,-2.4654145e-07,-0.00022104697,-1.7131487e-09
-1442.0,0.0,348.0,38.455944,-0.00036600122,1.4349047,0.0010836946,0.12854339,89.99008,1.860221e-05,0.000990516,0.00053362024,0.00064412085,-3.0591684e-07,-0.00023715057,3.0794137e-08
-1442.0,0.0,368.0,38.57233,-0.0003649598,1.4727112,0.0010836681,0.12791486,84.9464,1.9800447e-05,0.00097476086,0.0005362412,0.0006569388,-3.0777073e-07,-0.000247836,8.540228e-08
-1442.0,0.0,388.0,38.69341,-0.000352236,1.4954048,0.0010836633,0.12750159,79.8859,1.9947052e-05,0.0009453178,0.0005237594,0.00069792854,-2.6757118e-07,-0.00025893853,1.2988481e-07
-1442.0,0.0,408.0,38.823627,-0.00034098004,1.5058637,0.0010836724,0.12656727,74.8774,2.1832882e-05,0.000931591,0.00053508306,0.00069942756,-2.2248774e-07,-0.00026965863,1.6404117e-07
-1442.0,0.0,428.0,38.946556,-0.00033461952,1.5135614,0.0010836874,0.1262316,69.936386,2.2826809e-05,0.0009195574,0.0005400557,0.0007146182,-1.3682265e-07,-0.00028032146,7.989179e-08
-1442.0,0.0,458.0,39.122166,-0.00024479593,1.5054991,0.0010836881,0.12506866,62.880604,2.5841864e-05,0.0008865481,0.00053094764,0.0007531751,-1.941135e-07,-0.00028373275,-6.099484e-08
-1442.0,0.0,488.0,39.28399,-0.00023205191,1.4837277,0.0010837198,0.12464324,56.162247,2.699832e-05,0.00084440084,0.00054117123,0.00078273006,-2.3584347e-07,-0.00029448766,-8.906519e-08
-1442.0,0.0,518.0,39.439682,-0.00035798142,1.4446539,0.0010837285,0.12385862,49.976425,2.9700017e-05,0.0008093875,0.00052936235,0.0008153897,-2.4449807e-07,-0.00030385272,1.05886755e-07
-1442.0,0.0,558.0,39.628815,-0.00033436748,1.3775008,0.001083724,0.12268855,42.399296,3.3868862e-05,0.00077035266,0.0005344684,0.000838742,-6.23551e-09,-0.00030453768,1.6107812e-07
-1442.0,0.0,598.0,39.78782,-0.00044759092,1.3007362,0.0010837163,0.12175786,35.98288,3.8444105e-05,0.0007272416,0.000554107,0.00089215394,4.308296e-08,-0.00029446228,-6.179973e-08
-1442.0,0.0,638.0,39.91993,-0.00044483552,1.2174425,0.001083713,0.121020555,30.541386,4.4072804e-05,0.00070404686,0.00055035565,0.00091672805,5.3179228e-08,-0.0003039637,-7.0881796e-08
-1442.0,0.0,688.0,40.07001,-0.0004571784,1.103114,0.001083702,0.12006174,24.29124,5.157775e-05,0.0006552612,0.0005608371,0.0009495226,6.484606e-08,-0.00028013787,-5.2732094e-08
-1442.0,0.0,738.0,40.18432,-0.000460064,0.99405336,0.001083681,0.119205534,19.449162,5.9823447e-05,0.00061479985,0.00057110965,0.0009787795,7.7026556e-08,-0.00025535413,-5.2294904e-08
-1262.0,0.0,28.0,33.253563,-0.00096615555,-0.08360857,2.8599155,1118.4608,257.9909,0.0022251348,2.030088,1.8011259,1.8878802,-0.0002265909,-0.8822395,-6.151185e-05
-1262.0,0.0,48.0,36.139545,-0.00076412817,-0.017827464,0.43907765,338.33786,262.07828,0.0012881334,0.35973302,0.23590133,0.28243423,1.6470192e-05,-0.009575526,-1.1793436e-05
-1262.0,0.0,68.0,35.300537,-0.00067344983,0.0854533,0.15801385,145.16519,266.81976,0.00086253387,0.15575746,0.066139765,0.094112106,2.1792875e-05,0.057499163,-4.17186e-06
-1262.0,0.0,88.0,34.18574,-0.00061247166,0.24671945,0.05471932,61.828674,271.2146,0.00029407415,0.055971976,0.022646936,0.03082097,7.2285366e-06,0.015495807,3.817472e-08
-1262.0,0.0,108.0,33.527653,-0.00059979537,0.4706308,0.0230435,30.691628,274.7229,0.00013301049,0.025137285,0.0089708585,0.01197546,2.5850038e-06,0.003253404,1.6368094e-07
-1262.0,0.0,128.0,33.279945,-0.00054995436,0.75151056,0.00918928,13.920293,276.87866,4.5929864e-05,0.009758475,0.0038966013,0.004723183,5.389508e-07,0.00042923403,1.5274924e-07
-1262.0,0.0,148.0,33.2079,-0.0005930944,1.0779923,0.003955591,5.721805,277.19107,1.7153057e-05,0.0040611383,0.0018040482,0.00204602,1.2656503e-07,2.3797181e-06,3.787557e-08
-1262.0,0.0,168.0,33.261333,-0.0005966605,1.4375983,0.0021080738,2.2888777,275.28638,8.762639e-06,0.0021528723,0.00098321,0.0010798527,5.6303605e-08,-8.245938e-05,2.9106582e-08
-1262.0,0.0,188.0,33.40548,-0.00061025145,1.8144846,0.0014260296,0.8820018,270.87006,5.8267565e-06,0.0014484124,0.0006743489,0.0007289938,5.6661538e-08,-9.586744e-05,3.479379e-08
-1262.0,0.0,208.0,33.617004,-0.00062433217,2.1924732,0.0012619001,0.5449647,263.7346,5.147012e-06,0.0012704992,0.00060308474,0.00065041945,7.240752e-08,-0.00012012769,1.5191159e-08
-1262.0,0.0,228.0,33.889523,-0.0005583273,2.553271,0.0011492313,0.3223404,253.97093,4.7254434e-06,0.0011419816,0.00055471226,0.00060168264,5.506526e-08,-0.00014273495,1.422186e-08
-1262.0,0.0,248.0,34.221996,-0.000540322,2.8839254,0.0011087562,0.23872986,241.76462,4.663212e-06,0.001083601,0.00053968607,0.0005941574,5.2736866e-08,-0.00016901459,1.0252058e-08
-1262.0,0.0,268.0,34.604877,-0.0004966268,3.171048,0.001095142,0.20490861,227.4946,4.7815806e-06,0.0010487345,0.0005352177,0.00060618744,5.021045e-08,-0.00019498347,-2.1761457e-09
-1262.0,0.0,288.0,35.03123,-0.0004622767,3.401125,0.0010870713,0.183144,211.61127,4.922611e-06,0.0010134187,0.00053487055,0.000625824,4.3646192e-08,-0.00022172007,-1.7749697e-08
-1262.0,0.0,308.0,35.493942,-0.0004575706,3.5728538,0.0010855244,0.17582664,194.62874,5.1920433e-06,0.0009831488,0.00053852086,0.0006493158,5.043193e-08,-0.0002447048,-1.6583225e-08
