x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-243.0,-195.0,340.0,37.897873,2.6424832,2.1550145,7.723547,9181.058,-193.18538,0.0009219532,5.053925,4.9562874,5.5367045,1.5332196,-1.9513355,-0.0022484143
-243.0,-195.0,343.0,41.64538,3.287131,1.6018137,4.307647,3962.217,-192.07907,0.0010323925,2.7598917,2.6554494,3.2105446,0.6011208,-0.88059455,0.27791378
-243.0,-195.0,348.0,44.11588,3.0195673,0.96722233,1.0778751,1592.8296,-189.94472,0.0005769238,0.6668743,0.65611273,0.82749933,0.10362567,-0.17945154,0.094352625
-243.0,-195.0,358.0,45.0035,2.4814613,0.20779848,0.040789556,209.96448,-184.67973,9.8857476e-05,0.02112097,0.021976303,0.03836836,-0.004428901,-0.000954655,0.008275959
-243.0,-195.0,388.0,44.54283,1.8212651,-0.57698435,0.0011195946,3.006518,-163.19604,5.5004143e-06,0.00059959874,0.0007317536,0.00090671977,-0.00017879884,0.00018031271,0.0001792435
-223.0,-195.0,340.0,39.33157,3.7238698,2.8208132,7.7335243,9510.034,-244.7518,0.0008646962,4.976756,4.8618736,5.777858,1.3392332,-1.8978026,-0.051684283
-223.0,-195.0,343.0,43.129322,4.4901457,1.8170307,3.987843,3941.5835,-241.70499,0.00092541944,2.4653475,2.3464959,3.1811585,0.40043575,-0.7341956,0.35608438
-223.0,-195.0,348.0,45.260044,4.0212646,0.84777904,0.9068454,1453.6825,-234.31183,0.00049735897,0.5247179,0.53081834,0.7513773,0.04257709,-0.11439818,0.11587852
-223.0,-195.0,358.0,45.693325,3.182447,-0.17816894,0.038384035,199.53406,-217.74696,7.735245e-05,0.018649,0.021423656,0.03643541,-0.006573299,0.0032289417,0.009421147
-223.0,-195.0,388.0,44.795822,2.1904223,-0.9732481,0.0011195006,3.04243,-175.63649,4.248227e-06,0.00065399247,0.00074163044,0.00084318937,-0.00017241779,0.00020770548,0.00019702865
-203.0,-195.0,340.0,44.490078,8.261834,3.5451617,7.8585095,10589.259,-445.23715,0.00065240456,3.9315288,4.7899246,5.575301,0.8996213,-5.2418785,-0.13832083
-203.0,-195.0,343.0,46.498566,7.756102,0.8739382,3.0557787,3858.9543,-366.27814,0.0006113414,1.7655244,1.464664,2.7314682,-0.12179748,-0.13941726,0.63408417
-203.0,-195.0,348.0,47.127827,6.3192945,-0.5365863,0.60998636,1207.5089,-315.55487,0.00026644897,0.375525,0.34739083,0.4879961,-0.051362492,0.035937723,0.13745338
-203.0,-195.0,358.0,46.33166,4.3839293,-1.2887676,0.039136264,192.46172,-253.84212,4.1931657e-05,0.025179898,0.023272559,0.029500384,-0.0058672405,0.006884083,0.010665324
-203.0,-195.0,388.0,44.92311,2.635202,-1.52577,0.0011187711,3.0471256,-183.27873,3.4118177e-06,0.0007361102,0.00074381655,0.00075172784,-0.00015794413,0.00020547427,0.0002325574
-183.0,-195.0,331.0,27.723438,3.940609,6.361976,13.458963,28265.459,-475.01743,0.0004914426,6.10196,10.447052,7.7612185,3.0199971,-3.830545,0.61156136
-183.0,-195.0,333.0,37.257824,10.176852,8.313956,12.308831,17071.799,-508.69714,0.0007678075,7.0405765,7.7093725,8.303448,2.6678646,-2.1126242,-0.60468477
-183.0,-195.0,338.0,43.60075,12.908827,1.8234968,5.677412,6381.9067,-369.62436,0.0007420477,3.4930553,2.3846617,5.4676747,0.8288611,-0.64642537,1.0207164
-183.0,-195.0,343.0,45.82266,10.69008,-1.356968,1.5978382,2401.9014,-307.16202,0.00040878274,1.0890996,0.7368711,1.3726686,0.07261733,-0.086200975,0.44696635
-183.0,-195.0,348.0,46.24604,8.482832,-2.3573396,0.29575703,830.06134,-277.9424,0.00015183572,0.21433872,0.15161431,0.23081481,-0.0021630595,0.003638474,0.11461302
-183.0,-195.0,358.0,45.90256,5.6050987,-2.5863981,0.02445055,144.76863,-241.74261,2.8151333e-05,0.018685851,0.01396828,0.015713418,-0.0022964415,0.002368533,0.010875576
-183.0,-195.0,388.0,44.83419,3.0895207,-2.1193302,0.0011176772,3.0493097,-181.71497,2.9909456e-06,0.00080655434,0.0007493322,0.0006770253,-0.00012717096,0.00016307128,0.00027031003
-163.0,-195.0,321.0,19.82696,2.0366566,4.930785,12.9805,21155.994,-418.27255,0.00043289608,6.3240614,10.218184,8.066628,3.5136158,-2.6883023,0.7827859
-163.0,-195.0,323.0,31.595224,4.3175654,7.559631,15.865156,19586.732,-407.34042,0.00083288655,8.023012,12.792802,8.841815,4.4042335,-3.2396693,1.2175817
-163.0,-195.0,328.0,38.53051,10.147721,7.968489,10.417421,10051.167,-421.21353,0.0010202328,6.111516,7.563274,7.6445813,2.3969083,-1.3060879,-0.42637798
-163.0,-195.0,333.0,42.798264,13.30905,3.9019046,5.536721,5413.727,-343.4319,0.0008716003,3.3959506,2.5163531,5.184394,0.802187,-0.39131793,0.19579174
-163.0,-195.0,338.0,44.878372,12.158971,-0.055064682,2.216763,2732.9172,-282.25223,0.00067141873,1.4353127,0.75555366,2.2504911,0.24594103,-0.087036505,0.49244574
-163.0,-195.0,348.0,45.352093,8.54079,-2.8226998,0.11542443,461.2834,-234.41402,0.00013825961,0.08772742,0.038301647,0.10528709,0.001747477,0.004227043,0.07708218
-163.0,-195.0,358.0,45.159634,6.1810746,-3.1108596,0.012642856,95.23753,-212.40236,2.3153229e-05,0.010069057,0.0065136203,0.008328399,-0.0006658683,0.0007713477,0.008400773
-163.0,-195.0,388.0,44.56727,3.4681585,-2.5805037,0.001116471,3.0363653,-172.07436,2.8844174e-06,0.0008341345,0.00074609043,0.00064812094,-9.507977e-05,0.000110707995,0.00029993255
-143.0,-195.0,312.0,20.203365,1.3350132,5.381154,14.346448,22544.857,-327.64114,0.00047884876,7.1436477,10.882551,8.988487,3.4742675,-2.2681234,1.393704
