x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-243.0,0.0,339.6,31.908247,-0.0018833858,-0.07178701,9.935526,10945.815,-246.10854,0.0010073441,6.501766,6.6564517,6.7134132,-0.00042973043,-3.4155173,-1.7658836e-05
-243.0,0.0,340.6,33.97579,-0.0018650612,-0.116995186,8.995515,6004.6562,-246.07225,0.0016182952,5.8037605,6.0505576,6.147241,-0.00074326864,-2.8635128,2.25937e-06
-243.0,0.0,341.6,35.554943,-0.0018553459,-0.16593482,8.782868,4095.1892,-245.9644,0.0022719596,5.590987,5.92942,6.061684,-0.0013090378,-2.7433476,1.3597249e-05
-243.0,0.0,342.6,36.38628,-0.0018213169,-0.20802082,8.675709,3580.2666,-245.93893,0.0025944577,5.4858656,5.866326,6.002091,-0.0016371084,-2.6969802,8.200994e-05
-243.0,0.0,343.6,37.193077,-0.00178649,-0.24988195,8.57201,3111.1025,-245.91617,0.0029060896,5.3850803,5.804622,5.93917,-0.0019871753,-2.570377,0.00016833459
-243.0,0.0,345.6,38.695324,-0.0018391889,-0.3194331,8.089498,2498.6504,-245.47716,0.003269546,5.044066,5.486783,5.5998106,-0.0026724667,-2.3413792,0.0002996657
-243.0,0.0,347.6,40.109226,-0.0019756956,-0.37787092,7.405098,2134.7898,-244.74287,0.0034329805,4.602969,5.025968,5.107562,-0.0033520842,-2.2403786,0.0003769587
-243.0,0.0,349.6,41.348522,-0.0019128259,-0.41791245,6.7725167,1988.4299,-243.88957,0.003369015,4.215377,4.592565,4.703974,-0.004297221,-1.9800125,0.00027345287
-243.0,0.0,351.6,42.489204,-0.001834832,-0.4769053,5.952456,1850.4679,-242.92271,0.00313575,3.701047,4.0304637,4.1864457,-0.0041892426,-1.6639826,0.0003027122
-243.0,0.0,353.6,43.52811,-0.0017412308,-0.5554556,4.938918,1721.1719,-241.83865,0.0027277695,3.0573664,3.3373365,3.5392656,-0.0031373517,-1.3138671,0.00042913054
-243.0,0.0,355.6,44.240456,-0.0017453574,-0.6304505,3.7235346,1467.5142,-240.0599,0.002147608,2.2972448,2.5144598,2.6613193,0.0033145132,-0.8764378,-0.00037640255
-243.0,0.0,356.6,44.58814,-0.0017499614,-0.66785544,3.1105952,1337.4521,-239.15248,0.0018530508,1.914102,2.1001844,2.2202299,0.0054763155,-0.6868862,-0.0006518757
-243.0,0.0,357.6,44.93582,-0.0017545654,-0.70526046,2.4976559,1207.3903,-238.24506,0.0015584937,1.5309291,1.686305,1.7816575,0.0068063196,-0.5193798,-0.0008233589
-243.0,0.0,359.6,45.72346,-0.0017891332,-0.78546226,1.1131924,926.146,-235.77852,0.00090345024,0.66791874,0.75320405,0.80074257,0.0061941925,-0.22373164,-0.0007782325
-243.0,0.0,361.6,45.92307,-0.001446298,-0.835692,0.6948285,721.5284,-233.86127,0.00064314174,0.41521332,0.47063598,0.50071585,0.0033579087,-0.10743158,-0.00044673626
-243.0,0.0,363.0,46.00163,-0.0011676386,-0.867993,0.50061345,585.96313,-232.57422,0.00050096854,0.29919955,0.339301,0.36075428,0.0018285296,-0.055724863,-0.00026339205
-243.0,0.0,373.0,45.95062,7.050863e-05,-1.0837059,0.004040806,66.4229,-222.66106,4.2206266e-05,0.0006674535,0.0031375359,0.004299103,3.1387908e-06,0.0021947895,-3.760697e-06
-243.0,0.0,388.0,45.560886,-0.00014919513,-1.3088458,0.0012176733,16.286516,-207.28178,9.415901e-06,0.00048784667,0.00091376517,0.0010344737,1.0153531e-07,0.00044314566,-1.1153696e-06
-223.0,0.0,339.7,33.643204,-0.0018052006,-0.1513661,9.938523,10364.779,-294.29135,0.0010840753,6.408155,6.6570997,6.8157024,-0.0006234794,-3.4709024,5.533702e-05
-223.0,0.0,340.7,35.61516,-0.0018086336,-0.2407761,8.96265,5718.27,-294.05344,0.0017108393,5.642798,6.0258217,6.2801704,-0.0010179178,-2.8508031,8.131147e-05
-223.0,0.0,341.7,37.09472,-0.0018157833,-0.3349876,8.688326,3912.3455,-293.60992,0.0023431552,5.354781,5.8609715,6.1767364,-0.001640336,-2.6420543,0.00011352036
-223.0,0.0,342.7,37.8706,-0.0017815642,-0.40369004,8.554398,3444.908,-293.0363,0.0026572396,5.2202754,5.778887,6.1125617,-0.0018769726,-2.576979,0.00010110641
-223.0,0.0,343.7,38.64649,-0.0017473452,-0.4723925,8.42047,2977.4705,-292.46265,0.002971324,5.0889416,5.6963263,6.042139,-0.0021175724,-2.412799,8.2160586e-05
-223.0,0.0,345.7,40.056366,-0.001655542,-0.60930675,7.9212866,2409.7422,-290.80884,0.0033333167,4.730153,5.3667808,5.7277594,-0.0026263087,-2.1894312,0.0002893794
-223.0,0.0,347.7,41.369026,-0.001596396,-0.7443676,7.276905,2074.3164,-288.78943,0.0035056937,4.313778,4.9331894,5.3041363,-0.0030755326,-2.081958,0.000628986
-223.0,0.0,349.7,42.555996,-0.0018777362,-0.86773294,6.526227,1921.3549,-286.1839,0.0033884447,3.8663268,4.420334,4.765115,-0.002741147,-1.8374572,0.00062506035
-223.0,0.0,351.7,43.654083,-0.0020209837,-0.9864585,5.51702,1769.5049,-283.29028,0.003043083,3.2817094,3.7311172,4.0243626,-0.002269425,-1.4512016,0.00013906433
-223.0,0.0,353.7,44.66894,-0.0020479371,-1.1003019,4.3322554,1613.5369,-280.17453,0.0025367108,2.5936205,2.924566,3.152909,-0.0017459936,-1.0209152,-0.00045704425
-223.0,0.0,355.7,45.283703,-0.0016936426,-1.1833128,3.2145422,1366.9858,-276.64178,0.001976563,1.9300554,2.1692677,2.333084,-0.0013268333,-0.6668315,-0.00034166835
-223.0,0.0,357.7,45.898464,-0.0013393479,-1.2663238,2.0968292,1120.4347,-273.10904,0.0014164149,1.2571181,1.4151706,1.5224547,-0.0009267261,-0.38566464,-0.00023448422
-223.0,0.0,359.7,46.519814,-0.000989562,-1.3511726,0.96472484,871.7868,-269.4614,0.0008491037,0.56649387,0.6525978,0.7105732,-0.0006618667,-0.1746504,-0.000114155475
-223.0,0.0,361.7,46.61291,-0.00078651897,-1.4077784,0.6524296,680.054,-265.71808,0.0006271923,0.3852146,0.4415142,0.47852123,-0.0003125197,-0.0786155,-5.973185e-05
-223.0,0.0,363.7,46.679317,-0.0005888855,-1.4625187,0.3828104,491.6034,-262.00525,0.00042358928,0.22620542,0.25936484,0.28043583,-6.504545e-05,-0.018977094,-2.6696278e-05
-203.0,0.0,339.6,37.082294,0.009807843,-1.5218838,9.940771,9843.878,-416.9814,0.0012372981,6.869471,6.646361,7.345907,-0.005959617,-3.3376486,0.0047720815
-203.0,0.0,340.6,38.675884,0.0075612958,-1.6589128,8.714654,5501.174,-402.18933,0.0018061798,5.6988363,5.842024,6.270961,-0.006434273,-1.8304062,0.00582954
-203.0,0.0,341.6,39.813698,0.0056329584,-1.7459387,8.400306,3538.8694,-390.3159,0.002484849,5.1806726,5.6471324,6.060418,-0.0065256683,-1.5255818,0.0058876025
-203.0,0.0,342.6,40.387394,0.00480735,-1.8142503,8.225207,3164.699,-383.4032,0.0027518454,5.036492,5.5350695,5.9465423,-0.0064010434,-1.453157,0.005504984
-203.0,0.0,343.6,40.961483,0.003986654,-1.8835304,8.050275,2791.0928,-376.51282,0.003018676,4.897936,5.4230328,5.8204274,-0.0061176573,-1.3341924,0.0049344013
-203.0,0.0,345.6,42.0412,0.0027351647,-2.0161357,7.540088,2289.6548,-363.5744,0.0033442748,4.5644855,5.085657,5.44311,-0.0055898777,-1.2380008,0.003846747
-203.0,0.0,347.6,43.069935,0.0017586093,-2.1398802,6.8999515,1969.2164,-351.2902,0.0034987768,4.1777773,4.6563206,4.977533,-0.0051806686,-1.2842399,0.0029590407
-203.0,0.0,349.6,44.056488,0.0010461031,-2.2331355,6.009318,1822.7688,-340.9283,0.003278253,3.6596348,4.052261,4.302043,-0.0041207075,-1.148786,0.0025246858
-203.0,0.0,351.6,44.95333,0.00029959422,-2.314491,4.961154,1673.5164,-331.52036,0.0028920919,3.049646,3.3416016,3.5152304,-0.0031524124,-0.9007522,0.0021827987
-203.0,0.0,353.6,45.770374,-0.0004703556,-2.3855464,3.7852993,1520.836,-322.91946,0.0023684977,2.35477,2.5459325,2.6490562,-0.002321981,-0.60170794,0.0018697781
-203.0,0.0,355.6,46.232777,-0.0009359261,-2.4200559,2.7900863,1278.6545,-314.72226,0.0018371033,1.7494165,1.8760245,1.9436008,-0.003489579,-0.3558184,0.0014264905
-203.0,0.0,357.6,46.69036,-0.0013594856,-2.4581249,1.8085465,1038.8296,-306.76352,0.0013132185,1.1423172,1.2160711,1.2543762,-0.00415946,-0.175085,0.0010424702
-203.0,0.0,359.6,47.14542,-0.0017610405,-2.4980586,0.8341683,800.2391,-298.9297,0.0007932672,0.5277042,0.5617392,0.5784795,-0.0036632402,-0.0578823,0.0006560569
-203.0,0.0,361.6,47.170013,-0.0014861875,-2.5109622,0.5591939,621.6982,-292.71436,0.000583455,0.35613763,0.37687954,0.38524985,-0.0018810882,-0.012030377,0.0003153303
-203.0,0.0,363.0,47.167908,-0.0012637166,-2.518726,0.3980588,499.40485,-288.43427,0.00045047465,0.25469142,0.26851022,0.27287406,-0.00095539447,0.007056481,0.0001465637
-203.0,0.0,373.0,46.723488,-0.00021473796,-2.543234,0.003435959,58.52233,-261.9555,2.5964759e-05,0.0020325438,0.0025047201,0.002310201,1.2892557e-06,0.0026937374,-2.261879e-06
-203.0,0.0,388.0,46.0543,-0.000535634,-2.529205,0.0012148862,15.382181,-232.62059,6.5090812e-06,0.0007680976,0.0008767422,0.000783741,2.9105014e-08,0.0004881329,-8.430143e-07
-183.0,0.0,329.6,-1.1955037,0.022341205,0.5998171,6.579098,33399.336,-370.58563,8.8024244e-05,5.444542,4.384674,3.2510457,-0.010056118,0.8616444,-0.021663208
-183.0,0.0,330.6,-9.056132,0.21505809,4.769396,14.159353,18627.684,-375.05756,0.0010978252,12.788221,9.293468,5.9995947,-0.06290023,1.9455595,-0.1340038
-183.0,0.0,331.6,-6.9954166,0.26294658,4.156587,23.430182,12141.679,-379.2018,0.001825409,10.89596,15.365523,19.569042,-0.03477869,-5.4318423,-0.044995584
