x_mm,y_mm,z_mm,U,V,W,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-243.0,180.0,358.0,45.408806,-2.447386,-0.43671712,0.027277542,190.62674,-201.58275,8.2903825e-05,0.011831904,0.023417836,0.019704241,0.0059808525,0.00127874,-0.0057310252
-243.0,180.0,363.0,45.318596,-2.287335,-0.51018536,0.007851302,80.881805,-197.15778,2.8807332e-05,0.0033233115,0.0064100986,0.006016742,0.0014244553,0.0010139606,-0.0017109461
-243.0,180.0,373.0,45.100212,-2.042532,-0.6626579,0.0012578613,15.4765005,-187.55817,4.904574e-06,0.0005957593,0.0009475591,0.0009778824,0.00019098094,0.00021312677,-0.00020832062
-243.0,180.0,388.0,44.774765,-1.7765759,-0.8340208,0.0011337828,4.187479,-173.38884,5.357852e-06,0.0005825158,0.00084100047,0.00084866607,0.00016712715,0.00021584585,-0.00016417853
-203.0,180.0,363.0,46.745876,-3.562757,-2.6017473,0.009347419,87.63599,-271.48203,1.4613993e-05,0.0059113856,0.007821454,0.0050043594,0.0012209931,0.0028336062,-0.0017346207
-203.0,180.0,373.0,45.988243,-3.0522177,-2.298779,0.0012576445,14.995793,-233.80948,2.3806574e-06,0.000813236,0.000976289,0.0007271563,0.00014171212,0.000293923,-0.00020958173
-203.0,180.0,388.0,45.25618,-2.515282,-2.040265,0.0011313269,4.170299,-198.75356,3.1827292e-06,0.0007408631,0.00085881184,0.00066645595,0.00013218782,0.0002471423,-0.00019071759
-183.0,180.0,346.0,46.097187,-5.8120823,-7.9458857,1.1279693,1477.4734,-340.8048,0.00050496054,0.8257921,1.0682722,0.36847615,0.14930166,-0.103091374,-0.03618743
-183.0,180.0,348.0,46.481216,-5.71529,-7.245678,0.68818885,1145.341,-328.49368,0.00039086395,0.52057594,0.6649252,0.20302275,0.09396383,-0.040049214,-0.05199395
-183.0,180.0,353.0,46.82812,-5.347376,-5.8898163,0.15137629,511.00803,-302.20367,0.0001560699,0.12375558,0.15161422,0.027934015,0.021473823,0.013074186,-0.033359885
-183.0,180.0,358.0,46.58719,-4.8549876,-4.863781,0.024630712,177.86423,-276.70728,3.9789385e-05,0.02125213,0.025947995,0.0021055844,0.004189471,0.0044818744,-0.008536885
-183.0,180.0,363.0,46.292595,-4.3667836,-4.2658153,0.008213345,77.50759,-258.58893,1.3612076e-05,0.006678696,0.007546786,0.0022305907,0.0010913651,0.0015701194,-0.002379971
-183.0,180.0,373.0,45.753475,-3.64811,-3.45081,0.0012482886,14.189406,-228.21405,2.107714e-06,0.000935378,0.0009964242,0.00057053484,0.000119338416,0.00020137457,-0.00025650486
-183.0,180.0,388.0,45.140015,-2.9255075,-2.794228,0.0011288105,4.1131873,-196.43484,2.8023226e-06,0.0008236772,0.0008670618,0.00056995184,0.00011173701,0.00019195242,-0.00022080657
-163.0,180.0,336.0,41.514767,-9.676907,-14.150586,4.4849052,3884.9006,-327.16672,0.0009979656,3.0276496,4.577303,1.408556,0.5032325,-0.63418806,-0.110451944
-163.0,180.0,338.0,42.42833,-9.693958,-12.542001,3.3946178,3028.1904,-308.74167,0.0009014447,2.3205795,3.5819178,0.9250425,0.3504056,-0.46968493,-0.32661122
-163.0,180.0,343.0,44.20842,-8.482456,-9.529502,1.2143445,1611.68,-278.69998,0.00062224385,0.8578015,1.344558,0.23108256,0.10333747,-0.20001602,-0.32054263
-163.0,180.0,348.0,45.180058,-7.3276963,-7.7033563,0.34081006,857.59705,-260.61417,0.00033606638,0.2658219,0.39334106,0.030515179,0.038904823,-0.047961235,-0.14022686
-163.0,180.0,353.0,45.51674,-6.471659,-6.5711083,0.08187624,347.2399,-247.5905,0.0001298275,0.06958006,0.092763215,0.0020517558,0.010175621,-0.0024918504,-0.045027956
-163.0,180.0,363.0,45.41963,-5.03984,-5.0120387,0.0058550686,58.813313,-224.51237,1.2388607e-05,0.0049715396,0.0057021566,0.0010006737,0.0006860156,0.0004713502,-0.002797071
-163.0,180.0,373.0,45.177402,-4.1587005,-4.14733,0.0012295556,12.830257,-206.25165,2.1330502e-06,0.00094859017,0.0009947146,0.0005228763,9.224194e-05,0.00010385968,-0.0003149026
-163.0,180.0,388.0,44.80727,-3.2923813,-3.3619893,0.0011259451,4.013239,-184.18442,2.6976493e-06,0.0008529848,0.0008705869,0.0005316911,8.922481e-05,0.00012413516,-0.0002517206
-143.0,180.0,327.0,34.65289,-10.399988,-16.24922,8.628834,6842.293,-346.25937,0.0012805068,6.255236,7.1325903,3.8637958,1.7551951,-1.0778501,-0.1599397
-143.0,180.0,329.0,35.9691,-12.227165,-14.764238,8.199865,6496.4937,-318.24402,0.0012809824,5.6534348,7.132712,3.6372156,1.3761191,-1.3626707,-0.5547776
-143.0,180.0,333.0,39.685276,-13.458441,-12.152959,6.4708753,4972.9497,-266.96768,0.0013144729,4.1185493,6.054461,2.8047557,0.41802973,-1.4010452,-1.2168583
-143.0,180.0,338.0,42.621723,-11.486408,-9.735449,2.7812378,2593.476,-234.15047,0.0009884355,1.7912062,2.7160769,1.0622665,-0.025455147,-0.51054007,-0.95254904
-143.0,180.0,343.0,43.78461,-9.4229355,-8.102766,0.68482935,1274.204,-219.92975,0.0005042698,0.46390766,0.7267484,0.18807036,-0.008359629,-0.12155377,-0.3439584
-143.0,180.0,353.0,44.608192,-6.93362,-6.300419,0.041989505,223.20564,-205.45247,0.00010165873,0.034829058,0.048551008,0.00050206296,0.0023107904,-0.0045663603,-0.037750263
-143.0,180.0,363.0,44.675842,-5.4559236,-5.1720695,0.00397897,43.392532,-193.91997,1.0765969e-05,0.0033299327,0.003907865,0.00067906384,0.00030935646,-1.0193783e-05,-0.0025586265
-143.0,180.0,373.0,44.60773,-4.5253377,-4.4503236,0.0012064914,11.27425,-183.44157,2.2356908e-06,0.0009197681,0.00096487964,0.0005310203,6.393874e-05,4.1132007e-05,-0.00035345292
-143.0,180.0,388.0,44.418396,-3.5854926,-3.714735,0.0011231977,3.894002,-168.96101,2.7149974e-06,0.0008523966,0.0008674759,0.00053049886,6.828855e-05,7.384675e-05,-0.0002757264
-123.0,180.0,318.0,28.423344,-5.4751306,-14.177453,11.168053,7333.779,-429.00958,0.0015246525,8.594465,8.514032,5.147316,2.3043528,-0.011511945,0.19188027
-123.0,180.0,320.0,28.362328,-8.957007,-12.6263895,11.1894865,7478.9956,-402.195,0.0014969845,7.911964,9.017205,5.4214516,1.9933686,-0.87581664,-0.16536672
-123.0,180.0,323.0,30.39489,-13.098551,-10.84629,10.83364,7361.772,-351.56412,0.0014719419,6.7852764,9.052537,5.8662167,1.2489126,-1.9184576,-0.7832774
-123.0,180.0,328.0,37.122677,-15.507059,-9.462181,8.599517,5886.509,-268.51102,0.0014579556,5.0219913,7.0466685,5.172466,0.12805803,-2.0678053,-1.6439801
-123.0,180.0,333.0,41.5613,-13.586919,-8.540026,4.521956,3609.1907,-222.66263,0.001202465,2.8044655,3.6924167,2.5605407,-0.13201654,-0.82747495,-1.368145
-123.0,180.0,343.0,43.697216,-9.290866,-6.8910317,0.35273167,835.84937,-190.60393,0.0003967447,0.23934817,0.33631524,0.1315057,-0.021445492,-0.046036214,-0.23795176
-123.0,180.0,353.0,44.070526,-7.023605,-5.8706946,0.020593736,139.30824,-179.4941,7.317922e-05,0.016899921,0.023145866,0.0007175924,0.00027837727,-0.002370328,-0.024559025
