x_mm,y_mm,z_mm,Cp
-215.0,0.0,338.0,-0.569
-215.0,-30.0,338.0,-0.639
-215.0,-60.0,338.0,-0.674
-215.0,-90.0,338.0,-0.694
-215.0,-120.0,338.0,-0.68
-215.0,-150.0,338.0,-0.71
-215.0,-157.5,338.0,-0.708
-215.0,-165.0,338.0,-0.701
-215.0,-172.5,338.0,-0.689
-215.0,-180.0,338.0,-0.67
-215.0,-187.5,338.0,-0.663
-208.0,0.0,338.0,-0.655
-208.0,-30.0,338.0,-0.737
-208.0,-60.0,338.0,-0.833
-208.0,-90.0,338.0,-0.868
-208.0,-120.0,338.0,-0.817
-208.0,-150.0,338.0,-0.922
-208.0,-157.5,338.0,-0.957
-208.0,-165.0,338.0,-0.955
-208.0,-172.5,338.0,-0.943
-208.0,-180.0,338.0,-0.915
-208.0,-187.5,338.0,-0.895
-215.0,-194.5,57.0,-0.17
-215.0,-194.5,133.0,-0.159
-215.0,-194.5,193.0,-0.187
-215.0,-194.5,253.0,-0.219
-215.0,-194.5,314.0,-0.323
-215.0,-194.5,322.0,-0.359
-215.0,-194.5,330.0,-0.426
-208.0,-194.5,314.0,-0.358
-208.0,-194.5,322.0,-0.404
-208.0,-194.5,330.0,-0.487
-195.51,-194.5,312.35,-0.394
-195.51,-194.5,320.35,-0.47
-195.51,-194.5,328.35,-0.643
-188.26,-194.5,308.97,-0.397
-188.26,-194.5,316.97,-0.47
-188.26,-194.5,324.97,-0.627
-181.01,-194.5,57.0,-0.162
-181.01,-194.5,133.0,-0.217
-181.01,-194.5,193.0,-0.191
-181.01,-194.5,253.0,-0.22
-181.01,-194.5,305.59,-0.396
-181.01,-194.5,313.59,-0.467
-181.01,-194.5,321.59,-0.622
-173.76,-194.5,302.2,-0.393
-173.76,-194.5,310.2,-0.452
-173.76,-194.5,318.2,-0.597
-155.63,-194.5,293.75,-0.366
-155.63,-194.5,301.75,-0.43
-155.63,-194.5,309.75,-0.56
-128.45,-194.5,57.0,-0.15
-128.45,-194.5,133.0,-0.154
-128.45,-194.5,193.0,-0.177
-128.45,-194.5,253.0,-0.251
-128.45,-194.5,281.07,-0.341
-128.45,-194.5,289.07,-0.398
-128.45,-194.5,297.07,-0.507
-101.26,-194.5,268.4,-0.313
-101.26,-194.5,276.4,-0.362
-101.26,-194.5,284.4,-0.45
-74.07,-194.5,57.0,-0.15
-74.07,-194.5,133.0,-0.154
-74.07,-194.5,193.0,-0.179
-74.07,-194.5,255.72,-0.282
-74.07,-194.5,263.72,-0.322
-74.07,-194.5,271.72,-0.397
-46.88,-194.5,243.04,-0.239
-46.88,-194.5,251.04,-0.271
-46.88,-194.5,259.04,-0.329
-28.75,-194.5,234.59,-0.209
-28.75,-194.5,242.59,-0.23
-28.75,-194.5,250.59,-0.271
-21.5,-194.5,231.2,-0.146
-21.5,-194.5,239.2,-0.144
-21.5,-194.5,247.2,-0.145
-21.0,-194.5,57.0,-0.151
-21.0,-194.5,65.0,-0.158
-21.0,-194.5,73.0,-0.168
-21.0,-194.5,103.0,-0.176
-21.0,-194.5,163.0,-0.199
-21.0,-194.5,193.0,-0.212
-21.0,-194.5,223.0,-0.247
-14.25,-194.5,227.82,-0.146
-14.25,-194.5,235.82,-0.143
-14.25,-194.5,243.82,-0.144
-14.0,-194.5,57.0,-0.153
-14.0,-194.5,65.0,-0.162
-14.0,-194.5,73.0,-0.17
-14.0,-194.5,103.0,-0.179
-14.0,-194.5,163.0,-0.183
-14.0,-194.5,193.0,-0.195
-14.0,-194.5,223.0,-0.214
-7.0,-194.5,57.0,-0.138
-7.0,-194.5,65.0,-0.138
-7.0,-194.5,73.0,-0.141
-7.0,-194.5,103.0,-0.15
-7.0,-194.5,133.0,-0.16
-7.0,-194.5,163.0,-0.166
-7.0,-194.5,193.0,-0.178
-7.0,-194.5,224.44,-0.179
-7.0,-194.5,232.44,-0.184
-7.0,-194.5,240.44,-0.196
-195.51,0.0,335.35,-0.853
-195.51,-30.0,335.35,-1.074
-195.51,-60.0,335.35,-1.059
-195.51,-90.0,335.35,-1.18
-195.51,-120.0,335.35,-1.196
-195.51,-150.0,335.35,-1.263
-195.51,-157.5,335.35,-1.197
-195.51,-165.0,335.35,-1.181
-195.51,-172.5,335.35,-1.108
-195.51,-180.0,335.35,-1.032
-195.51,-187.5,335.35,-1.092
-188.26,0.0,331.97,-0.868
-188.26,-30.0,331.97,-1.045
-188.26,-60.0,331.97,-1.005
-188.26,-90.0,331.97,-1.072
-188.26,-120.0,331.97,-1.203
-188.26,-150.0,331.97,-1.088
-188.26,-157.5,331.97,-0.83
-188.26,-165.0,331.97,-0.9
-188.26,-172.5,331.97,-0.852
-188.26,-180.0,331.97,-0.849
-188.26,-187.5,331.97,-1.126
-181.01,0.0,328.59,-0.891
-181.01,-30.0,328.59,-0.994
-181.01,-60.0,328.59,-0.969
-181.01,-90.0,328.59,-0.951
-181.01,-120.0,328.59,-1.082
-181.01,-150.0,328.59,-0.875
-181.01,-157.5,328.59,-0.955
-181.01,-165.0,328.59,-0.772
-181.01,-172.5,328.59,-0.744
-181.01,-180.0,328.59,-0.787
-181.01,-187.5,328.59,-1.42
-173.76,0.0,325.2,-0.898
-173.76,-30.0,325.2,-0.9
-173.76,-60.0,325.2,-0.899
-173.76,-90.0,325.2,-0.826
-173.76,-120.0,325.2,-0.894
-173.76,-150.0,325.2,-0.749
-173.76,-157.5,325.2,-0.723
-173.76,-165.0,325.2,-0.682
-173.76,-172.5,325.2,-0.68
-173.76,-180.0,325.2,-0.773
-173.76,-187.5,325.2,-1.566
-155.63,0.0,316.75,-0.836
-155.63,-30.0,316.75,-0.703
-155.63,-60.0,316.75,-0.689
-155.63,-90.0,316.75,-0.63
-155.63,-120.0,316.75,-0.593
-155.63,-150.0,316.75,-0.55
-155.63,-157.5,316.75,-0.544
-155.63,-165.0,316.75,-0.557
-155.63,-172.5,316.75,-0.611
-155.63,-180.0,316.75,-0.909
-155.63,-187.5,316.75,-1.302
-128.45,0.0,304.07,-0.598
-128.45,-30.0,304.07,-0.517
-128.45,-60.0,304.07,-0.492
-128.45,-90.0,304.07,-0.46
-128.45,-120.0,304.07,-0.421
-128.45,-150.0,304.07,-0.416
-128.45,-157.5,304.07,-0.443
-128.45,-165.0,304.07,-0.498
-128.45,-172.5,304.07,-0.661
-128.45,-180.0,304.07,-1.145
-128.45,-187.5,304.07,-0.933
-101.26,0.0,291.4,-0.413
-101.26,-30.0,291.4,-0.39
-101.26,-60.0,291.4,-0.371
-101.26,-90.0,291.4,-0.356
