x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-178.0,-250.0,28.0,32.83,-0.75,0.71,3.895,3.82,3.037,1.72,-2.865,-5.995,-5.87,6.491,-0.2,1.915,2.7,-3.057
-178.0,-250.0,38.0,34.02,-0.15,0.97,3.893,3.89,3.065,1.56,-3.071,-14.014,-14.0,9.882,0.647,3.502,0.378,-4.79
-178.0,-250.0,58.0,36.91,1.38,1.38,3.829,3.35,3.011,1.84,-3.135,-34.985,-17.0,13.727,-6.32,8.334,-10.0,-10.272
-178.0,-250.0,78.0,40.28,1.83,1.43,2.892,2.27,2.662,0.316,-2.056,-26.716,-5.17,16.001,-1.96,10.121,-7.04,-10.305
-178.0,-250.0,98.0,42.12,1.44,1.38,1.747,1.34,1.899,0.015,-0.735,-8.85,0.066,11.365,0.034,5.199,-0.912,-4.169
-178.0,-250.0,118.0,42.65,1.12,1.53,0.948,0.76,1.091,-0.003,-0.136,-0.758,-0.26,3.672,-0.017,1.101,-0.049,-0.619
-178.0,-250.0,138.0,42.79,1.02,1.56,0.543,0.548,0.557,-0.048,-0.017,0.011,-0.056,0.405,-0.008,0.081,0.017,-0.04
-178.0,-250.0,158.0,42.9,1.04,1.57,0.45,0.499,0.361,-0.048,-0.006,-0.032,-0.057,0.011,-0.004,-0.005,0.019,-0.001
-178.0,-250.0,178.0,42.99,1.1,1.74,0.423,0.491,0.327,-0.052,-0.006,-0.047,-0.057,0.059,-0.005,0.005,0.014,-0.028
-178.0,-250.0,198.0,43.11,1.1,1.95,0.417,0.487,0.315,-0.057,-0.006,-0.033,-0.054,-0.006,-0.005,-0.01,0.012,-0.002
-178.0,-250.0,218.0,43.24,1.31,2.33,0.418,0.508,0.323,-0.054,-0.005,-0.034,-0.052,-0.01,-0.007,-0.009,0.012,0.0
-178.0,-250.0,238.0,43.46,1.4,2.56,0.434,0.511,0.308,-0.057,-0.003,-0.047,-0.048,-0.009,-0.006,-0.01,0.011,-0.001
