x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
80.0,-400.0,28.0,37.8,1.3,0.497,2.02,1.56,1.27,0.387,-0.952,-3.88,-0.69,0.767,-0.447,1.07,-0.671,-0.793
80.0,-400.0,38.0,39.7,1.49,0.565,1.58,1.26,1.02,0.253,-0.57,-3.28,-0.567,0.556,-0.495,0.915,-0.684,-0.727
80.0,-400.0,58.0,41.5,1.81,0.739,0.552,0.594,0.486,-0.017,-0.049,-0.211,-0.147,0.118,-0.1,0.097,-0.085,-0.094
80.0,-400.0,78.0,41.6,1.79,0.786,0.383,0.432,0.31,-0.037,0.003,-0.011,-0.02,-0.009,-0.025,-0.001,0.001,-0.002
80.0,-400.0,98.0,41.6,1.89,1.02,0.37,0.439,0.299,-0.037,-0.002,-0.019,-0.018,-0.007,-0.026,-0.006,0.002,-0.003
80.0,-400.0,118.0,41.6,2.04,1.31,0.357,0.402,0.29,-0.034,0.0,-0.018,-0.024,-0.004,-0.021,-0.005,0.002,-0.002
80.0,-400.0,138.0,41.6,2.29,1.36,0.352,0.406,0.281,-0.032,0.001,-0.018,-0.03,-0.006,-0.027,-0.004,-0.001,-0.002
80.0,-400.0,158.0,41.6,2.33,1.2,0.358,0.394,0.29,-0.033,0.002,-0.024,-0.028,-0.005,-0.028,-0.006,0.001,-0.002
80.0,-400.0,178.0,41.6,2.67,1.26,0.357,0.388,0.28,-0.028,-0.001,-0.018,-0.033,-0.006,-0.031,-0.006,0.0,-0.002
80.0,-400.0,198.0,41.5,2.35,1.22,0.346,0.429,0.266,-0.035,0.0,-0.014,-0.036,-0.003,-0.026,-0.005,0.001,-0.002
80.0,-400.0,218.0,41.5,2.02,1.25,0.343,0.422,0.259,-0.031,0.001,-0.017,-0.023,-0.005,-0.029,-0.005,-0.001,-0.002
80.0,-400.0,238.0,41.5,2.34,1.13,0.349,0.393,0.264,-0.024,0.0,-0.02,-0.03,-0.006,-0.029,-0.005,0.0,-0.002
80.0,-400.0,258.0,41.5,2.6,0.915,0.346,0.393,0.26,-0.031,0.001,-0.016,-0.032,-0.009,-0.024,-0.005,0.002,-0.002
80.0,-400.0,278.0,41.5,2.72,0.862,0.342,0.385,0.251,-0.03,0.0,-0.014,-0.032,-0.009,-0.025,-0.004,0.001,-0.002
80.0,-400.0,298.0,41.5,2.94,0.682,0.345,0.375,0.268,-0.022,-0.001,-0.015,-0.025,-0.01,-0.023,-0.006,-0.001,-0.003
80.0,-400.0,318.0,41.5,2.89,0.655,0.344,0.385,0.257,-0.021,-0.001,-0.014,-0.029,-0.011,-0.025,-0.004,-0.002,-0.001
80.0,-400.0,338.0,41.4,2.99,0.589,0.342,0.388,0.253,-0.02,-0.001,-0.014,-0.027,-0.01,-0.026,-0.004,-0.001,-0.002
80.0,-400.0,358.0,41.4,2.86,0.51,0.345,0.377,0.257,-0.02,-0.001,-0.011,-0.029,-0.009,-0.021,-0.006,-0.001,-0.002
80.0,-400.0,378.0,41.4,2.7,0.349,0.346,0.374,0.265,-0.023,-0.002,-0.013,-0.031,-0.009,-0.019,-0.005,-0.003,-0.002
80.0,-400.0,398.0,41.4,2.62,0.203,0.341,0.387,0.268,-0.015,-0.003,-0.011,-0.028,-0.007,-0.021,-0.006,-0.002,-0.001
80.0,-400.0,418.0,41.4,2.58,0.106,0.338,0.375,0.265,-0.017,-0.002,-0.009,-0.03,-0.008,-0.017,-0.005,-0.002,-0.003
80.0,-400.0,438.0,41.3,2.59,0.027,0.342,0.379,0.261,-0.015,-0.002,-0.013,-0.03,-0.01,-0.024,-0.005,-0.004,-0.003
80.0,-400.0,488.0,41.3,2.34,-0.102,0.34,0.365,0.262,0.003,-0.001,-0.007,-0.014,-0.009,-0.021,-0.005,-0.008,-0.001
80.0,-400.0,538.0,41.3,1.85,-0.27,0.34,0.363,0.268,-0.001,-0.002,-0.012,-0.01,-0.008,-0.02,-0.005,-0.009,-0.001
80.0,-350.0,28.0,34.9,1.16,1.11,2.59,2.41,1.61,0.888,-1.46,-6.54,-3.68,1.08,-0.356,1.66,-4.38,-1.51
80.0,-350.0,38.0,36.9,1.62,1.35,2.26,1.98,1.43,1.02,-1.15,-6.89,-4.41,1.02,-2.69,1.79,-3.12,-1.53
80.0,-350.0,58.0,40.1,2.28,1.56,1.46,1.12,0.99,0.225,-0.477,-3.3,-2.01,0.782,-1.22,0.881,-1.18,-0.887
80.0,-350.0,78.0,41.6,2.41,1.55,0.61,0.63,0.581,-0.012,-0.068,-0.341,-0.621,0.211,-0.251,0.163,-0.145,-0.128
80.0,-350.0,98.0,41.8,2.26,1.33,0.416,0.524,0.454,-0.031,-0.008,-0.008,-0.162,0.04,-0.106,0.003,0.029,-0.004
80.0,-350.0,118.0,41.8,2.1,1.24,0.392,0.445,0.409,-0.019,-0.001,-0.021,-0.069,0.048,-0.08,0.001,-0.008,0.007
80.0,-350.0,138.0,41.8,2.35,1.29,0.374,0.406,0.389,-0.017,-0.003,-0.018,-0.033,0.015,-0.063,-0.003,0.0,-0.003
80.0,-350.0,158.0,41.8,2.77,1.25,0.362,0.383,0.375,-0.021,0.001,-0.022,-0.025,0.009,-0.041,-0.001,-0.003,-0.002
80.0,-350.0,178.0,41.8,2.66,1.1,0.343,0.372,0.313,-0.024,-0.003,-0.021,-0.024,0.0,-0.037,-0.003,0.0,-0.002
80.0,-350.0,198.0,41.8,2.68,0.97,0.329,0.361,0.274,-0.024,0.002,-0.013,-0.022,-0.006,-0.048,-0.005,-0.001,-0.002
80.0,-350.0,218.0,41.8,2.73,0.806,0.328,0.36,0.256,-0.03,0.0,-0.018,-0.021,-0.008,-0.04,-0.003,-0.001,-0.002
80.0,-350.0,238.0,41.8,2.96,0.811,0.328,0.351,0.251,-0.022,0.003,-0.019,-0.017,-0.011,-0.044,-0.004,0.001,-0.003
80.0,-350.0,258.0,41.7,3.49,0.737,0.327,0.367,0.262,-0.03,0.0,-0.016,-0.013,-0.013,-0.05,-0.006,0.005,-0.003
80.0,-350.0,278.0,41.7,3.67,0.529,0.326,0.359,0.263,-0.033,0.0,-0.018,-0.015,-0.009,-0.051,-0.005,0.005,-0.002
80.0,-350.0,298.0,41.6,3.71,0.341,0.327,0.359,0.271,-0.041,-0.002,-0.018,-0.016,-0.009,-0.054,-0.005,0.006,-0.001
80.0,-350.0,318.0,41.6,3.73,0.078,0.334,0.364,0.278,-0.043,-0.002,-0.013,-0.02,-0.01,-0.061,-0.005,0.011,-0.002
80.0,-350.0,338.0,41.6,3.67,-0.19,0.33,0.364,0.267,-0.047,-0.002,-0.014,-0.019,-0.007,-0.067,-0.005,0.01,-0.001
80.0,-350.0,358.0,41.5,3.52,-0.362,0.331,0.363,0.268,-0.047,-0.001,-0.013,-0.019,-0.008,-0.063,-0.004,0.011,-0.002
80.0,-350.0,378.0,41.5,3.48,-0.457,0.339,0.362,0.272,-0.05,-0.003,-0.016,-0.021,-0.007,-0.066,-0.005,0.013,-0.002
80.0,-350.0,398.0,41.5,3.18,-0.612,0.332,0.362,0.253,-0.054,0.0,-0.013,-0.024,-0.006,-0.057,-0.004,0.013,-0.002
80.0,-350.0,418.0,41.4,3.05,-0.744,0.332,0.357,0.248,-0.054,-0.001,-0.014,-0.027,-0.007,-0.062,-0.004,0.017,-0.002
80.0,-350.0,438.0,41.4,2.76,-0.715,0.339,0.361,0.249,-0.055,-0.001,-0.019,-0.029,-0.006,-0.051,-0.007,0.015,-0.002
