x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-1442.0,0.0,28.0,34.329,1.286,0.626,2.112,0.696,1.291,0.009,-0.942,-7.43,0.056,1.2,-0.05,1.88,-0.356,-1.58
-1442.0,0.0,48.0,36.906,1.143,0.803,0.445,0.275,0.472,0.01,-0.038,-0.053,-0.005,0.049,-0.021,0.028,-0.006,-0.018
-1442.0,0.0,68.0,37.116,1.023,0.644,0.332,0.231,0.326,0.01,-0.018,-0.016,-0.006,0.028,-0.026,0.011,-0.005,-0.009
-1442.0,0.0,88.0,37.175,0.889,0.727,0.286,0.234,0.216,0.01,-0.002,-0.011,-0.009,0.005,-0.027,0.003,-0.007,-0.001
-1442.0,0.0,108.0,37.217,0.814,0.878,0.284,0.231,0.222,0.006,-0.005,-0.009,-0.007,0.004,-0.023,0.003,-0.004,-0.002
-1442.0,0.0,128.0,37.271,0.713,0.901,0.291,0.232,0.23,0.009,-0.005,-0.011,-0.008,0.005,-0.024,0.004,-0.005,-0.002
-1442.0,0.0,148.0,37.329,0.63,0.996,0.291,0.234,0.213,0.006,-0.003,-0.015,-0.008,0.006,-0.024,0.004,-0.005,-0.003
-1442.0,0.0,168.0,37.449,0.639,0.966,0.3,0.231,0.284,0.009,-0.009,-0.013,-0.008,0.005,-0.024,0.004,-0.006,-0.003
-1442.0,0.0,188.0,37.527,0.498,0.82,0.3,0.233,0.25,0.008,-0.006,-0.016,-0.007,0.007,-0.024,0.004,-0.005,-0.003
-1442.0,0.0,208.0,37.639,0.484,0.965,0.292,0.23,0.219,0.009,-0.003,-0.017,-0.007,0.006,-0.025,0.004,-0.007,-0.003
-1442.0,0.0,228.0,37.712,0.506,0.945,0.288,0.23,0.219,0.01,-0.005,-0.013,-0.007,0.008,-0.025,0.005,-0.007,-0.002
-1442.0,0.0,248.0,37.819,0.483,0.946,0.284,0.23,0.206,0.009,-0.004,-0.014,-0.006,0.004,-0.025,0.004,-0.006,-0.002
-1442.0,0.0,268.0,37.922,0.46,0.973,0.28,0.23,0.21,0.01,-0.003,-0.015,-0.007,0.004,-0.023,0.004,-0.007,-0.001
-1442.0,0.0,288.0,37.985,0.591,1.109,0.275,0.229,0.22,0.009,-0.003,-0.015,-0.007,0.006,-0.024,0.004,-0.007,-0.002
-1442.0,0.0,308.0,38.061,0.529,1.211,0.278,0.233,0.219,0.006,-0.004,-0.018,-0.007,0.006,-0.025,0.003,-0.006,-0.002
-1442.0,0.0,328.0,38.154,0.417,1.304,0.275,0.232,0.242,0.008,-0.004,-0.015,-0.007,0.007,-0.024,0.003,-0.006,-0.002
-1442.0,0.0,348.0,38.277,0.303,1.338,0.276,0.235,0.226,0.008,-0.006,-0.016,-0.007,0.007,-0.026,0.003,-0.006,-0.002
-1442.0,0.0,368.0,38.446,0.422,1.357,0.273,0.234,0.233,0.011,-0.004,-0.013,-0.007,0.006,-0.025,0.004,-0.007,-0.002
-1442.0,0.0,388.0,38.562,0.398,1.279,0.273,0.232,0.23,0.008,-0.003,-0.011,-0.007,0.008,-0.024,0.004,-0.006,-0.002
-1442.0,0.0,408.0,38.679,0.386,1.359,0.276,0.235,0.225,0.007,-0.003,-0.007,-0.008,0.007,-0.026,0.003,-0.005,-0.002
-1442.0,0.0,428.0,38.77,0.458,1.41,0.283,0.236,0.227,0.008,-0.003,-0.01,-0.009,0.007,-0.027,0.004,-0.006,-0.002
-1442.0,0.0,458.0,38.949,0.615,1.41,0.292,0.238,0.23,0.015,-0.004,-0.01,-0.01,0.008,-0.034,0.004,-0.01,-0.003
-1442.0,0.0,488.0,39.138,0.485,1.425,0.3,0.236,0.233,0.011,-0.004,-0.013,-0.008,0.007,-0.028,0.004,-0.008,-0.002
-1442.0,0.0,518.0,39.288,0.427,1.375,0.297,0.239,0.231,0.011,-0.004,-0.014,-0.008,0.009,-0.028,0.004,-0.007,-0.003
-1442.0,0.0,558.0,39.497,0.345,1.284,0.3,0.237,0.223,0.01,-0.005,-0.018,-0.008,0.008,-0.031,0.004,-0.006,-0.002
-1442.0,0.0,598.0,39.728,0.254,1.151,0.292,0.235,0.218,0.011,-0.004,-0.015,-0.008,0.006,-0.03,0.003,-0.008,-0.002
-1442.0,0.0,638.0,39.878,0.345,1.141,0.293,0.237,0.215,0.012,-0.005,-0.021,-0.007,0.007,-0.029,0.004,-0.007,-0.002
-1442.0,0.0,688.0,40.034,0.377,1.101,0.278,0.238,0.217,0.01,-0.004,-0.015,-0.008,0.007,-0.028,0.004,-0.009,-0.002
-1442.0,0.0,738.0,40.173,0.428,0.992,0.279,0.238,0.213,0.012,-0.005,-0.021,-0.009,0.008,-0.029,0.006,-0.007,-0.004
-1262.0,0.0,28.0,30.078,1.229,0.396,1.992,0.999,1.226,0.023,-0.863,-5.12,-0.133,0.971,0.04,1.37,-0.894,-1.15
-1262.0,0.0,48.0,33.01,1.1,0.703,0.416,0.254,0.386,0.007,-0.013,-0.01,-0.003,0.027,-0.008,0.01,-0.005,-0.004
-1262.0,0.0,68.0,33.054,1.001,0.786,0.338,0.21,0.291,0.006,-0.008,-0.009,-0.004,0.013,-0.009,0.006,-0.003,-0.002
