x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-243.0,-195.0,340.0,42.96,6.86,6.13,2.419,1.493,1.896,0.843,-1.248,-12.88,-1.294,4.113,-2.615,3.685,-1.981,-4.182
-243.0,-195.0,343.0,45.13,6.56,4.53,1.464,1.068,1.258,0.202,-0.595,-5.055,-0.459,2.437,-0.855,1.894,-0.89,-1.924
-243.0,-195.0,348.0,46.02,5.86,2.91,0.609,0.639,0.488,-0.056,-0.039,-0.171,-0.124,0.174,-0.032,0.068,-0.026,-0.06
-243.0,-195.0,358.0,45.99,4.9,1.3,0.484,0.558,0.29,-0.063,-0.014,-0.089,-0.049,0.0,-0.019,-0.003,0.02,-0.003
-243.0,-195.0,388.0,45.12,3.46,-0.13,0.45,0.563,0.281,-0.058,-0.014,-0.062,-0.035,-0.008,-0.016,-0.007,0.012,-0.001
-223.0,-195.0,340.0,45.2,8.99,6.85,2.105,1.301,1.71,0.482,-1.03,-10.197,-0.627,3.962,-1.802,3.024,-1.296,-3.334
-223.0,-195.0,343.0,47.02,8.55,4.63,1.132,0.908,1.041,0.072,-0.326,-2.363,-0.32,1.919,-0.414,1.034,-0.445,-1.017
-223.0,-195.0,348.0,47.36,7.5,2.64,0.571,0.616,0.415,-0.061,-0.025,-0.053,-0.03,0.04,-0.017,0.01,0.011,-0.003
-223.0,-195.0,358.0,46.96,6.16,0.74,0.487,0.667,0.285,-0.056,-0.016,-0.068,0.016,-0.008,-0.007,-0.007,0.011,0.001
-223.0,-195.0,388.0,45.49,4.11,-0.72,0.469,0.697,0.269,-0.051,-0.012,-0.064,0.003,-0.005,-0.023,-0.01,0.014,-0.004
-203.0,-195.0,340.0,50.42,15.19,6.18,1.599,1.176,1.418,0.113,-0.75,-5.238,-0.232,3.218,-0.337,2.219,-0.774,-2.173
-203.0,-195.0,343.0,50.36,13.2,2.91,0.785,0.756,0.736,-0.015,-0.124,-0.497,-0.061,0.717,-0.02,0.251,-0.051,-0.228
-203.0,-195.0,348.0,49.23,10.7,0.72,0.572,0.608,0.368,-0.044,-0.048,-0.094,-0.07,-0.01,0.002,-0.002,0.01,0.007
-203.0,-195.0,358.0,47.81,7.98,-0.87,0.526,0.689,0.292,-0.056,-0.028,-0.086,0.008,-0.007,-0.003,-0.003,0.027,0.001
-203.0,-195.0,388.0,45.58,4.79,-1.44,0.475,0.584,0.29,-0.057,-0.016,-0.069,-0.064,-0.012,-0.014,-0.006,0.018,0.0
-183.0,-195.0,331.0,47.08,19.45,16.45,2.481,1.882,2.028,0.94,-0.919,-5.022,-1.932,2.258,-1.815,1.481,-1.065,-1.542
-183.0,-195.0,333.0,47.62,22.57,12.33,2.19,1.553,1.763,0.659,-0.759,-6.484,-1.381,2.205,-1.571,1.664,-1.287,-2.113
-183.0,-195.0,338.0,48.34,20.37,2.76,0.824,0.864,0.885,-0.016,-0.13,-0.831,-0.224,0.615,-0.16,0.375,-0.105,-0.374
-183.0,-195.0,343.0,47.91,16.01,-0.79,0.529,0.677,0.453,-0.06,-0.07,-0.09,-0.068,0.016,-0.007,0.02,0.01,-0.002
-183.0,-195.0,348.0,47.6,13.01,-2.01,0.512,0.614,0.392,-0.06,-0.057,-0.071,-0.047,-0.011,0.001,0.004,0.003,0.004
-183.0,-195.0,358.0,46.94,9.5,-2.61,0.476,0.602,0.32,-0.067,-0.035,-0.056,-0.019,-0.002,0.007,0.0,0.003,-0.002
-183.0,-195.0,388.0,45.32,5.45,-2.23,0.462,0.521,0.302,-0.062,-0.019,-0.061,-0.034,-0.005,-0.012,-0.007,0.013,0.0
-163.0,-195.0,321.0,44.05,13.72,19.22,2.775,1.966,2.072,1.325,-1.146,-6.185,-1.794,1.578,-2.391,1.074,-1.306,-1.316
-163.0,-195.0,323.0,45.24,16.73,17.89,2.502,1.877,1.954,1.155,-0.933,-5.691,-1.894,1.835,-2.024,1.506,-1.556,-1.344
-163.0,-195.0,328.0,47.09,22.04,10.88,1.643,1.256,1.375,0.292,-0.398,-4.126,-1.255,1.766,-0.997,1.12,-0.926,-1.338
-163.0,-195.0,333.0,46.95,20.96,3.88,0.668,0.731,0.682,-0.132,-0.044,-0.236,-0.16,0.202,-0.105,0.114,-0.05,-0.074
-163.0,-195.0,338.0,46.3,17.86,0.14,0.49,0.661,0.457,-0.157,-0.048,-0.065,-0.043,-0.007,-0.036,0.02,0.03,0.003
-163.0,-195.0,348.0,45.94,13.01,-2.66,0.474,0.591,0.359,-0.138,-0.044,-0.078,-0.043,0.002,-0.035,0.007,0.041,0.002
-163.0,-195.0,358.0,45.69,10.1,-3.23,0.474,0.574,0.303,-0.126,-0.03,-0.06,-0.054,-0.009,-0.026,-0.003,0.025,-0.001
-163.0,-195.0,388.0,44.82,5.98,-2.79,0.436,0.531,0.303,-0.128,-0.019,-0.061,-0.055,-0.005,-0.041,-0.004,0.037,-0.001
-143.0,-195.0,312.0,41.88,11.42,18.96,2.862,1.993,2.162,1.578,-0.934,-6.311,-1.627,1.426,-2.0,0.946,-1.043,-1.029
-143.0,-195.0,314.0,42.86,13.29,18.06,2.649,1.978,2.086,1.358,-0.684,-4.118,-1.8,1.64,-2.182,0.611,-1.107,-0.739
-143.0,-195.0,318.0,44.82,17.87,15.93,2.33,1.629,1.835,0.863,-0.894,-5.456,-1.908,2.195,-2.293,1.283,-1.593,-1.64
-143.0,-195.0,323.0,46.63,21.34,10.08,1.287,0.979,1.119,0.014,-0.254,-2.526,-0.62,1.289,-0.604,0.801,-0.373,-0.905
-143.0,-195.0,328.0,46.09,20.61,4.56,0.574,0.672,0.535,-0.173,-0.018,-0.076,-0.115,0.05,-0.072,0.022,0.06,-0.002
-143.0,-195.0,338.0,45.0,16.07,-1.05,0.448,0.687,0.36,-0.179,-0.041,-0.052,-0.042,-0.008,-0.049,0.0,0.047,0.002
-143.0,-195.0,348.0,44.85,12.52,-2.92,0.429,0.604,0.319,-0.158,-0.034,-0.045,-0.068,-0.003,-0.05,0.001,0.054,0.001
-143.0,-195.0,358.0,44.68,10.08,-3.42,0.434,0.565,0.306,-0.15,-0.027,-0.071,-0.056,-0.012,-0.044,-0.001,0.046,0.001
-143.0,-195.0,388.0,44.27,6.3,-3.06,0.447,0.527,0.303,-0.138,-0.015,-0.075,-0.064,-0.006,-0.036,-0.008,0.045,0.0
-123.0,-195.0,303.0,40.87,9.91,18.22,2.993,1.974,2.158,1.683,-0.808,-7.658,-1.956,1.22,-3.565,0.755,-1.748,-1.52
