x_mm,y_mm,z_mm,U,W,urms,wrms,uw,uuu,www,uuw,uww
-243.0,0.0,339.6,36.411,-0.175,3.446,1.941,-2.895,-7.227,1.752,3.245,-1.935
-243.0,0.0,340.6,38.774,-0.261,3.105,1.907,-2.63,-8.523,1.554,3.75,-2.174
-243.0,0.0,341.6,40.375,-0.362,2.84,1.839,-2.244,-6.517,1.397,2.718,-1.549
-243.0,0.0,342.6,41.617,-0.454,2.618,1.82,-2.063,-5.44,1.771,2.409,-1.71
-243.0,0.0,343.6,42.741,-0.524,2.432,1.724,-1.808,-5.244,1.457,1.958,-1.409
-243.0,0.0,345.6,44.298,-0.678,2.174,1.593,-1.494,-4.904,1.524,1.936,-1.549
-243.0,0.0,347.6,45.544,-0.784,1.912,1.434,-1.161,-4.884,1.356,1.782,-1.312
-243.0,0.0,349.6,46.647,-0.888,1.622,1.251,-0.851,-4.104,1.281,1.515,-1.321
-243.0,0.0,351.6,47.543,-1.0,1.274,1.033,-0.515,-3.066,1.02,1.168,-1.035
-243.0,0.0,353.6,48.122,-1.109,0.887,0.808,-0.253,-1.41,0.594,0.558,-0.516
-243.0,0.0,355.6,48.385,-1.206,0.598,0.589,-0.082,-0.315,0.235,0.147,-0.14
-243.0,0.0,356.6,48.246,-1.279,0.468,0.537,-0.099,-0.224,0.226,0.144,-0.122
-243.0,0.0,357.6,48.441,-1.3,0.488,0.447,-0.036,-0.085,0.09,0.054,-0.036
-243.0,0.0,359.6,48.394,-1.406,0.437,0.375,-0.016,-0.032,0.034,0.02,0.004
-243.0,0.0,361.6,48.365,-1.501,0.416,0.344,-0.019,-0.026,0.007,0.012,0.002
-243.0,0.0,363.0,48.147,-1.671,0.406,0.327,-0.024,-0.033,0.006,0.009,-0.001
-243.0,0.0,373.0,47.798,-2.061,0.395,0.314,-0.029,-0.016,0.009,0.006,-0.002
-243.0,0.0,388.0,47.207,-2.408,0.358,0.301,-0.021,-0.012,0.013,0.006,-0.003
-223.0,0.0,339.7,38.375,0.251,3.364,1.954,-2.83,-8.599,2.108,4.012,-2.341
-223.0,0.0,340.7,40.929,-0.062,2.983,1.866,-2.362,-7.945,1.457,3.471,-1.734
-223.0,0.0,341.7,42.532,-0.298,2.748,1.822,-2.159,-7.453,1.333,2.74,-1.471
-223.0,0.0,342.7,43.745,-0.516,2.517,1.762,-1.9,-5.062,1.344,2.002,-1.424
-223.0,0.0,343.7,44.674,-0.663,2.395,1.724,-1.79,-5.678,1.506,2.042,-1.385
-223.0,0.0,345.7,46.231,-0.955,2.11,1.592,-1.471,-4.902,1.632,1.956,-1.564
-223.0,0.0,347.7,47.514,-1.248,1.8,1.4,-1.045,-4.012,1.316,1.586,-1.346
-223.0,0.0,349.7,48.483,-1.453,1.549,1.229,-0.792,-3.999,1.326,1.513,-1.276
-223.0,0.0,351.7,49.259,-1.652,1.218,1.013,-0.475,-2.637,0.974,0.971,-0.908
-223.0,0.0,353.7,49.689,-1.839,0.879,0.804,-0.236,-1.268,0.559,0.502,-0.439
-223.0,0.0,355.7,49.866,-2.03,0.652,0.623,-0.107,-0.465,0.275,0.185,-0.159
-223.0,0.0,357.7,49.848,-2.196,0.546,0.499,-0.051,-0.168,0.128,0.068,-0.036
-223.0,0.0,359.7,49.749,-2.366,0.498,0.416,-0.035,-0.111,0.027,0.017,0.003
-223.0,0.0,361.7,49.572,-2.502,0.492,0.387,-0.03,-0.102,0.024,0.012,0.0
-223.0,0.0,363.7,49.445,-2.637,0.462,0.367,-0.028,-0.079,0.015,0.012,-0.002
-203.0,0.0,339.6,45.216,-0.872,3.328,1.612,-3.222,-14.873,1.657,5.241,-2.946
-203.0,0.0,340.6,47.181,-1.398,2.759,1.503,-2.582,-7.059,0.432,2.279,-1.096
-203.0,0.0,341.6,48.118,-1.704,2.454,1.463,-2.342,-4.466,0.464,1.619,-0.924
-203.0,0.0,342.6,48.653,-1.923,2.27,1.432,-2.202,-3.849,0.258,1.572,-1.127
-203.0,0.0,343.6,49.105,-2.201,2.121,1.389,-2.069,-4.368,0.388,1.836,-1.04
-203.0,0.0,345.6,49.869,-2.564,1.843,1.254,-1.682,-3.377,0.304,1.406,-0.94
-203.0,0.0,347.6,50.363,-2.87,1.617,1.142,-1.414,-2.996,0.575,1.161,-0.974
-203.0,0.0,349.6,50.527,-3.147,1.519,1.089,-1.285,-3.541,0.604,1.465,-1.237
-203.0,0.0,351.6,50.721,-3.359,1.332,1.035,-1.081,-3.374,0.846,1.417,-1.309
-203.0,0.0,353.6,50.8,-3.568,1.12,0.912,-0.796,-2.628,0.794,1.134,-1.096
-203.0,0.0,355.6,50.695,-3.752,0.934,0.81,-0.563,-1.68,0.513,0.729,-0.689
-203.0,0.0,357.6,50.578,-3.894,0.809,0.704,-0.404,-1.174,0.105,0.45,-0.407
-203.0,0.0,359.6,50.524,-4.01,0.678,0.628,-0.285,-0.47,0.023,0.216,-0.218
-203.0,0.0,361.6,50.401,-4.121,0.574,0.577,-0.212,-0.113,0.061,0.099,-0.067
-203.0,0.0,363.0,50.28,-4.185,0.513,0.533,-0.162,-0.038,0.012,0.012,0.0
-203.0,0.0,373.0,49.329,-4.415,0.45,0.461,-0.104,-0.011,0.016,0.006,-0.004
-203.0,0.0,388.0,48.223,-4.465,0.373,0.386,-0.05,-0.032,0.018,0.013,-0.006
-183.0,0.0,329.6,-9.08,5.836,6.138,5.062,-18.14,315.626,-159.637,-168.952,132.6
-183.0,0.0,330.6,-7.259,4.741,8.017,7.033,-32.575,680.147,-388.45,-391.428,328.881
-183.0,0.0,331.6,-1.789,2.362,11.118,9.253,-67.396,1125.566,-535.524,-640.79,496.372
-183.0,0.0,332.6,6.961,-1.305,13.088,10.397,-92.289,353.164,-181.131,-218.355,158.745
-183.0,0.0,333.6,16.131,-4.292,13.899,10.449,-98.048,-622.969,267.617,306.802,-316.352
-183.0,0.0,334.6,25.767,-6.362,12.88,9.11,-78.698,-1311.631,433.486,629.895,-516.993
-183.0,0.0,335.6,36.816,-7.292,10.739,7.284,-51.461,-1406.659,448.318,683.602,-538.121
-183.0,0.0,336.6,44.05,-7.317,7.443,5.399,-26.321,-829.931,265.624,404.67,-299.968
-183.0,0.0,337.6,47.523,-7.159,4.719,4.121,-11.9,-269.612,142.029,164.76,-132.073
-183.0,0.0,338.6,48.883,-6.989,3.303,3.302,-5.844,-72.614,60.907,49.673,-41.296
-183.0,0.0,339.6,49.585,-6.992,2.665,2.898,-3.948,-20.299,28.885,15.529,-14.022
-183.0,0.0,340.6,49.945,-6.962,2.332,2.584,-2.954,-9.222,10.385,6.153,-4.671
-183.0,0.0,341.6,50.147,-6.878,2.156,2.405,-2.634,-6.29,7.032,3.926,-3.64
-183.0,0.0,342.6,50.415,-6.802,1.978,2.203,-2.223,-4.675,4.105,2.84,-2.911
-183.0,0.0,343.6,50.589,-6.691,1.894,2.121,-2.174,-4.743,3.23,2.528,-2.664
-183.0,0.0,344.6,50.725,-6.695,1.803,2.031,-1.903,-3.976,2.997,1.958,-2.396
-183.0,0.0,345.6,50.824,-6.66,1.763,1.953,-1.84,-3.924,2.027,1.896,-1.559
-183.0,0.0,346.0,50.996,-6.662,1.713,1.843,-1.754,-3.971,1.226,1.814,-1.308
-183.0,0.0,348.0,51.498,-6.695,1.344,1.599,-1.203,-2.678,0.87,1.31,-1.046
-183.0,0.0,353.0,51.57,-6.628,0.689,1.168,-0.492,-0.156,0.0,0.132,-0.105
-183.0,0.0,358.0,50.975,-6.565,0.531,0.925,-0.289,-0.025,-0.088,0.01,0.003
-183.0,0.0,363.0,50.416,-6.465,0.456,0.796,-0.191,-0.038,-0.022,0.025,-0.021
-183.0,0.0,373.0,49.4,-6.243,0.415,0.617,-0.104,-0.012,-0.005,0.011,-0.009
-183.0,0.0,388.0,48.226,-5.838,0.357,0.455,-0.04,-0.028,0.002,0.01,-0.004
-163.0,0.0,320.7,-9.169,6.211,9.9,7.343,-43.238,755.73,-401.763,-404.835,306.616
-163.0,0.0,321.7,-7.865,5.398,10.722,8.796,-51.082,783.106,-623.927,-436.134,405.152
-163.0,0.0,322.7,-6.182,4.311,11.605,10.222,-66.716,895.406,-809.537,-553.793,540.118
-163.0,0.0,323.7,-3.531,2.756,12.845,11.418,-85.355,954.452,-798.126,-641.219,549.188
-163.0,0.0,324.7,-0.514,1.26,14.119,12.395,-102.657,950.979,-755.918,-546.502,474.113
-163.0,0.0,325.7,3.177,-0.614,14.858,12.752,-111.445,572.691,-341.698,-318.802,187.855
-163.0,0.0,326.7,7.934,-2.412,15.554,12.848,-121.161,-41.27,90.321,65.489,-124.322
-163.0,0.0,327.7,14.063,-5.091,15.822,12.957,-123.56,-979.798,746.235,677.579,-794.193
-163.0,0.0,328.7,20.065,-6.948,15.185,12.27,-110.484,-1677.646,1023.946,1033.534,-1009.156
-163.0,0.0,329.7,24.854,-7.967,14.78,11.576,-102.661,-1978.385,1136.91,1175.655,-1141.86
-163.0,0.0,330.7,29.822,-9.163,13.585,10.292,-80.923,-2071.734,1035.506,1142.458,-1042.372
-163.0,0.0,331.7,33.938,-9.514,12.569,9.66,-69.558,-1968.334,1048.296,1094.368,-1020.008
-163.0,0.0,332.7,37.779,-9.919,10.88,8.359,-50.423,-1577.365,797.615,852.101,-769.795
-163.0,0.0,333.7,40.596,-9.89,9.564,7.534,-39.414,-1286.532,618.504,697.324,-601.551
-163.0,0.0,334.7,42.808,-9.974,8.097,6.478,-28.013,-910.504,448.67,505.32,-443.444
-163.0,0.0,335.7,44.354,-9.728,6.876,5.84,-21.281,-698.605,376.309,392.147,-331.756
-163.0,0.0,336.0,44.512,-9.58,6.739,5.72,-21.262,-683.892,340.193,373.7,-327.134
-163.0,0.0,338.0,47.155,-9.414,4.43,4.505,-10.001,-220.569,196.747,144.891,-144.002
-163.0,0.0,343.0,50.114,-9.324,1.955,2.641,-1.804,-8.335,24.128,8.184,-8.648
-163.0,0.0,348.0,50.947,-9.265,0.957,1.81,-0.29,-0.857,3.406,1.01,-1.22
-163.0,0.0,353.0,50.589,-9.033,0.609,1.361,-0.045,-0.151,0.667,0.152,-0.27
-163.0,0.0,363.0,49.644,-8.489,0.456,0.932,-0.02,-0.047,0.108,0.025,-0.065
-163.0,0.0,373.0,48.791,-7.967,0.371,0.702,-0.007,-0.015,0.032,0.008,-0.025
-163.0,0.0,388.0,47.769,-7.187,0.376,0.478,-0.005,-0.018,0.009,0.008,-0.008
-143.0,0.0,310.8,-8.121,4.73,12.702,8.422,-77.259,402.835,88.763,-65.13,-69.048
-143.0,0.0,311.8,-6.341,3.267,13.475,10.49,-88.097,313.989,-133.198,-13.752,-21.283
-143.0,0.0,312.8,-5.167,2.577,13.846,11.477,-93.178,206.207,-186.902,3.793,-11.924
-143.0,0.0,313.8,-3.246,1.278,14.294,12.479,-97.069,48.772,-148.08,109.865,-77.985
-143.0,0.0,314.8,-1.142,0.207,14.994,13.101,-111.172,-4.166,-65.755,101.391,-99.784
-143.0,0.0,315.8,0.82,-1.114,15.371,13.711,-117.905,-228.914,146.832,224.997,-250.229
-143.0,0.0,316.8,3.008,-2.316,15.62,14.223,-123.821,-525.962,343.155,403.118,-392.099
-143.0,0.0,317.8,5.622,-3.492,15.876,14.302,-128.337,-830.018,568.413,638.991,-625.006
-143.0,0.0,318.8,8.172,-4.343,16.181,14.214,-126.812,-1069.864,776.018,723.495,-776.755
-143.0,0.0,319.8,10.888,-5.436,16.221,14.235,-128.651,-1402.451,996.015,924.85,-923.58
-143.0,0.0,320.8,13.418,-6.445,15.963,13.931,-122.949,-1552.841,1183.343,1046.467,-1065.888
-143.0,0.0,321.8,16.15,-7.363,15.892,13.806,-122.849,-1739.217,1324.884,1191.628,-1218.689
-143.0,0.0,322.8,18.79,-8.348,15.713,13.209,-114.146,-2085.101,1417.641,1270.219,-1267.92
-143.0,0.0,323.8,21.42,-8.901,15.313,12.883,-109.4,-2133.858,1466.12,1278.809,-1305.367
-143.0,0.0,324.8,23.81,-9.358,14.705,12.505,-104.769,-2074.88,1475.812,1321.523,-1351.926
-143.0,0.0,325.8,26.119,-9.911,14.083,11.829,-92.35,-1962.967,1374.593,1179.651,-1253.601
-143.0,0.0,326.8,28.576,-10.232,13.575,11.328,-87.814,-2081.483,1335.627,1212.08,-1213.087
-143.0,0.0,327.0,28.455,-10.593,13.359,11.0,-87.448,-2011.775,1317.668,1188.562,-1219.872
-143.0,0.0,329.0,33.698,-11.182,11.85,9.746,-66.403,-1924.131,1138.131,1091.305,-1089.807
-143.0,0.0,333.0,42.494,-11.87,7.89,6.92,-28.931,-999.579,603.665,575.866,-554.345
-143.0,0.0,338.0,47.683,-11.561,3.86,4.324,-7.394,-161.134,202.674,120.229,-125.621
-143.0,0.0,343.0,49.479,-11.387,1.848,2.683,-0.765,-8.094,52.432,13.84,-16.868
-143.0,0.0,353.0,49.091,-10.739,0.85,1.335,0.303,-0.115,1.886,0.353,-0.022
-143.0,0.0,363.0,48.44,-9.98,0.551,0.915,0.15,-0.067,0.302,0.031,-0.023
-143.0,0.0,373.0,47.827,-9.279,0.472,0.659,0.081,-0.043,0.07,0.01,-0.017
-143.0,0.0,388.0,46.994,-8.3,0.366,0.497,0.032,-0.008,0.032,0.01,-0.004
-123.0,0.0,302.0,-4.033,0.353,12.312,9.092,-83.147,-2.364,152.148,163.187,-255.209
-123.0,0.0,303.0,-3.042,0.203,12.791,9.882,-85.037,-99.283,85.48,254.052,-290.717
-123.0,0.0,304.0,-1.865,-0.753,13.108,10.844,-85.352,-190.332,20.606,273.274,-248.45
-123.0,0.0,305.0,-0.513,-1.35,13.268,11.417,-88.005,-227.942,77.397,281.501,-285.923
-123.0,0.0,306.0,0.492,-2.303,13.33,12.064,-89.885,-307.05,58.914,312.502,-295.566
-123.0,0.0,307.0,1.678,-3.037,13.595,12.676,-99.39,-389.953,180.578,366.758,-367.28
-123.0,0.0,308.0,2.907,-3.391,14.102,12.867,-104.21,-473.873,270.346,426.854,-435.141
-123.0,0.0,309.0,4.165,-4.207,13.824,13.112,-98.484,-568.04,365.003,401.106,-476.582
-123.0,0.0,310.0,5.647,-4.785,14.175,13.439,-105.06,-533.804,537.533,453.368,-494.321
-123.0,0.0,311.0,7.488,-5.843,14.405,13.257,-106.809,-780.815,609.432,591.012,-634.896
-123.0,0.0,312.0,8.722,-6.201,14.41,13.435,-108.376,-736.303,716.704,590.055,-662.291
-123.0,0.0,313.0,10.656,-7.123,14.38,13.284,-108.212,-825.603,899.952,715.043,-849.173
-123.0,0.0,314.0,12.351,-7.566,14.339,13.25,-107.034,-924.721,964.311,745.602,-869.219
-123.0,0.0,315.0,14.011,-8.181,14.426,13.042,-104.428,-1047.71,1045.37,719.622,-883.285
-123.0,0.0,316.0,15.812,-8.803,14.217,12.884,-104.793,-1138.321,1104.356,871.78,-1011.294
-123.0,0.0,317.0,17.289,-9.031,14.314,12.66,-104.9,-1180.521,1164.592,887.391,-1042.963
-123.0,0.0,318.0,19.207,-9.595,14.102,12.387,-101.074,-1323.072,1183.252,901.742,-1026.331
-123.0,0.0,318.0,19.262,-9.553,14.182,12.388,-101.366,-1329.096,1183.483,892.567,-1026.809
-123.0,0.0,320.0,23.701,-10.697,13.465,11.863,-93.4,-1616.468,1341.699,1031.879,-1156.909
-123.0,0.0,323.0,29.871,-12.104,12.27,10.428,-70.903,-1848.503,1281.344,1079.766,-1132.056
-123.0,0.0,328.0,38.879,-12.999,9.128,8.153,-39.768,-1245.418,906.304,731.306,-764.236
-123.0,0.0,333.0,44.585,-13.185,5.66,5.741,-16.423,-472.879,410.754,308.937,-306.963
-123.0,0.0,343.0,47.819,-12.632,1.884,2.488,-0.225,-4.538,49.832,11.499,-10.886
-123.0,0.0,353.0,47.48,-11.831,1.0,1.237,0.307,0.252,2.774,0.625,0.167
-123.0,0.0,363.0,47.045,-11.033,0.671,0.801,0.167,0.005,0.427,0.102,0.032
-123.0,0.0,373.0,46.662,-10.217,0.505,0.603,0.09,-0.018,0.113,0.03,0.003
-123.0,0.0,388.0,46.114,-9.156,0.416,0.432,0.045,-0.026,0.031,0.007,-0.001
-103.0,0.0,291.9,-1.772,-0.259,11.721,7.432,-72.37,-200.316,115.003,164.679,-183.82
