x_mm,y_mm,z_mm,U,V,W,urms,vrms,wrms,uv,uw,uuu,vvv,www,uuv,uuw,uvv,uww
-243.0,180.0,358.0,46.12,-4.4,-0.44,0.948,0.847,0.843,-0.016,-0.287,-1.137,-0.222,0.692,-0.111,0.499,-0.118,-0.478
-243.0,180.0,363.0,46.57,-4.16,-0.65,0.371,0.702,0.364,-0.061,-0.016,-0.036,0.036,0.086,-0.012,0.027,0.009,-0.015
-243.0,180.0,373.0,46.26,-3.8,-0.93,0.346,0.638,0.24,-0.067,-0.009,-0.045,-0.03,0.007,-0.016,0.008,0.005,-0.005
-243.0,180.0,388.0,45.73,-3.34,-1.15,0.35,0.595,0.243,-0.067,-0.012,-0.029,-0.039,0.007,-0.015,0.01,0.008,-0.004
-203.0,180.0,363.0,48.55,-6.52,-3.8,0.354,0.726,0.333,-0.093,-0.013,-0.031,0.06,0.034,1.219,0.016,-0.01,-0.008
-203.0,180.0,373.0,47.4,-5.59,-3.35,0.368,0.684,0.268,-0.058,-0.013,-0.03,0.031,0.008,-0.028,0.009,0.016,-0.007
-203.0,180.0,388.0,46.34,-4.51,-2.92,0.335,0.701,0.259,-0.062,-0.011,-0.04,0.045,0.007,-0.009,0.009,0.015,-0.005
-183.0,180.0,346.0,47.34,-11.8,-10.19,1.372,1.063,1.076,-0.169,-0.141,-2.239,0.387,0.851,0.141,0.372,-0.58,-0.743
-183.0,180.0,348.0,47.51,-11.3,-9.41,1.276,0.912,0.976,-0.125,-0.141,-2.123,0.134,0.723,0.069,0.293,-0.349,-0.636
-183.0,180.0,353.0,47.7,-9.96,-7.95,0.837,0.71,0.697,-0.073,-0.154,-0.911,-0.047,0.436,-0.04,0.303,-0.03,-0.323
-183.0,180.0,358.0,47.74,-8.83,-6.86,0.43,0.641,0.349,-0.08,-0.013,-0.047,0.014,0.058,-0.017,0.03,0.004,-0.016
-183.0,180.0,363.0,47.34,-7.91,-5.97,0.358,0.638,0.277,-0.077,-0.012,-0.019,0.007,0.01,0.001,0.012,-0.007,-0.005
-183.0,180.0,373.0,46.65,-6.64,-4.87,0.32,0.601,0.254,-0.075,-0.011,-0.029,-0.01,0.01,0.004,0.011,-0.003,-0.008
-183.0,180.0,388.0,45.85,-5.3,-3.85,0.351,0.568,0.282,-0.071,-0.011,-0.033,-0.035,0.009,-0.004,0.01,0.01,-0.006
-163.0,180.0,336.0,44.37,-16.71,-13.38,0.819,0.974,0.718,-0.04,-0.143,-1.122,-0.416,0.591,-0.162,0.425,-0.175,-0.405
-163.0,180.0,338.0,44.85,-15.83,-12.17,0.621,0.843,0.589,-0.016,-0.063,-0.409,-0.102,0.267,-0.169,0.172,-0.154,-0.175
-163.0,180.0,343.0,45.46,-13.81,-10.12,0.513,0.718,0.452,-0.06,-0.013,-0.19,-0.023,0.055,-0.025,0.019,-0.008,-0.047
-163.0,180.0,348.0,45.72,-12.1,-8.91,0.479,0.674,0.389,-0.07,-0.027,-0.15,-0.026,0.057,-0.024,0.038,0.006,-0.046
-163.0,180.0,353.0,45.9,-10.71,-7.99,0.378,0.63,0.333,-0.067,-0.018,-0.03,0.0,0.017,-0.002,0.016,0.005,-0.012
-163.0,180.0,363.0,45.85,-8.65,-6.58,0.35,0.607,0.275,-0.07,-0.015,-0.029,-0.004,0.012,-0.008,0.011,0.004,-0.007
-163.0,180.0,373.0,45.65,-7.26,-5.52,0.344,0.574,0.263,-0.067,-0.009,-0.02,-0.031,0.01,-0.003,0.009,0.006,-0.005
-163.0,180.0,388.0,45.21,-5.79,-4.52,0.324,0.569,0.274,-0.06,-0.009,-0.013,-0.051,0.014,0.004,0.009,0.012,-0.004
-143.0,180.0,327.0,40.48,-23.04,-14.96,1.478,1.347,1.522,-0.053,-0.89,-4.316,-1.243,4.399,-0.395,2.533,-1.047,-2.717
-143.0,180.0,329.0,41.97,-21.36,-13.3,0.862,0.981,0.993,-0.06,-0.25,-1.191,-0.397,1.668,-0.274,0.766,-0.23,-0.781
-143.0,180.0,333.0,43.21,-18.51,-11.19,0.399,0.733,0.468,-0.067,-0.023,-0.026,-0.024,0.139,-0.094,0.048,-0.02,-0.049
-143.0,180.0,338.0,43.92,-15.78,-9.65,0.359,0.645,0.346,-0.069,-0.011,-0.021,-0.04,0.011,-0.026,0.011,-0.002,-0.011
-143.0,180.0,343.0,44.32,-13.72,-8.77,0.341,0.61,0.308,-0.076,-0.014,-0.025,-0.047,0.015,-0.02,0.01,0.011,-0.01
-143.0,180.0,353.0,44.61,-10.84,-7.48,0.311,0.594,0.277,-0.069,-0.012,-0.022,-0.01,0.007,0.002,0.009,0.005,-0.005
-143.0,180.0,363.0,44.71,-8.98,-6.56,0.311,0.576,0.271,-0.072,-0.01,-0.021,-0.013,0.013,0.004,0.007,0.008,-0.006
-143.0,180.0,373.0,44.68,-7.57,-5.74,0.306,0.566,0.266,-0.07,-0.01,-0.022,-0.06,0.008,-0.001,0.009,0.013,-0.004
-143.0,180.0,388.0,44.56,-6.13,-4.86,0.311,0.578,0.254,-0.071,-0.01,-0.026,-0.048,0.013,0.004,0.008,0.015,-0.005
-123.0,180.0,318.0,32.71,-33.17,-11.52,3.233,2.489,3.682,-0.531,-1.075,-7.546,-3.05,18.594,-0.006,5.746,-3.973,2.263
-123.0,180.0,320.0,37.19,-29.34,-11.46,2.288,1.785,2.545,-0.315,-1.868,-8.474,-2.451,12.914,-0.406,5.011,-1.617,-5.385
-123.0,180.0,323.0,40.77,-25.02,-10.73,1.121,1.106,1.349,-0.153,-0.357,-2.543,-0.508,2.92,-0.045,1.403,-0.426,-1.441
-123.0,180.0,328.0,42.35,-20.23,-9.54,0.374,0.716,0.496,-0.076,-0.005,-0.026,-0.052,0.101,-0.027,0.025,0.011,-0.026
-123.0,180.0,333.0,42.9,-17.08,-8.74,0.313,0.655,0.359,-0.079,-0.011,-0.01,-0.011,0.025,-0.009,0.009,0.007,-0.01
