z',U/U_e,rms
0.03751,0.97329,1.74852
0.03652,0.99055,1.54921
0.03455,1.00654,1.16693
0.03255,1.01667,0.86823
0.03057,1.02005,0.65296
0.02858,1.02213,0.50093
0.0266,1.02402,0.38618
0.02461,1.02444,0.32856
0.02262,1.0242,0.29197
0.02064,1.02389,0.26623
0.01865,1.02359,0.26529
0.01667,1.02339,0.2656
0.01468,1.0239,0.28834
0.01269,1.02322,0.37339
0.01071,1.01407,0.80314
0.00972,0.99918,1.16644
0.00874,0.97754,1.53666
0.00775,0.94955,1.82602
0.00677,0.91547,2.08395
0.00578,0.87864,2.25661
0.0048,0.84065,2.39504
0.00431,0.82023,2.46463
0.00383,0.80318,2.50218
0.00334,0.78008,2.56341
0.00285,0.75457,2.5955
0.00237,0.72999,2.61287
0.00221,0.72003,2.61607
0.00211,0.71601,2.64225
0.00202,0.70982,2.61999
0.00192,0.70515,2.62392
0.00182,0.69884,2.65265
0.00171,0.69315,2.64299
0.00167,0.6888,2.64034
0.00161,0.6866,2.66676
0.00157,0.68269,2.6214
0.00152,0.67893,2.63247
0.00146,0.67676,2.63985
0.00142,0.6724,2.63143
0.00136,0.66884,2.64518
0.00132,0.66372,2.64159
0.00127,0.66243,2.65122
0.00116,0.65267,2.66049
0.00107,0.6454,2.64777
0.00096,0.63602,2.64734
0.00086,0.62815,2.65264
0.00077,0.61654,2.68344
0.00066,0.59936,2.66063
0.00051,0.57554,2.70357
0.00046,0.56509,2.73661
0.00041,0.55515,2.79982
0.00036,0.5403,2.83268
0.00031,0.52297,2.97202
