z',U/U_e,rms
0.03711,0.95852,1.91166
0.03512,0.9892,1.53952
0.03314,1.00374,1.15742
0.03115,1.01347,0.86669
0.02917,1.01915,0.62685
0.02718,1.02258,0.4844
0.0252,1.02311,0.39377
0.02321,1.02524,0.33446
0.02122,1.02442,0.30775
0.01924,1.02532,0.29809
0.01725,1.02512,0.30831
0.01527,1.02603,0.34606
0.01328,1.02351,0.54006
0.0113,1.00589,1.11688
0.00931,0.96509,1.72065
0.00733,0.90948,2.12218
0.00634,0.87408,2.23881
0.00536,0.84221,2.349
0.00437,0.80671,2.42431
0.00339,0.76956,2.5151
0.0024,0.72729,2.59785
0.00191,0.70173,2.58418
0.00143,0.67605,2.63784
0.00094,0.63656,2.65956
0.00087,0.62787,2.62991
0.00077,0.61511,2.67332
0.00067,0.60622,2.69275
0.00056,0.58695,2.70527
0.00046,0.56747,2.86031
0.00035,0.54062,3.0364
0.00031,0.52597,30.55589
