z',U/U_e,rms
0.03558,0.99086,1.85045
0.0336,1.0057,1.46721
0.03161,1.01325,1.22466
0.02963,1.01924,0.97995
0.02764,1.0216,0.84987
0.02565,1.02301,0.83976
0.02367,1.02243,0.87287
0.02168,1.02247,0.87181
0.0197,1.02148,0.94714
0.01771,1.0208,1.04368
0.01572,1.01898,1.25755
0.01358,1.01497,1.57861
0.01175,1.00365,2.07001
0.00977,0.97375,2.49284
0.00778,0.92609,2.80992
0.00679,0.89163,2.96466
0.00581,0.85953,3.01018
0.00482,0.82388,3.05358
0.00384,0.78706,3.04073
0.00335,0.7663,3.0804
0.00287,0.74451,3.06761
0.00238,0.72425,3.06064
0.0019,0.69516,3.06087
0.00141,0.66468,3.00806
0.00133,0.65742,2.99564
0.00122,0.64976,3.00924
0.00108,0.63876,2.98421
0.00092,0.62509,2.99251
0.00077,0.60838,2.99255
0.00063,0.58913,3.00263
0.00047,0.56194,3.13672
0.00037,0.53526,3.39919
