z',U/U_e,rms
0.03547,0.97999,2.19311
0.03349,0.99797,1.89793
0.0315,1.01072,1.55698
0.02952,1.01796,1.37518
0.02753,1.02106,1.14493
0.02554,1.02214,1.13259
0.02356,1.02332,1.13283
0.02157,1.02166,1.22097
0.01959,1.01792,1.36008
0.0176,1.01415,1.61583
0.01562,1.00827,1.86072
0.01363,0.99603,2.20815
0.01164,0.97377,2.60323
0.00966,0.93323,2.87634
0.00768,0.88494,2.93222
0.00571,0.82992,3.00514
0.0047,0.80266,3.0014
0.00372,0.76843,3.03673
0.00273,0.73119,3.03738
0.00225,0.71103,3.00819
0.00176,0.68381,3.02095
0.00128,0.65022,2.99072
0.00127,0.64319,2.99733
0.00121,0.63962,3.03063
0.00116,0.63373,2.99714
0.00111,0.62896,3.01969
0.00107,0.62391,3.0593
0.00097,0.61145,3.05469
