z',U/U_e,rms
0.0379,0.82327,4.95644
0.03591,0.83784,4.77889
0.03393,0.84957,4.68938
0.03194,0.85385,4.59787
0.02996,0.85718,4.54672
0.02797,0.85663,4.51963
0.02598,0.85472,4.48719
0.024,0.84914,4.56416
0.02201,0.84702,4.54945
0.02003,0.84152,4.66878
0.01804,0.836,4.76632
0.01606,0.8303,4.86241
0.01407,0.81846,4.9571
0.01208,0.80872,5.11327
0.0101,0.79284,5.2515
0.00811,0.77687,5.35361
0.00713,0.76302,5.43916
0.00614,0.74711,5.54311
0.00516,0.72924,5.63772
0.00417,0.70908,5.72145
0.00369,0.69735,5.76516
0.0032,0.68532,5.84737
0.00271,0.66918,5.80943
0.00223,0.65093,5.86301
0.00174,0.63094,5.88499
0.00166,0.62704,5.89001
0.00155,0.62041,5.88608
0.00141,0.61208,5.8556
0.0013,0.60525,5.80968
0.0012,0.59815,5.81881
0.00114,0.59541,5.82517
0.0011,0.59113,5.78013
0.00105,0.58612,5.79023
0.00096,0.57779,5.75561
0.0008,0.56165,27.6843
