y',U/U_e,rms
0.00048,0.60801,2.88858
0.0005,0.61074,2.90776
0.00055,0.62033,2.79505
0.0006,0.62883,2.81495
0.00065,0.63674,2.772
0.00115,0.69123,2.61308
0.00165,0.72915,2.57442
0.00215,0.76034,2.53496
0.00273,0.79051,2.45354
0.00373,0.83537,2.32896
0.00472,0.87496,2.17325
0.00572,0.90865,1.98316
0.00672,0.93863,1.79752
0.00871,0.98927,1.32997
0.01071,1.02033,0.72847
0.01271,1.0314,0.30035
0.01471,1.03216,0.1617
0.01671,1.03385,0.1228
0.0187,1.03443,0.10599
0.0207,1.03361,0.09516
0.0257,1.03384,0.0862
0.0307,1.03397,0.0834
0.03569,1.03305,0.0862
0.05068,1.03146,0.08271
0.06568,1.031,0.08254
0.08068,1.03005,0.08451
0.10568,1.02822,0.08776
0.13067,1.02656,0.08366
0.15567,1.02411,0.08849
0.18066,1.02278,0.08761
0.20566,1.02132,0.09184
0.23066,1.02,0.09624
0.25566,1.01886,0.1114
0.28066,1.01405,0.10041
0.30565,1.01132,0.10599
0.33065,1.00977,0.12267
0.35565,1.0062,0.13301
