y',U/U_e,rms
0.00055,0.61085,3.03044
0.00056,0.61589,2.7721
0.00058,0.61875,2.89403
0.0006,0.62247,2.85225
0.00062,0.62518,2.83395
0.00064,0.62909,2.87428
0.00066,0.63267,2.78945
0.00069,0.63586,2.7904
0.00074,0.64342,2.75093
0.00124,0.69387,2.62782
0.00174,0.7282,2.61416
0.00224,0.75688,2.54064
0.00382,0.82853,2.37962
0.00481,0.86517,2.22731
0.00581,0.89616,2.08976
0.00681,0.92479,1.91704
0.00881,0.97504,1.51566
0.0108,1.012,1.02977
0.01281,1.03127,0.50839
0.0148,1.03564,0.23356
0.0168,1.03557,0.15086
0.0188,1.03576,0.11967
0.02079,1.03657,0.10801
0.02579,1.03697,0.09768
0.03079,1.03608,0.09145
0.03578,1.03583,0.08917
0.05078,1.03474,0.09906
0.06578,1.03329,0.0895
0.08077,1.03293,0.0913
0.10577,1.02967,0.09165
0.13077,1.02773,0.09416
0.15576,1.0245,0.09445
0.18076,1.02255,0.09467
0.20576,1.02083,0.10686
0.23075,1.0186,0.10652
0.25575,1.01716,0.1054
0.28075,1.01364,0.12013
0.30574,1.01267,0.12477
0.33074,1.01071,0.13588
0.35574,1.00839,0.15425
