y',U/U_e,rms
0.00052,0.58769,2.93601
0.00054,0.58798,3.17847
0.00059,0.59638,3.05642
0.00064,0.60569,3.07251
0.00069,0.61682,2.84764
0.00089,0.6398,2.80957
0.00109,0.65877,2.80129
0.00159,0.6928,2.79208
0.00218,0.72493,2.76345
0.00318,0.76424,2.65478
0.00418,0.79606,2.58166
0.00517,0.82291,2.4715
0.00617,0.84829,2.40327
0.00717,0.86865,2.31077
0.00917,0.90799,2.10041
0.01116,0.94464,1.89103
0.01616,1.00976,1.13303
0.02115,1.03206,0.34631
0.02615,1.03361,0.16132
0.03114,1.03346,0.12542
0.03614,1.03384,0.11185
0.05113,1.03218,0.11194
0.06613,1.03188,0.10004
0.08113,1.0312,0.09978
0.10613,1.03029,0.09642
0.13112,1.02917,0.0981
0.15612,1.02815,0.09938
0.18112,1.02547,0.09704
0.20611,1.02272,0.09964
0.23111,1.01961,0.09475
0.25611,1.01675,0.09666
0.28111,1.01393,0.10359
0.3061,1.01256,0.11121
0.3311,1.01058,0.11932
0.35609,1.00996,0.13289
