y',U/U_e,rms
0.00058,0.59612,3.0599
0.0006,0.59966,3.00116
0.00062,0.60449,2.83537
0.00064,0.60353,3.04771
0.00066,0.60902,2.94277
0.00068,0.61132,2.9094
0.00071,0.61531,2.90192
0.00076,0.62067,2.90514
0.00126,0.66861,2.80006
0.00176,0.70152,2.78947
0.00226,0.72552,2.74314
0.00285,0.75018,2.7149
0.00385,0.78083,2.62684
0.00484,0.80925,2.51615
0.00584,0.83128,2.43337
0.00684,0.85496,2.3181
0.00883,0.89459,2.14546
0.01083,0.92802,1.96259
0.01283,0.95869,1.74788
0.01483,0.98338,1.49891
0.01682,1.00396,1.18477
0.01882,1.01918,0.80865
0.02082,1.02736,0.52012
0.02582,1.03239,0.19761
0.03082,1.03282,0.13827
0.03581,1.03237,0.12732
0.05081,1.03002,0.1129
0.06581,1.03015,0.10792
0.0808,1.02944,0.10816
0.1058,1.02926,0.09975
0.1308,1.02725,0.1061
0.15579,1.02511,0.09782
0.18079,1.02206,0.10064
0.20578,1.02077,0.11022
0.23078,1.01924,0.10261
0.25577,1.01702,0.10973
0.28077,1.01531,0.11704
0.30577,1.01347,0.12136
0.33077,1.01137,0.12734
0.35576,1.00922,0.14478
