y',U/U_e,rms
0.0005,0.63785,3.08401
0.00054,0.64195,3.13861
0.00057,0.64652,3.10178
0.00059,0.6511,3.01381
0.00061,0.65365,3.05272
0.00064,0.65741,3.05193
0.00069,0.66621,2.94857
0.00073,0.67147,2.98372
0.00075,0.67188,3.0117
0.00077,0.67543,2.98614
0.00079,0.67716,3.01989
0.00084,0.68493,2.98735
0.00089,0.68948,3.03429
0.00099,0.7025,2.96064
0.00109,0.71047,2.9601
0.00139,0.73633,2.9976
0.00159,0.75102,2.9683
0.00161,0.75268,2.98336
0.00164,0.75515,2.98042
0.00167,0.75812,2.9862
0.00169,0.75971,2.9579
0.00172,0.7604,2.9719
0.00174,0.76275,2.96775
0.00177,0.76477,2.97081
0.00179,0.76629,2.94518
0.00184,0.7695,2.97562
0.00189,0.77292,2.95063
0.00239,0.80393,2.91939
0.00297,0.83713,2.869
0.00397,0.88533,2.71974
0.00497,0.92952,2.4795
0.00597,0.96429,2.21204
0.00696,0.993,1.87585
0.00896,1.02604,1.24788
0.01096,1.03335,1.0692
0.01295,1.03383,1.06982
0.01495,1.03358,1.07642
0.01695,1.03351,1.11316
0.01895,1.03265,1.1329
0.02095,1.03315,1.11256
0.02594,1.03386,1.21621
0.03094,1.03354,1.29649
0.03594,1.03234,1.26353
0.05093,1.03152,1.3128
0.06593,1.03251,1.10481
0.08093,1.03236,0.85926
0.10592,1.03052,0.36262
0.13092,1.0278,0.19602
0.15592,1.02525,0.149
0.18091,1.02379,0.12642
0.20591,1.0234,0.12479
0.23091,1.02149,0.11965
0.2559,1.01918,0.11386
0.2809,1.01712,0.1216
0.3059,1.01557,0.12018
0.33089,1.0132,0.12535
0.35589,1.01166,0.14107
