y',U/U_e,rms
0.00057,0.65018,3.13878
0.00059,0.65367,3.11195
0.0006,0.6549,3.10762
0.00061,0.65441,3.28546
0.00063,0.65988,3.01491
0.00068,0.6695,3.02834
0.00073,0.67702,3.01765
0.00123,0.72489,2.98906
0.00173,0.76229,2.99733
0.00223,0.79107,2.98569
0.0028,0.8211,2.92128
0.0038,0.86568,2.83056
0.0048,0.90343,2.68124
0.0058,0.93797,2.48086
0.0068,0.9674,2.24339
0.00879,1.01113,1.64062
0.01079,1.02949,1.27985
0.01279,1.03373,1.14538
0.01479,1.03456,1.16217
0.01678,1.03462,1.15701
0.01878,1.03446,1.2053
0.02078,1.03566,1.21444
0.03578,1.03495,1.43433
0.05077,1.03375,1.48539
0.06577,1.03003,1.40474
0.08077,1.02923,1.08951
0.10576,1.02939,0.59593
0.13076,1.02724,0.26476
0.15576,1.02451,0.1716
0.18075,1.02188,0.14552
0.20575,1.02111,0.13336
0.23075,1.01934,0.13077
0.25574,1.01642,0.1309
0.28074,1.01396,0.13257
0.30574,1.01234,0.13409
0.33073,1.00944,0.1421
0.35573,1.00714,0.15498
