z',U/U_e,rms
7e-05,0.28803,3.03682
9e-05,0.32805,3.1643
0.00011,0.36801,3.22062
0.00013,0.40191,3.14562
0.00015,0.42139,3.08687
0.00019,0.47086,2.98967
0.00025,0.51005,2.91719
0.00029,0.53482,2.81487
0.00034,0.55495,2.79285
0.0004,0.57364,2.74113
0.00044,0.583,2.71796
0.00054,0.60403,2.68966
0.00064,0.62108,2.66139
0.00074,0.63486,2.67396
0.00094,0.66179,2.65322
0.00114,0.67841,2.65675
0.00134,0.69211,2.63116
0.00184,0.72465,2.63826
0.00234,0.75047,2.60161
0.00285,0.77251,2.55392
0.00334,0.79084,2.51708
0.00385,0.80889,2.4493
0.00435,0.8259,2.41523
0.00534,0.8538,2.2763
0.00634,0.88013,2.15617
0.00734,0.90433,2.04251
0.00835,0.92796,1.88405
0.00935,0.94634,1.77195
0.01134,0.9825,1.44873
0.01335,1.0088,0.99608
0.01534,1.02319,0.55585
0.01734,1.0284,0.29986
0.01935,1.02926,0.20383
0.02184,1.0291,0.14783
0.02435,1.0299,0.1264
0.02684,1.03124,0.11406
0.02935,1.031,0.10694
0.03435,1.02996,0.10072
0.03935,1.03029,0.0989
0.04935,1.02965,0.09804
0.05934,1.0293,0.09133
0.06934,1.02857,0.08433
0.07935,1.02779,0.08435
0.09935,1.02701,0.08555
0.11935,1.0264,0.08611
0.13935,1.02407,0.08571
0.15935,1.02252,0.08403
0.17935,1.02078,0.0853
0.19935,1.01823,0.08872
0.22435,1.01598,0.08057
0.24934,1.01304,0.0833
0.27435,1.01193,0.08032
0.29935,1.00948,0.09102
0.32435,1.00587,0.08886
0.34934,1.00439,0.08745
0.37434,1.00183,0.08902
0.39935,1.0,0.08922
0.42935,0.99805,0.09222
0.45935,0.9957,0.08926
0.47934,0.99509,0.09136
0.49935,0.99305,0.09023
0.51933,0.99112,0.09456
