z',U/U_e,rms
6e-05,0.28078,3.10241
9e-05,0.34107,3.23811
0.00011,0.37844,3.22934
0.00014,0.42568,3.15245
0.00016,0.45167,3.07945
0.00018,0.46877,3.06983
0.00022,0.50665,2.97297
0.00028,0.53869,2.89531
0.00032,0.55849,2.84635
0.00037,0.57546,2.78105
0.00043,0.59168,2.76645
0.00047,0.60146,2.7451
0.00057,0.61974,2.70554
0.00067,0.63548,2.71321
0.00077,0.64929,2.68526
0.00087,0.66032,2.71359
0.00098,0.67165,2.68315
0.00117,0.69016,2.6837
0.00137,0.70664,2.70007
0.00187,0.73852,2.66032
0.00237,0.76261,2.63371
0.00287,0.7877,2.58133
0.00337,0.80551,2.52198
0.00387,0.82265,2.48878
0.00438,0.83442,2.40621
0.00537,0.85936,2.30241
0.00637,0.88491,2.18996
0.00737,0.90794,2.07639
0.00838,0.92811,1.97261
0.00938,0.9482,1.8485
0.01137,0.98259,1.5697
0.01338,1.01062,1.19567
0.01538,1.02884,0.79931
0.01737,1.03785,0.43047
0.01938,1.04139,0.2477
0.02187,1.0421,0.16739
0.02438,1.04286,0.13336
0.02687,1.04258,0.11692
0.02938,1.04281,0.10448
0.03438,1.04159,0.10302
0.03937,1.04141,0.08914
0.04938,1.04017,0.08957
0.05938,1.0391,0.09192
0.06938,1.03782,0.08838
0.07938,1.03753,0.08921
0.09938,1.03567,0.08629
0.11938,1.0333,0.0892
0.13938,1.03009,0.09078
0.15938,1.02793,0.08685
0.17938,1.0248,0.08632
0.19938,1.02152,0.08407
0.22438,1.01787,0.08516
0.24938,1.01445,0.08972
0.27438,1.00965,0.09903
0.29938,1.00437,0.08869
0.32438,1.00142,0.0892
0.34938,0.99886,0.08951
0.37438,0.99636,0.08989
0.39938,0.99448,0.09142
0.42938,0.99419,0.08675
0.45938,0.99473,0.09077
0.47938,0.9987,0.095
0.49938,1.00259,0.09744
