z',U/U_e,rms
6e-05,0.23175,2.48177
8e-05,0.27816,2.99197
0.0001,0.3162,3.06429
0.00012,0.35224,3.1768
0.00014,0.38501,3.16042
0.00016,0.41689,3.12676
0.00018,0.4424,3.09088
0.0002,0.45563,3.06775
0.00024,0.49021,3.00249
0.0003,0.52213,2.9087
0.00034,0.54167,2.8967
0.00039,0.55713,2.84546
0.00044,0.57051,2.81301
0.00049,0.58167,2.80309
0.00059,0.60164,2.75422
0.00079,0.62983,2.73618
0.00099,0.65132,2.73944
0.00119,0.66844,2.75782
0.00139,0.68223,2.74711
0.00189,0.71395,2.75209
0.00239,0.73872,2.73023
0.0029,0.7589,2.66968
0.0034,0.77638,2.63508
0.00389,0.79261,2.58677
0.00439,0.80644,2.51792
0.0054,0.83362,2.41738
0.00639,0.85759,2.34719
0.00739,0.87965,2.24256
0.0084,0.90043,2.15229
0.0094,0.91892,2.04741
0.01139,0.95299,1.81481
0.0134,0.98239,1.5161
0.01539,1.00489,1.1446
0.0174,1.01881,0.72803
0.01939,1.02617,0.40667
0.02189,1.02795,0.24687
0.0244,1.02806,0.18134
0.02689,1.02746,0.14865
0.02939,1.02829,0.1305
0.0344,1.02794,0.1184
0.03939,1.02764,0.11018
0.04939,1.02777,0.10821
0.05939,1.02723,0.1018
0.06939,1.02676,0.10302
0.0794,1.02616,0.10381
0.0994,1.02518,0.09981
0.11939,1.02278,0.09981
0.13939,1.02121,0.09725
0.1594,1.01939,0.09646
0.17939,1.01758,0.09998
0.1994,1.0159,0.10124
0.2244,1.01276,0.09523
0.24939,1.01104,0.09622
0.27439,1.00912,0.08994
0.29939,1.00792,0.09919
0.32439,1.00561,0.10072
0.34939,1.00375,0.10355
0.37439,1.00112,0.11491
0.39939,1.0,0.12619
0.42939,0.9986,0.10654
0.4594,0.99699,0.12159
0.47939,0.99648,0.12005
0.49939,0.99571,0.10778
0.51939,0.99396,0.09934
0.54938,0.98759,0.10507
