z',U/U_e,rms
7e-05,0.2739,2.93022
0.00012,0.37883,3.17366
0.00016,0.42472,3.14584
0.00025,0.51199,2.9735
0.00036,0.55779,2.8521
0.00047,0.58886,2.80755
0.00067,0.62287,2.74132
0.00086,0.64704,2.74148
0.00106,0.66758,2.73592
0.00156,0.70368,2.77085
0.00206,0.73351,2.72525
0.00256,0.75347,2.70549
0.00306,0.77383,2.63856
0.00357,0.79035,2.58768
0.00407,0.80502,2.55091
0.00506,0.83188,2.45029
0.00606,0.85578,2.3561
0.00706,0.87751,2.26241
0.00806,0.89664,2.17806
0.00907,0.91617,2.08505
0.01106,0.94888,1.90543
0.01306,0.97839,1.67501
0.01507,1.00301,1.36642
0.01706,1.02219,1.02062
0.01907,1.03346,0.65785
0.02156,1.0392,0.33473
0.02407,1.04061,0.21599
0.02656,1.04053,0.15859
0.02907,1.04036,0.1342
0.03407,1.04008,0.11341
0.03906,1.04049,0.10396
0.04906,1.03976,0.09498
0.05907,1.03913,0.09877
0.06907,1.03811,0.09999
0.07907,1.03736,0.10051
0.09907,1.03468,0.09502
0.11907,1.03129,0.09835
0.13907,1.02944,0.09391
0.15907,1.02723,0.09848
0.17907,1.02537,0.09264
0.19907,1.02175,0.09034
0.22407,1.01794,0.09303
0.24907,1.01343,0.09313
0.27407,1.00992,0.09726
0.29907,1.00668,0.09331
0.32407,1.00443,0.09466
0.34907,1.00266,0.09713
0.37407,1.00011,0.09772
0.39907,0.99847,0.09899
0.42907,0.99594,0.0981
0.45907,0.99405,0.10231
0.47907,0.99304,0.10693
0.49907,0.99217,0.1048
0.51907,0.9895,0.10457
0.54906,0.9947,0.11884
