z',U/U_e,rms
6e-05,0.2792,2.79161
0.00012,0.39757,2.96712
0.00017,0.45774,2.89775
0.00022,0.4962,2.8246
0.00028,0.52818,2.75085
0.00032,0.54329,2.69422
0.00042,0.57528,2.64724
0.00052,0.59571,2.57862
0.00062,0.61302,2.56497
0.00072,0.62724,2.52847
0.00083,0.64177,2.53814
0.00103,0.66081,2.50968
0.00122,0.67894,2.52281
0.00172,0.71428,2.48206
0.00222,0.74452,2.4613
0.00272,0.77029,2.38411
0.00322,0.79397,2.32629
0.00372,0.8144,2.28395
0.00423,0.83686,2.2049
0.00522,0.87455,2.06972
0.00622,0.90845,1.88562
0.00722,0.939,1.69704
0.00823,0.96575,1.46526
0.00923,0.99036,1.16782
0.01122,1.01613,0.52323
0.01322,1.02162,0.21502
0.01522,1.02338,0.14765
0.01722,1.02523,0.11858
0.01923,1.02497,0.10203
0.02172,1.02508,0.09952
0.02423,1.02435,0.09664
0.02672,1.02291,0.09858
0.02923,1.02284,0.09357
0.03423,1.02294,0.09157
0.03922,1.02249,0.09203
0.04922,1.02193,0.09193
0.05923,1.02086,0.09515
0.06923,1.02104,0.09713
0.07923,1.02046,0.0936
0.09923,1.02018,0.09173
0.11923,1.01848,0.09098
0.13923,1.01718,0.09009
0.15922,1.01566,0.09451
0.17923,1.01345,0.09539
0.19923,1.0119,0.0956
0.22423,1.01057,0.09336
0.24922,1.0082,0.08834
0.27423,1.00594,0.08929
0.29923,1.00495,0.08783
0.32423,1.00383,0.08821
0.34923,1.00238,0.12256
0.37423,0.99997,0.15092
0.39923,1.0,0.117
0.42923,0.99826,0.1106
0.45923,0.99702,0.09955
0.47922,0.99507,0.12091
0.49922,0.99431,0.10185
0.51923,0.99331,0.09885
0.53923,0.99237,0.10336
0.54921,0.9905,0.102
