z',U/U_e,rms
0.0001,0.35984,3.00492
0.00014,0.42492,2.98259
0.00023,0.51571,2.79742
0.00034,0.56281,2.67416
0.00045,0.59415,2.60638
0.00065,0.63018,2.55189
0.00085,0.65535,2.51482
0.00104,0.6766,2.53016
0.00154,0.71557,2.48986
0.00204,0.74539,2.46362
0.00254,0.77205,2.39752
0.00304,0.79414,2.3567
0.00354,0.81601,2.30587
0.00404,0.83492,2.239
0.00504,0.87085,2.1075
0.00604,0.90326,1.95479
0.00704,0.93345,1.80221
0.00804,0.95924,1.59461
0.00904,0.98225,1.39332
0.01104,1.01658,0.84218
0.01304,1.0303,0.34434
0.01504,1.0321,0.1798
0.01704,1.03199,0.13637
0.01904,1.03169,0.11451
0.02154,1.03288,0.11103
0.02405,1.03365,0.10066
0.02654,1.03322,0.09864
0.02905,1.03396,0.0988
0.03404,1.03518,0.09269
0.03904,1.03509,0.09567
0.04904,1.03486,0.09636
0.05904,1.0334,0.09721
0.07904,1.03097,0.09986
0.09904,1.02849,0.09703
0.11904,1.02628,0.09421
0.13904,1.02333,0.09447
0.15904,1.02112,0.09719
0.17904,1.01989,0.09413
0.19904,1.01777,0.09426
0.22405,1.01488,0.09607
0.24905,1.01232,0.09674
0.27404,1.00827,0.09222
0.29904,1.00656,0.09021
0.32404,1.00418,0.09705
0.34904,1.00393,0.10193
0.37904,1.00121,0.11995
0.39904,1.0,0.11046
0.42905,0.99877,0.10846
0.45904,0.99743,0.10254
0.47904,0.99599,0.10504
0.49904,0.99489,0.10496
0.50904,0.99528,0.10484
0.51904,0.99643,0.10323
0.52904,0.99619,0.11398
0.53905,0.9943,0.10176
0.54903,0.98501,0.11883
