x_mm,y_mm,z_mm
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.0,80.0,35.0
0.07,81.73,35.0
0.07,81.73,35.01
0.07,81.73,35.03
0.07,81.73,35.04
0.07,81.73,35.06
0.07,81.73,35.07
0.07,81.73,35.08
0.07,81.73,35.1
0.07,81.73,35.11
0.07,81.73,35.13
0.07,81.73,35.14
0.07,81.73,35.15
0.07,81.73,35.17
0.07,81.73,35.18
0.07,81.73,35.2
0.07,81.73,35.21
0.07,81.73,35.23
0.07,81.73,35.24
0.07,81.73,35.25
0.07,81.73,35.27
0.07,81.73,35.28
0.07,81.73,35.3
0.07,81.73,35.31
0.07,81.73,35.32
0.07,81.73,35.34
0.07,81.73,35.35
0.07,81.72,35.37
0.07,81.72,35.38
0.07,81.72,35.39
0.07,81.72,35.41
0.07,81.72,35.42
0.07,81.72,35.43
0.07,81.72,35.45
0.07,81.72,35.46
0.07,81.72,35.48
0.07,81.72,35.49
0.07,81.72,35.5
0.07,81.71,35.52
0.07,81.71,35.53
0.07,81.71,35.55
0.07,81.71,35.56
0.07,81.71,35.57
0.07,81.71,35.59
0.07,81.71,35.6
0.07,81.71,35.61
0.07,81.7,35.63
0.07,81.7,35.64
0.07,81.7,35.66
0.07,81.7,35.67
0.07,81.7,35.68
0.07,81.7,35.7
0.07,81.69,35.71
0.07,81.69,35.73
0.07,81.69,35.74
0.07,81.69,35.75
0.07,81.69,35.77
0.07,81.69,35.78
0.07,81.68,35.79
0.07,81.68,35.81
0.07,81.68,35.82
0.07,81.68,35.84
0.07,81.68,35.85
0.07,81.67,35.86
0.07,81.67,35.88
0.07,81.67,35.89
0.07,81.67,35.91
0.07,81.66,35.92
0.07,81.66,35.94
0.07,81.66,35.95
0.07,81.66,35.96
0.08,81.65,35.98
0.08,81.65,35.99
0.08,81.65,36.01
0.08,81.64,36.02
0.08,81.64,36.04
0.08,81.64,36.05
0.08,81.63,36.06
0.08,81.63,36.08
0.08,81.62,36.09
0.08,81.62,36.11
0.08,81.61,36.12
0.08,81.61,36.14
0.08,81.61,36.15
0.08,81.6,36.16
0.08,81.6,36.18
0.08,81.59,36.19
0.08,81.58,36.21
0.08,81.58,36.22
0.08,81.57,36.23
0.08,81.57,36.25
0.08,81.56,36.26
0.08,81.55,36.28
0.08,81.55,36.29
0.08,81.54,36.3
0.08,81.53,36.31
0.08,81.53,36.33
0.08,81.52,36.34
0.08,81.51,36.35
0.08,81.5,36.36
0.08,81.49,36.37
0.08,81.47,36.38
0.08,81.46,36.38
0.08,81.45,36.39
0.08,81.43,36.4
0.08,81.42,36.4
0.08,81.41,36.41
0.08,81.39,36.42
0.08,81.38,36.42
0.08,81.37,36.43
0.08,81.35,36.44
0.08,81.34,36.44
0.08,81.33,36.45
0.08,81.31,36.45
0.08,81.3,36.46
0.08,81.28,36.46
0.08,81.27,36.47
0.08,81.26,36.47
0.08,81.24,36.48
0.08,81.23,36.48
0.08,81.22,36.49
0.08,81.2,36.49
0.08,81.19,36.49
0.08,81.17,36.5
0.08,81.16,36.5
0.08,81.15,36.51
0.08,81.13,36.51
0.08,81.12,36.51
0.08,81.11,36.52
0.08,81.09,36.52
0.08,81.08,36.53
0.08,81.06,36.53
0.08,81.05,36.53
0.08,81.04,36.54
0.08,81.02,36.54
0.08,81.01,36.54
0.08,80.99,36.55
0.08,80.98,36.55
0.08,80.96,36.55
0.08,80.95,36.56
0.08,80.94,36.56
0.08,80.92,36.56
0.08,80.91,36.57
0.08,80.89,36.57
0.08,80.88,36.57
0.08,80.86,36.57
0.08,80.85,36.58
0.08,80.83,36.58
0.08,80.82,36.58
0.08,80.8,36.59
0.08,80.79,36.59
0.08,80.78,36.59
0.08,80.76,36.6
0.08,80.75,36.6
0.08,80.73,36.6
0.08,80.72,36.6
0.08,80.7,36.61
0.08,80.69,36.61
0.08,80.67,36.61
0.08,80.66,36.61
0.09,80.64,36.62
0.09,80.62,36.62
0.09,80.61,36.62
0.09,80.59,36.62
0.09,80.58,36.63
0.09,80.56,36.63
0.09,80.55,36.63
0.09,80.53,36.63
0.09,80.52,36.63
0.09,80.5,36.64
0.09,80.49,36.64
0.09,80.47,36.64
0.09,80.45,36.64
0.09,80.44,36.64
0.09,80.42,36.65
0.09,80.41,36.65
0.09,80.39,36.65
0.09,80.37,36.65
0.09,80.36,36.65
0.09,80.34,36.65
0.09,80.33,36.66
0.09,80.31,36.66
0.09,80.29,36.66
0.09,80.28,36.66
0.09,80.26,36.66
0.09,80.25,36.66
0.09,80.23,36.66
0.09,80.21,36.66
0.09,80.2,36.67
0.09,80.18,36.67
0.09,80.16,36.67
0.09,80.15,36.67
0.09,80.13,36.67
0.09,80.11,36.67
0.09,80.1,36.67
0.09,80.08,36.67
0.09,80.07,36.67
0.09,80.05,36.67
0.09,80.03,36.67
0.09,80.02,36.67
0.09,80.0,36.67
0.15,83.47,35.0
0.15,83.47,35.03
0.15,83.47,35.06
0.15,83.47,35.08
0.15,83.47,35.11
0.15,83.47,35.14
0.15,83.47,35.17
0.15,83.47,35.2
0.15,83.47,35.23
0.15,83.47,35.25
0.15,83.47,35.28
0.15,83.47,35.31
0.15,83.47,35.34
0.15,83.46,35.37
0.15,83.46,35.39
0.15,83.46,35.42
0.15,83.46,35.45
0.15,83.46,35.48
0.15,83.46,35.51
0.15,83.46,35.53
0.15,83.46,35.56
0.15,83.46,35.59
0.15,83.46,35.62
0.15,83.45,35.65
0.15,83.45,35.67
0.15,83.45,35.7
0.15,83.45,35.73
0.15,83.45,35.76
0.15,83.45,35.79
0.15,83.44,35.81
0.15,83.44,35.84
0.15,83.44,35.87
0.15,83.44,35.9
0.15,83.44,35.93
0.15,83.43,35.95
0.15,83.43,35.98
0.15,83.43,36.01
0.15,83.43,36.04
0.15,83.43,36.06
0.15,83.42,36.09
0.15,83.42,36.12
0.15,83.42,36.15
0.15,83.42,36.17
0.15,83.41,36.2
0.15,83.41,36.23
0.15,83.41,36.26
0.15,83.41,36.29
0.15,83.4,36.31
0.15,83.4,36.34
0.15,83.4,36.37
0.15,83.39,36.4
0.15,83.39,36.42
0.15,83.39,36.45
0.15,83.38,36.48
0.15,83.38,36.51
0.15,83.38,36.53
0.15,83.37,36.56
0.15,83.37,36.59
0.15,83.36,36.62
0.15,83.36,36.64
0.15,83.36,36.67
0.15,83.35,36.7
0.15,83.35,36.73
0.15,83.34,36.76
0.15,83.34,36.79
0.15,83.33,36.81
0.15,83.33,36.84
0.15,83.32,36.87
0.15,83.32,36.9
0.15,83.31,36.93
0.15,83.31,36.96
0.15,83.3,36.99
0.15,83.29,37.01
0.15,83.28,37.04
0.15,83.28,37.07
0.15,83.27,37.1
0.15,83.26,37.13
0.15,83.26,37.16
0.15,83.25,37.19
0.15,83.24,37.21
0.15,83.23,37.24
0.15,83.22,37.27
0.15,83.21,37.3
0.15,83.2,37.33
0.15,83.19,37.36
0.16,83.18,37.39
0.16,83.17,37.41
0.16,83.16,37.44
0.16,83.15,37.47
0.16,83.13,37.5
0.16,83.12,37.52
0.16,83.11,37.55
0.16,83.1,37.58
0.16,83.08,37.6
0.16,83.07,37.63
0.16,83.05,37.65
0.16,83.04,37.68
0.16,83.02,37.7
0.16,83.0,37.72
0.16,82.97,37.74
0.16,82.94,37.75
0.16,82.92,37.77
0.16,82.89,37.78
0.16,82.87,37.8
0.16,82.84,37.81
0.16,82.81,37.82
0.16,82.79,37.84
0.16,82.76,37.85
0.16,82.73,37.86
0.16,82.71,37.87
0.16,82.68,37.88
0.16,82.65,37.89
0.16,82.63,37.9
0.16,82.6,37.91
0.16,82.57,37.92
0.16,82.54,37.93
0.16,82.52,37.94
0.16,82.49,37.95
0.16,82.46,37.96
0.16,82.43,37.97
0.16,82.4,37.98
0.16,82.38,37.99
0.16,82.35,38.0
0.16,82.32,38.0
0.16,82.29,38.01
0.16,82.27,38.02
0.16,82.24,38.03
0.16,82.21,38.04
0.16,82.18,38.04
0.16,82.15,38.05
0.16,82.13,38.06
0.16,82.1,38.06
0.16,82.07,38.07
0.16,82.04,38.08
0.16,82.01,38.09
0.16,81.99,38.09
0.17,81.96,38.1
0.17,81.93,38.11
0.17,81.9,38.11
0.17,81.87,38.12
0.17,81.84,38.12
0.17,81.81,38.13
0.17,81.78,38.14
0.17,81.76,38.14
0.17,81.73,38.15
0.17,81.7,38.16
0.17,81.67,38.16
0.17,81.64,38.17
0.17,81.61,38.17
0.17,81.58,38.18
0.17,81.55,38.18
0.17,81.52,38.19
0.17,81.49,38.2
0.17,81.46,38.2
0.17,81.43,38.21
0.17,81.4,38.21
0.17,81.37,38.22
0.17,81.34,38.22
0.17,81.31,38.23
0.17,81.28,38.23
0.17,81.25,38.24
0.17,81.22,38.24
0.17,81.19,38.25
0.17,81.16,38.25
0.17,81.13,38.26
0.17,81.1,38.26
0.17,81.06,38.27
0.17,81.03,38.27
0.17,81.0,38.27
0.17,80.97,38.28
0.17,80.94,38.28
0.17,80.91,38.29
0.17,80.88,38.29
0.17,80.84,38.29
0.17,80.81,38.3
0.17,80.78,38.3
0.17,80.75,38.3
0.17,80.72,38.31
0.17,80.68,38.31
0.17,80.65,38.31
0.17,80.62,38.31
0.17,80.59,38.32
0.17,80.56,38.32
0.17,80.52,38.32
0.17,80.49,38.32
0.17,80.46,38.33
0.17,80.43,38.33
0.17,80.39,38.33
0.17,80.36,38.33
0.17,80.33,38.33
0.17,80.29,38.33
0.17,80.26,38.34
0.17,80.23,38.34
0.17,80.2,38.34
0.17,80.16,38.34
0.17,80.13,38.34
0.17,80.1,38.34
0.17,80.07,38.34
0.17,80.03,38.34
0.17,80.0,38.34
0.22,85.2,35.0
0.22,85.2,35.04
0.22,85.2,35.08
0.22,85.2,35.13
0.22,85.2,35.17
0.22,85.2,35.21
0.22,85.2,35.25
0.22,85.2,35.3
0.22,85.2,35.34
0.22,85.2,35.38
0.22,85.2,35.42
0.22,85.2,35.46
0.22,85.2,35.51
0.22,85.2,35.55
0.22,85.2,35.59
0.22,85.19,35.63
0.22,85.19,35.68
0.22,85.19,35.72
0.22,85.19,35.76
0.22,85.19,35.8
0.22,85.19,35.84
0.22,85.18,35.89
0.22,85.18,35.93
0.22,85.18,35.97
0.22,85.18,36.01
0.22,85.18,36.05
0.22,85.17,36.1
0.22,85.17,36.14
0.22,85.17,36.18
0.22,85.17,36.22
0.22,85.16,36.26
0.22,85.16,36.3
0.22,85.16,36.35
0.22,85.15,36.39
0.22,85.15,36.43
0.22,85.15,36.47
0.22,85.15,36.51
0.22,85.14,36.55
0.22,85.14,36.6
0.22,85.14,36.64
0.22,85.13,36.68
0.22,85.13,36.72
0.22,85.12,36.76
0.22,85.12,36.8
0.22,85.12,36.84
0.22,85.11,36.89
0.22,85.11,36.93
0.22,85.1,36.97
0.22,85.1,37.01
0.22,85.09,37.05
0.22,85.09,37.09
0.22,85.08,37.13
0.22,85.08,37.18
0.22,85.07,37.22
0.22,85.07,37.26
0.22,85.06,37.3
0.22,85.06,37.34
0.22,85.05,37.38
0.22,85.05,37.43
0.22,85.04,37.47
0.22,85.03,37.51
0.22,85.03,37.55
0.22,85.02,37.59
0.22,85.01,37.64
0.22,85.01,37.68
0.22,85.0,37.72
0.22,84.99,37.76
0.22,84.98,37.81
0.22,84.97,37.85
0.22,84.97,37.89
0.23,84.96,37.94
0.23,84.95,37.98
0.23,84.94,38.02
0.23,84.93,38.06
0.23,84.92,38.11
0.23,84.91,38.15
0.23,84.9,38.19
0.23,84.89,38.24
0.23,84.87,38.28
0.23,84.86,38.32
0.23,84.84,38.36
0.23,84.83,38.41
0.23,84.82,38.45
0.23,84.8,38.49
0.23,84.79,38.54
0.23,84.77,38.58
0.23,84.75,38.62
0.23,84.74,38.66
0.23,84.72,38.7
0.23,84.7,38.74
0.24,84.68,38.78
0.24,84.66,38.83
0.24,84.65,38.87
0.24,84.63,38.91
0.24,84.6,38.94
0.24,84.58,38.98
0.24,84.56,39.02
0.24,84.53,39.05
0.24,84.49,39.08
0.24,84.46,39.11
0.24,84.42,39.13
0.24,84.38,39.15
0.24,84.34,39.17
0.24,84.3,39.2
0.24,84.26,39.21
0.24,84.22,39.23
0.24,84.18,39.25
0.24,84.14,39.27
0.24,84.1,39.29
0.24,84.06,39.31
0.24,84.02,39.32
0.24,83.98,39.34
0.24,83.94,39.36
0.24,83.9,39.37
0.24,83.85,39.39
0.24,83.81,39.4
0.24,83.77,39.42
0.24,83.73,39.43
0.24,83.69,39.44
0.24,83.65,39.46
0.24,83.61,39.47
0.24,83.57,39.48
0.24,83.52,39.49
0.24,83.48,39.51
0.24,83.44,39.52
0.24,83.4,39.53
0.24,83.36,39.54
0.24,83.32,39.55
0.25,83.27,39.56
0.25,83.23,39.58
0.25,83.19,39.59
0.25,83.15,39.6
0.25,83.11,39.61
0.25,83.06,39.62
0.25,83.02,39.63
0.25,82.98,39.64
0.25,82.94,39.65
0.25,82.89,39.66
0.25,82.85,39.67
0.25,82.81,39.68
0.25,82.76,39.69
0.25,82.72,39.7
0.25,82.68,39.71
0.25,82.63,39.72
0.25,82.59,39.72
0.25,82.55,39.73
0.25,82.5,39.74
0.25,82.46,39.75
0.25,82.41,39.76
0.25,82.37,39.77
0.25,82.33,39.78
0.25,82.28,39.79
0.25,82.24,39.79
0.25,82.19,39.8
0.25,82.15,39.81
0.25,82.1,39.82
0.25,82.06,39.83
0.25,82.01,39.83
0.25,81.97,39.84
0.26,81.92,39.85
0.26,81.87,39.86
0.26,81.83,39.86
0.26,81.78,39.87
0.26,81.74,39.88
0.26,81.69,39.88
0.26,81.64,39.89
0.26,81.6,39.9
0.26,81.55,39.9
0.26,81.5,39.91
0.26,81.46,39.92
0.26,81.41,39.92
0.26,81.36,39.93
0.26,81.31,39.93
0.26,81.27,39.94
0.26,81.22,39.94
0.26,81.17,39.95
0.26,81.12,39.95
0.26,81.08,39.96
0.26,81.03,39.96
0.26,80.98,39.97
0.26,80.93,39.97
0.26,80.88,39.98
0.26,80.83,39.98
0.26,80.78,39.98
0.26,80.74,39.99
0.26,80.69,39.99
0.26,80.64,39.99
0.26,80.59,40.0
0.26,80.54,40.0
0.26,80.49,40.0
0.26,80.44,40.0
0.26,80.39,40.0
0.26,80.34,40.01
0.26,80.3,40.01
0.26,80.25,40.01
0.26,80.2,40.01
0.26,80.15,40.01
0.26,80.1,40.02
0.26,80.05,40.02
0.26,80.0,40.01
0.3,86.93,35.0
0.3,86.93,35.06
0.3,86.93,35.11
0.3,86.93,35.17
0.3,86.93,35.23
0.3,86.93,35.28
0.3,86.93,35.34
0.3,86.93,35.39
0.3,86.93,35.45
0.3,86.93,35.51
0.3,86.93,35.56
0.3,86.93,35.62
0.3,86.93,35.68
0.3,86.93,35.73
0.3,86.93,35.79
0.3,86.93,35.84
0.3,86.93,35.9
0.3,86.92,35.96
0.3,86.92,36.01
0.3,86.92,36.07
0.3,86.92,36.13
0.3,86.91,36.18
0.3,86.91,36.24
0.3,86.91,36.29
0.3,86.9,36.35
0.3,86.9,36.4
0.3,86.9,36.46
0.3,86.89,36.52
0.3,86.89,36.57
0.3,86.89,36.63
0.3,86.88,36.68
0.3,86.88,36.74
0.3,86.88,36.8
0.3,86.87,36.85
0.3,86.87,36.91
0.3,86.86,36.96
0.3,86.86,37.02
0.3,86.86,37.07
0.3,86.85,37.13
0.3,86.85,37.18
0.3,86.84,37.24
0.3,86.84,37.29
0.3,86.83,37.35
0.3,86.83,37.4
0.3,86.82,37.46
0.3,86.82,37.51
0.3,86.81,37.57
0.3,86.81,37.63
0.3,86.8,37.68
0.3,86.79,37.74
0.3,86.79,37.79
0.3,86.78,37.85
0.3,86.77,37.9
0.3,86.77,37.96
0.3,86.76,38.01
0.3,86.75,38.07
0.3,86.74,38.12
0.3,86.74,38.18
0.3,86.73,38.23
0.3,86.72,38.29
0.3,86.71,38.35
0.3,86.7,38.4
0.3,86.69,38.46
0.3,86.69,38.52
0.3,86.68,38.57
0.3,86.67,38.63
0.3,86.66,38.68
0.3,86.64,38.74
0.3,86.63,38.8
0.3,86.62,38.86
0.3,86.61,38.92
0.3,86.6,38.97
0.3,86.59,39.03
0.3,86.57,39.08
0.3,86.56,39.14
0.3,86.54,39.2
0.3,86.53,39.26
0.3,86.52,39.32
0.3,86.5,39.38
0.3,86.48,39.43
0.31,86.46,39.49
0.31,86.44,39.54
0.31,86.42,39.6
0.31,86.4,39.66
0.31,86.39,39.72
0.31,86.36,39.77
0.31,86.34,39.83
0.31,86.31,39.88
0.31,86.29,39.94
0.31,86.27,39.99
0.31,86.24,40.05
0.32,86.22,40.1
0.32,86.2,40.16
0.32,86.17,40.21
0.32,86.14,40.26
0.32,86.11,40.31
0.32,86.07,40.36
0.32,86.04,40.4
0.32,85.99,40.44
0.32,85.94,40.47
0.32,85.89,40.51
0.32,85.84,40.54
0.32,85.79,40.57
0.32,85.74,40.59
0.32,85.68,40.62
0.32,85.63,40.65
0.32,85.57,40.67
0.32,85.52,40.7
0.32,85.47,40.72
0.32,85.41,40.74
0.32,85.36,40.77
0.32,85.31,40.79
0.32,85.25,40.81
0.32,85.19,40.83
0.32,85.14,40.85
0.32,85.09,40.87
0.32,85.03,40.89
0.32,84.98,40.91
0.32,84.92,40.92
0.32,84.87,40.94
0.32,84.81,40.96
0.32,84.75,40.98
0.32,84.7,40.99
0.32,84.64,41.01
0.33,84.59,41.02
0.33,84.53,41.04
0.33,84.48,41.06
0.33,84.42,41.07
0.33,84.37,41.09
0.33,84.31,41.1
0.33,84.25,41.12
0.33,84.2,41.13
0.33,84.14,41.14
0.33,84.08,41.16
0.33,84.03,41.17
0.33,83.97,41.19
0.33,83.91,41.2
0.33,83.86,41.21
0.33,83.8,41.22
0.33,83.74,41.24
0.33,83.69,41.25
0.33,83.63,41.26
0.33,83.57,41.28
0.33,83.51,41.29
0.33,83.45,41.3
0.33,83.39,41.31
0.33,83.34,41.32
0.34,83.28,41.33
0.34,83.22,41.35
0.34,83.16,41.36
0.34,83.1,41.37
0.34,83.04,41.38
0.34,82.98,41.39
0.34,82.92,41.4
0.34,82.86,41.41
0.34,82.8,41.42
0.34,82.74,41.43
0.34,82.68,41.44
0.34,82.62,41.45
0.34,82.56,41.47
0.34,82.5,41.47
0.34,82.44,41.48
0.34,82.38,41.49
0.34,82.32,41.5
0.34,82.25,41.51
0.34,82.19,41.52
0.34,82.13,41.53
0.34,82.07,41.54
0.34,82.0,41.55
0.34,81.94,41.55
0.34,81.88,41.56
0.34,81.82,41.57
0.35,81.75,41.58
0.35,81.69,41.59
0.35,81.63,41.59
0.35,81.56,41.6
0.35,81.5,41.61
0.35,81.43,41.61
0.35,81.37,41.62
0.35,81.31,41.62
0.35,81.24,41.63
0.35,81.18,41.63
0.35,81.11,41.64
0.35,81.05,41.64
0.35,80.98,41.65
0.35,80.92,41.65
0.35,80.85,41.66
0.35,80.79,41.66
0.35,80.72,41.66
0.35,80.66,41.67
0.35,80.59,41.67
0.35,80.52,41.67
0.35,80.46,41.67
0.35,80.39,41.68
0.35,80.33,41.68
0.35,80.26,41.68
0.35,80.2,41.69
0.35,80.13,41.69
0.35,80.07,41.69
0.35,80.0,41.68
0.37,88.67,35.0
0.37,88.67,35.07
0.37,88.67,35.14
0.37,88.67,35.21
0.37,88.67,35.28
0.37,88.67,35.35
0.37,88.67,35.42
0.37,88.67,35.49
0.37,88.67,35.56
0.37,88.67,35.63
0.37,88.67,35.7
0.37,88.66,35.77
0.37,88.66,35.84
0.37,88.66,35.91
0.37,88.66,35.98
0.37,88.66,36.06
0.37,88.66,36.13
0.37,88.65,36.2
0.37,88.65,36.27
0.37,88.65,36.34
0.37,88.64,36.41
0.37,88.64,36.48
0.37,88.64,36.55
0.37,88.63,36.62
0.37,88.63,36.69
0.37,88.63,36.76
0.37,88.62,36.83
0.37,88.62,36.9
0.37,88.61,36.97
0.37,88.61,37.03
0.37,88.61,37.1
0.37,88.6,37.17
0.37,88.6,37.24
0.37,88.59,37.31
0.37,88.59,37.38
0.37,88.58,37.45
0.37,88.58,37.52
0.37,88.57,37.59
0.37,88.57,37.66
0.37,88.56,37.73
0.37,88.55,37.8
0.37,88.55,37.87
0.37,88.54,37.94
0.37,88.53,38.01
0.37,88.53,38.07
0.37,88.52,38.14
0.37,88.51,38.21
0.37,88.51,38.28
0.37,88.5,38.35
0.37,88.49,38.42
0.37,88.48,38.49
0.37,88.47,38.56
0.37,88.47,38.63
0.37,88.46,38.7
0.37,88.45,38.76
0.37,88.44,38.83
0.37,88.43,38.9
0.37,88.42,38.97
0.37,88.41,39.04
0.37,88.4,39.11
0.37,88.39,39.18
0.37,88.38,39.25
0.37,88.37,39.32
0.37,88.36,39.39
0.37,88.35,39.47
0.37,88.34,39.54
0.37,88.32,39.6
0.37,88.31,39.68
0.37,88.29,39.75
0.37,88.28,39.82
0.38,88.27,39.89
0.38,88.25,39.97
0.38,88.23,40.04
0.38,88.21,40.1
0.38,88.19,40.18
0.38,88.18,40.25
0.38,88.16,40.32
0.38,88.14,40.4
0.38,88.12,40.47
0.38,88.09,40.54
0.38,88.07,40.61
0.38,88.05,40.68
0.38,88.03,40.75
0.39,88.01,40.82
0.39,87.98,40.9
