x_m,y_m,z_m,U,V,W,u*u,v*v,w*w,u*v,u*w,u*u*u,v*v*v,w*w*w,u*u*v,u*v*v,u*u*w,u*w*w
-0.4,0.4,0.7,40.21,1.39,-0.56,0.0021,0.00385,0.00251,0.00089,-0.000785,2.07e-06,1.16e-05,-2.2e-06,-3.91e-07,2.83e-08,-1.93e-06,1.33e-06
-0.4,0.4,0.65,40.09,1.13,-0.54,0.00211,0.00334,0.00315,0.000464,-0.000774,1.27e-06,4.97e-06,-2.66e-06,-1.05e-06,-1.02e-05,2.12e-06,-4.46e-06
-0.4,0.4,0.6,40.0,1.24,-0.46,0.00235,0.00549,0.00428,0.000833,-0.000989,-3.9e-06,0.000108,-2.52e-06,3.34e-06,2.55e-05,-1e-06,-1.91e-07
-0.4,0.4,0.55,39.88,1.47,-0.4,0.00244,0.00439,0.00404,0.000901,-0.00113,5.02e-06,-8.57e-05,-6.83e-06,-9.08e-06,-1.99e-05,-2.49e-06,6.91e-07
-0.4,0.4,0.5,39.8,1.76,-0.48,0.00218,0.00527,0.00535,0.00106,-0.00121,8.82e-07,1.63e-05,-9.82e-05,4.47e-07,6.82e-07,-9.42e-06,1.75e-05
-0.4,0.4,0.45,39.71,1.67,-0.41,0.00226,0.00474,0.00474,0.00111,-0.00106,4.06e-06,-2.94e-05,-4.23e-05,5.72e-06,6.05e-06,-3.52e-06,7.49e-06
-0.4,0.4,0.4,39.61,1.74,-0.47,0.00256,0.00603,0.00605,0.00117,-0.0014,-9.89e-06,-4.77e-05,6.32e-05,5.05e-06,8.55e-06,9.09e-06,-1.96e-05
-0.4,0.4,0.38,39.57,1.82,-0.51,0.00281,0.00837,0.00734,0.0023,-0.00158,-1.36e-05,-0.000219,4.21e-06,-4.64e-05,-9.52e-05,2.04e-05,-3.17e-05
-0.4,0.4,0.36,39.55,2.03,-0.55,0.0027,0.00707,0.0067,0.00143,-0.00161,-2.64e-07,-0.000145,-0.000185,-8.66e-06,-1.92e-05,-9.98e-06,2.92e-06
-0.4,0.4,0.34,39.5,2.04,-0.54,0.00222,0.00587,0.00453,0.0014,-0.00113,5.96e-06,0.000155,-1.43e-05,2.01e-05,5.68e-05,-3.97e-06,7.13e-06
