"y","u","v","Re_xx","Re_yx","Re_yy","Re_zx","Re_zy","Re_zz","k"
1.00000000e-10,-1.03088408e-04,-2.35710609e-06,6.16311603e-06,4.28008383e-08,1.06402747e-08,-5.98741969e-07,-1.99089129e-08,2.72542152e-06,4.44958892e-06
1.00000000e-04,-3.37742227e-02,-6.46579341e-06,6.85368051e-04,8.07262554e-07,1.04400521e-07,-4.09872166e-05,-8.72018696e-08,1.09052900e-04,3.97262676e-04
1.04712855e-04,-3.53390659e-02,-5.61379255e-06,7.61839688e-04,9.20300407e-07,1.23051530e-07,-4.51802628e-05,-8.47052568e-08,1.20862769e-04,4.41412754e-04
1.09647821e-04,-3.69776579e-02,-4.72163813e-06,8.41915322e-04,1.03866557e-06,1.42581534e-07,-4.95709212e-05,-8.20909823e-08,1.33229221e-04,4.87643562e-04
1.14815364e-04,-3.86934744e-02,-3.78743776e-06,9.25764805e-04,1.16260911e-06,1.63031959e-07,-5.41685049e-05,-7.93535007e-08,1.46178485e-04,5.36053161e-04
1.20226446e-04,-4.04901548e-02,-2.80920987e-06,1.01356599e-03,1.29239393e-06,1.84446183e-07,-5.89827661e-05,-7.64870057e-08,1.59738029e-04,5.86744234e-04
1.25892544e-04,-4.23715102e-02,-1.78487952e-06,1.10550512e-03,1.42829533e-06,2.06869629e-07,-6.40239165e-05,-7.34854168e-08,1.73936616e-04,6.39824304e-04
1.31825678e-04,-4.43415311e-02,-7.12273969e-07,1.20177721e-03,1.57060156e-06,2.30349859e-07,-6.93026490e-05,-7.03423674e-08,1.88804360e-04,6.95405962e-04
1.38038431e-04,-4.64043963e-02,4.10881934e-07,1.30258647e-03,1.71961447e-06,2.54936678e-07,-7.48301605e-05,-6.70511907e-08,2.04372801e-04,7.53607102e-04
1.44543983e-04,-4.85644813e-02,1.58697055e-06,1.40814671e-03,1.87565015e-06,2.80682239e-07,-8.06181756e-05,-6.36049055e-08,2.20674959e-04,8.14551178e-04
1.51356132e-04,-5.07419576e-02,2.95373371e-06,1.52581402e-03,2.14907769e-06,3.10686841e-07,-8.75672379e-05,-3.94820966e-08,2.39055312e-04,8.82590008e-04
1.58489327e-04,-5.30091054e-02,4.40565940e-06,1.65012099e-03,2.45227298e-06,3.42572773e-07,-9.49800729e-05,-1.10752404e-08,2.58502863e-04,9.54483213e-04
1.65958700e-04,-5.53831006e-02,5.92601225e-06,1.78028637e-03,2.76975743e-06,3.75961442e-07,-1.02742264e-04,1.86703899e-08,2.78866949e-04,1.02976464e-03
1.73780093e-04,-5.78689788e-02,7.51801714e-06,1.91658626e-03,3.10220446e-06,4.10923671e-07,-1.10870276e-04,4.98178887e-08,3.00190765e-04,1.10859397e-03
1.81970098e-04,-6.04720128e-02,9.18505090e-06,2.05930976e-03,3.45031924e-06,4.47533619e-07,-1.19381350e-04,8.24333241e-08,3.22519542e-04,1.19113842e-03
1.90546085e-04,-6.32054098e-02,1.15773787e-05,2.22866160e-03,3.86451338e-06,5.09649156e-07,-1.28980977e-04,1.42723202e-07,3.48460986e-04,1.28881612e-03
1.99526246e-04,-6.60833859e-02,1.54084148e-05,2.44679895e-03,4.40007076e-06,6.23447673e-07,-1.40442449e-04,2.59442699e-07,3.80874380e-04,1.41414839e-03
2.08929630e-04,-6.90969968e-02,1.94200020e-05,2.67521680e-03,4.96086819e-06,7.42609350e-07,-1.52444083e-04,3.81663018e-07,4.14815369e-04,1.54538739e-03
2.18776181e-04,-7.22526348e-02,2.36206496e-05,2.91439964e-03,5.54809519e-06,8.67386944e-07,-1.65011337e-04,5.09643403e-07,4.50355949e-04,1.68281149e-03
2.29086786e-04,-7.55569935e-02,2.80192676e-05,3.16485483e-03,6.16299735e-06,9.98045126e-07,-1.78170867e-04,6.43655318e-07,4.87571504e-04,1.82671219e-03
2.39883315e-04,-7.90096416e-02,3.26434816e-05,3.42811819e-03,6.82576786e-06,1.13593316e-06,-1.92098071e-04,7.88239348e-07,5.26700401e-04,1.97797726e-03
2.51188668e-04,-8.24737062e-02,3.78576808e-05,3.72421770e-03,7.90389454e-06,1.30212212e-06,-2.09680833e-04,1.02619318e-06,5.70915428e-04,2.14821763e-03
