x_mm,y_mm,U_mean,V_mean,W_mean,k,omega,p,nut,R_xx,R_yy,R_zz,R_xy,R_xz,R_yz
-66.144499,-22.764569,,,,,,,,,,,,,
-64.28752,-22.764569,,,,,,,,,,,,,
-62.43054,-22.764569,,,,,,,,,,,,,
-60.573561,-22.764569,,,,,,,,,,,,,
-58.716582,-22.764569,,,,,,,,,,,,,
-56.859602,-22.764569,,,,,,,,,,,,,
-55.002615,-22.764569,,,,,,,,,,,,,
-53.14564,-22.764569,,,,,,,,,,,,,
-51.28866,-22.764569,,,,,,,,,,,,,
-49.431677,-22.764569,,,,,,,,,,,,,
-47.574698,-22.764569,,,,,,,,,,,,,
-45.717719,-22.764569,,,,,,,,,,,,,
-43.860739,-22.764569,,,,,,,,,,,,,
-42.00376,-22.764569,,,,,,,,,,,,,
-40.14678,-22.764569,,,,,,,,,,,,,
-38.289801,-22.764569,,,,,,,,,,,,,
-36.432822,-22.764569,,,,,,,,,,,,,
-34.575842,-22.764569,,,,,,,,,,,,,
-32.718859,-22.764569,,,,,,,,,,,,,
-30.86188,-22.764569,,,,,,,,,,,,,
-29.0049,-22.764569,,,,,,,,,,,,,
-27.147921,-22.764569,,,,,,,,,,,,,
-25.290942,-22.764569,,,,,,,,,,,,,
-23.433958,-22.764569,,,,,,,,,,,,,
-21.576979,-22.764569,,,,,,,,,,,,,
-19.72,-22.764569,,,,,,,,,,,,,
-17.86302,-22.764569,,,,,,,,,,,,,
-16.006041,-22.764569,,,,,,,,,,,,,
-14.149062,-22.764569,,,,,,,,,,,,,
-12.292078,-22.764569,,,,,,,,,,,,,
-10.435099,-22.764569,,,,,,,,,,,,,
-8.57812,-22.764569,,,,,,,,,,,,,
-6.72114,-22.764569,,,,,,,,,,,,,
-4.864161,-22.764569,,,,,,,,,,,,,
-3.007182,-22.764569,,,,,,,,,,,,,
-1.150198,-22.764569,,,,,,,,,,,,,
0.706781,-22.764569,,,,,,,,,,,,,
2.56376,-22.764569,,,,,,,,,,,,,
4.42074,-22.764569,,,,,,,,,,,,,
6.277719,-22.764569,,,,,,,,,,,,,
8.134698,-22.764569,,,,,,,,,,,,,
9.991678,-22.764569,,,,,,,,,,,,,
11.848657,-22.764569,,,,,,,,,,,,,
13.705637,-22.764569,,,,,,,,,,,,,
15.562616,-22.764569,,,,,,,,,,,,,
17.419603,-22.764569,,,,,,,,,,,,,
19.276582,-22.764569,,,,,,,,,,,,,
21.133562,-22.764569,,,,,,,,,,,,,
22.990541,-22.764569,,,,,,,,,,,,,
24.84752,-22.764569,,,,,,,,,,,,,
26.7045,-22.764569,,,,,,,,,,,,,
28.561479,-22.764569,,,,,,,,,,,,,
30.418459,-22.764569,,,,,,,,,,,,,
32.275438,-22.764569,,,,,,,,,,,,,
34.132417,-22.764569,,,,,,,,,,,,,
35.989397,-22.764569,,,,,,,,,,,,,
37.846376,-22.764569,,,,,,,,,,,,,
39.703355,-22.764569,,,,,,,,,,,,,
41.560342,-22.764569,,,,,,,,,,,,,
43.417322,-22.764569,,,,,,,,,,,,,
45.274301,-22.764569,,,,,,,,,,,,,
47.131281,-22.764569,,,,,,,,,,,,,
48.98826,-22.764569,,,,,,,,,,,,,
50.845239,-22.764569,,,,,,,,,,,,,
52.702219,-22.764569,,,,,,,,,,,,,
54.559198,-22.764569,,,,,,,,,,,,,
56.416177,-22.764569,,,,,,,,,,,,,
58.273157,-22.764569,,,,,,,,,,,,,
60.130136,-22.764569,,,,,,,,,,,,,
61.987123,-22.764569,,,,,,,,,,,,,
63.844102,-22.764569,,,,,,,,,,,,,
65.701082,-22.764569,,,,,,,,,,,,,
67.558061,-22.764569,,,,,,,,,,,,,
69.415041,-22.764569,,,,,,,,,,,,,
71.27202,-22.764569,,,,,,,,,,,,,
73.128999,-22.764569,,,,,,,,,,,,,
74.985979,-22.764569,,,,,,,,,,,,,
76.842958,-22.764569,,,,,,,,,,,,,
78.699937,-22.764569,,,,,,,,,,,,,
80.556917,-22.764569,,,,,,,,,,,,,
82.413896,-22.764569,,,,,,,,,,,,,
84.270876,-22.764569,,,,,,,,,,,,,
86.127855,-22.764569,,,,,,,,,,,,,
87.984834,-22.764569,,,,,,,,,,,,,
89.841814,-22.764569,,,,,,,,,,,,,
91.698793,-22.764569,,,,,,,,,,,,,
93.555772,-22.764569,,,,,,,,,,,,,
95.412752,-22.764569,,,,,,,,,,,,,
97.269731,-22.764569,,,,,,,,,,,,,
99.126711,-22.764569,,,,,,,,,,,,,
100.983705,-22.764569,,,,,,,,,,,,,
102.840685,-22.764569,,,,,,,,,,,,,
104.697664,-22.764569,,,,,,,,,,,,,
106.554643,-22.764569,,,,,,,,,,,,,
108.411623,-22.764569,,,,,,,,,,,,,
110.268602,-22.764569,,,,,,,,,,,,,
112.125581,-22.764569,,,,,,,,,,,,,
113.982561,-22.764569,,,,,,,,,,,,,
115.83954,-22.764569,,,,,,,,,,,,,
117.696519,-22.764569,,,,,,,,,,,,,
119.553499,-22.764569,,,,,,,,,,,,,
121.410478,-22.764569,,,,,,,,,,,,,
123.267458,-22.764569,,,,,,,,,,,,,
125.124437,-22.764569,,,,,,,,,,,,,
126.981416,-22.764569,,,,,,,,,,,,,
128.838396,-22.764569,,,,,,,,,,,,,
130.695375,-22.764569,,,,,,,,,,,,,
132.552354,-22.764569,,,,,,,,,,,,,
134.409334,-22.764569,,,,,,,,,,,,,
136.266313,-22.764569,,,,,,,,,,,,,
138.123285,-22.764569,,,,,,,,,,,,,
139.98028,-22.764569,,,,,,,,,,,,,
141.837244,-22.764569,,,,,,,,,,,,,
143.694238,-22.764569,,,,,,,,,,,,,
145.551202,-22.764569,,,,,,,,,,,,,
147.408197,-22.764569,,,,,,,,,,,,,
149.265192,-22.764569,,,,,,,,,,,,,
151.122156,-22.764569,,,,,,,,,,,,,
152.97915,-22.764569,,,,,,,,,,,,,
154.836115,-22.764569,,,,,,,,,,,,,
156.693109,-22.764569,,,,,,,,,,,,,
158.550073,-22.764569,,,,,,,,,,,,,
160.407068,-22.764569,,,,,,,,,,,,,
162.264032,-22.764569,,,,,,,,,,,,,
164.121027,-22.764569,,,,,,,,,,,,,
165.977991,-22.764569,,,,,,,,,,,,,
167.834985,-22.764569,,,,,,,,,,,,,
169.691949,-22.764569,,,,,,,,,,,,,
171.548944,-22.764569,,,,,,,,,,,,,
173.405908,-22.764569,,,,,,,,,,,,,
175.262903,-22.764569,,,,,,,,,,,,,
177.119867,-22.764569,,,,,,,,,,,,,
178.976862,-22.764569,,,,,,,,,,,,,
180.833826,-22.764569,,,,,,,,,,,,,
182.69082,-22.764569,,,,,,,,,,,,,
184.547784,-22.764569,,,,,,,,,,,,,
186.404779,-22.764569,,,,,,,,,,,,,
188.261743,-22.764569,,,,,,,,,,,,,
190.118738,-22.764569,,,,,,,,,,,,,
191.975702,-22.764569,,,,,,,,,,,,,
193.832697,-22.764569,,,,,,,,,,,,,
195.689661,-22.764569,,,,,,,,,,,,,
197.546655,-22.764569,,,,,,,,,,,,,
199.403619,-22.764569,,,,,,,,,,,,,
201.260614,-22.764569,,,,,,,,,,,,,
203.117578,-22.764569,,,,,,,,,,,,,
204.974573,-22.764569,,,,,,,,,,,,,
206.831537,-22.764569,,,,,,,,,,,,,
208.688531,-22.764569,,,,,,,,,,,,,
210.545496,-22.764569,,,,,,,,,,,,,
212.40249,-22.764569,,,,,,,,,,,,,
214.259454,-22.764569,,,,,,,,,,,,,
216.116449,-22.764569,,,,,,,,,,,,,
217.973413,-22.764569,,,,,,,,,,,,,
219.830408,-22.764569,,,,,,,,,,,,,
221.687402,-22.764569,,,,,,,,,,,,,
223.544366,-22.764569,,,,,,,,,,,,,
225.401361,-22.764569,,,,,,,,,,,,,
227.258325,-22.764569,,,,,,,,,,,,,
229.11532,-22.764569,,,,,,,,,,,,,
230.972284,-22.764569,,,,,,,,,,,,,
232.829279,-22.764569,,,,,,,,,,,,,
234.686243,-22.764569,,,,,,,,,,,,,
236.543237,-22.764569,,,,,,,,,,,,,
238.400201,-22.764569,,,,,,,,,,,,,
240.257196,-22.764569,,,,,,,,,,,,,
242.11416,-22.764569,,,,,,,,,,,,,
243.971155,-22.764569,,,,,,,,,,,,,
245.828119,-22.764569,,,,,,,,,,,,,
247.685114,-22.764569,,,,,,,,,,,,,
249.542078,-22.764569,,,,,,,,,,,,,
251.399072,-22.764569,,,,,,,,,,,,,
253.256036,-22.764569,,,,,,,,,,,,,
255.113031,-22.764569,,,,,,,,,,,,,
256.969995,-22.764569,,,,,,,,,,,,,
258.82699,-22.764569,,,,,,,,,,,,,
260.683954,-22.764569,,,,,,,,,,,,,
262.540948,-22.764569,,,,,,,,,,,,,
264.397913,-22.764569,,,,,,,,,,,,,
266.254907,-22.764569,,,,,,,,,,,,,
268.111902,-22.764569,,,,,,,,,,,,,
269.968866,-22.764569,,,,,,,,,,,,,
271.825861,-22.764569,,,,,,,,,,,,,
273.682825,-22.764569,,,,,,,,,,,,,
275.539819,-22.764569,,,,,,,,,,,,,
277.396783,-22.764569,,,,,,,,,,,,,
279.253778,-22.764569,,,,,,,,,,,,,
281.110742,-22.764569,,,,,,,,,,,,,
282.967737,-22.764569,,,,,,,,,,,,,
284.824701,-22.764569,,,,,,,,,,,,,
286.681696,-22.764569,,,,,,,,,,,,,
288.53866,-22.764569,,,,,,,,,,,,,
290.395654,-22.764569,,,,,,,,,,,,,
292.252618,-22.764569,,,,,,,,,,,,,
294.109613,-22.764569,,,,,,,,,,,,,
295.966577,-22.764569,,,,,,,,,,,,,
297.823572,-22.764569,,,,,,,,,,,,,
299.680536,-22.764569,,,,,,,,,,,,,
301.537531,-22.764569,,,,,,,,,,,,,
303.394495,-22.764569,,,,,,,,,,,,,
305.251489,-22.764569,,,,,,,,,,,,,
307.108453,-22.764569,,,,,,,,,,,,,
308.965448,-22.764569,,,,,,,,,,,,,
310.822412,-22.764569,,,,,,,,,,,,,
312.679407,-22.764569,,,,,,,,,,,,,
314.536401,-22.764569,,,,,,,,,,,,,
316.393365,-22.764569,,,,,,,,,,,,,
318.25036,-22.764569,,,,,,,,,,,,,
320.107324,-22.764569,,,,,,,,,,,,,
321.964319,-22.764569,,,,,,,,,,,,,
323.821283,-22.764569,,,,,,,,,,,,,
325.678278,-22.764569,,,,,,,,,,,,,
327.535242,-22.764569,,,,,,,,,,,,,
329.392236,-22.764569,,,,,,,,,,,,,
331.2492,-22.764569,,,,,,,,,,,,,
333.106195,-22.764569,,,,,,,,,,,,,
334.963159,-22.764569,,,,,,,,,,,,,
336.820154,-22.764569,,,,,,,,,,,,,
338.677118,-22.764569,,,,,,,,,,,,,
340.534113,-22.764569,,,,,,,,,,,,,
342.391077,-22.764569,,,,,,,,,,,,,
344.248071,-22.764569,,,,,,,,,,,,,
346.105035,-22.764569,,,,,,,,,,,,,
347.96203,-22.764569,,,,,,,,,,,,,
349.818994,-22.764569,,,,,,,,,,,,,
351.675989,-22.764569,,,,,,,,,,,,,
353.532953,-22.764569,,,,,,,,,,,,,
355.389948,-22.764569,,,,,,,,,,,,,
357.246912,-22.764569,,,,,,,,,,,,,
359.103906,-22.764569,,,,,,,,,,,,,
360.96087,-22.764569,,,,,,,,,,,,,
362.817865,-22.764569,,,,,,,,,,,,,
364.67486,-22.764569,,,,,,,,,,,,,
366.531824,-22.764569,,,,,,,,,,,,,
368.388818,-22.764569,,,,,,,,,,,,,
370.245782,-22.764569,,,,,,,,,,,,,
372.102777,-22.764569,,,,,,,,,,,,,
373.959741,-22.764569,,,,,,,,,,,,,
375.816736,-22.764569,,,,,,,,,,,,,
377.6737,-22.764569,,,,,,,,,,,,,
379.530695,-22.764569,,,,,,,,,,,,,
381.387659,-22.764569,,,,,,,,,,,,,
383.244653,-22.764569,,,,,,,,,,,,,
385.101617,-22.764569,,,,,,,,,,,,,
386.958612,-22.764569,,,,,,,,,,,,,
388.815576,-22.764569,,,,,,,,,,,,,
390.672571,-22.764569,,,,,,,,,,,,,
392.529535,-22.764569,,,,,,,,,,,,,
394.38653,-22.764569,,,,,,,,,,,,,
396.243494,-22.764569,,,,,,,,,,,,,
398.100488,-22.764569,,,,,,,,,,,,,
399.957452,-22.764569,,,,,,,,,,,,,
401.814447,-22.764569,,,,,,,,,,,,,
403.671411,-22.764569,,,,,,,,,,,,,
405.528406,-22.764569,,,,,,,,,,,,,
407.38537,-22.764569,,,,,,,,,,,,,
409.242365,-22.764569,,,,,,,,,,,,,
411.099359,-22.764569,,,,,,,,,,,,,
412.956323,-22.764569,,,,,,,,,,,,,
414.813318,-22.764569,,,,,,,,,,,,,
416.670282,-22.764569,,,,,,,,,,,,,
418.527277,-22.764569,,,,,,,,,,,,,
420.384241,-22.764569,,,,,,,,,,,,,
422.241235,-22.764569,,,,,,,,,,,,,
424.098199,-22.764569,,,,,,,,,,,,,
425.955194,-22.764569,,,,,,,,,,,,,
427.812158,-22.764569,,,,,,,,,,,,,
429.669153,-22.764569,,,,,,,,,,,,,
431.526117,-22.764569,,,,,,,,,,,,,
433.383112,-22.764569,,,,,,,,,,,,,
435.240076,-22.764569,,,,,,,,,,,,,
437.09707,-22.764569,,,,,,,,,,,,,
438.954034,-22.764569,,,,,,,,,,,,,
440.811029,-22.764569,,,,,,,,,,,,,
442.667993,-22.764569,,,,,,,,,,,,,
444.524988,-22.764569,,,,,,,,,,,,,
