X,Y,Z,Cf,Cfx,Cfy,Cfz,Ds,Theta,Pixels/in
-56.6606,1.1173,0.0927,0.0121,0.0121,0.0002,0.0,9.99,9.28,85.8
-56.6255,0.2974,0.0908,0.011,0.011,0.0002,0.0,9.1,8.3,85.8
-56.5498,-2.0173,0.0862,0.013,0.013,0.0004,0.0,10.72,6.74,85.85
-56.5498,2.0173,0.0862,0.013,0.013,-0.0004,0.0,10.72,6.74,85.85
-56.5318,-6.2527,0.0872,0.0129,0.0128,0.0004,0.0,10.71,9.71,86.56
-56.5318,6.2527,0.0872,0.0129,0.0128,-0.0004,0.0,10.71,9.71,86.56
-56.5093,-2.4223,0.0857,0.0115,0.0115,0.0004,0.0,9.5,6.76,85.84
-56.5093,2.4223,0.0857,0.0115,0.0115,-0.0004,0.0,9.5,6.76,85.84
-56.5066,-5.4741,0.0864,0.0113,0.0112,0.0009,0.0,9.35,8.71,86.46
-56.5066,5.4741,0.0864,0.0113,0.0112,-0.0009,0.0,9.35,8.71,86.46
-56.4759,-3.2081,0.085,0.0114,0.0114,-0.0002,0.0,9.39,6.93,85.91
-56.4759,3.2081,0.085,0.0114,0.0114,0.0002,0.0,9.39,6.93,85.91
-54.5576,4.2973,0.0974,0.0124,0.0124,0.0002,0.0,9.93,16.24,82.23
-54.2876,0.0048,0.0881,0.0133,0.0133,0.0007,0.0,10.58,11.76,82.18
-54.2862,-0.8027,0.0857,0.0127,0.0127,-0.0007,0.0,10.1,11.27,82.42
-54.2603,-1.1574,0.0847,0.0115,0.0115,0.0001,0.0,9.15,11.16,82.27
-54.1914,-4.3705,0.0834,0.0111,0.0111,-0.0003,0.0,8.84,11.54,82.61
-54.1914,4.3705,0.0834,0.0111,0.0111,0.0003,0.0,8.84,11.54,82.61
-54.1612,-5.1753,0.0846,0.0124,0.0124,0.0001,0.0,9.89,12.12,82.67
-54.1612,5.1753,0.0846,0.0124,0.0124,-0.0001,0.0,9.89,12.12,82.67
-54.1398,-4.7797,0.084,0.0117,0.0117,-0.0004,0.0,9.31,11.87,82.64
-54.1398,4.7797,0.084,0.0117,0.0117,0.0004,0.0,9.31,11.87,82.64
-54.1334,-5.5967,0.0851,0.0109,0.0108,-0.0004,0.0,8.69,12.5,82.8
-54.1334,5.5967,0.0851,0.0109,0.0108,0.0004,0.0,8.69,12.5,82.8
-51.8454,-3.8751,0.0814,0.0118,0.0118,0.0002,0.0,9.0,15.5,78.3
-51.8454,3.8751,0.0814,0.0118,0.0118,-0.0002,0.0,9.0,15.5,78.3
-51.8443,-3.5618,0.0814,0.0131,0.0131,0.0002,0.0,9.95,15.42,78.29
-51.8443,3.5618,0.0814,0.0131,0.0131,-0.0002,0.0,9.95,15.42,78.29
-50.3804,-4.7905,0.0884,0.0108,0.0108,0.0005,0.0,8.09,22.09,75.67
-50.3804,4.7905,0.0884,0.0108,0.0108,-0.0005,0.0,8.09,22.09,75.67
-49.1841,0.2482,0.0822,0.0111,0.0111,0.0005,0.0,9.44,20.52,86.34
-49.1397,-0.1794,0.0816,0.0124,0.0124,0.0005,0.0,10.58,20.43,86.44
-48.9788,-3.9893,0.0785,0.0115,0.0115,-0.0006,0.0,9.82,20.47,86.64
-47.4112,3.4657,0.0806,0.0124,0.0124,-0.0002,0.0,10.41,25.08,83.75
-47.4092,-4.1301,0.0764,0.0126,0.0126,0.0011,0.0,10.7,23.06,85.14
