x_in,Cp
-9.0,0.121722177
-8.97208977,0.057349965
-8.94418335,0.0684697926
-8.91628265,0.123867705
-8.88838959,0.110011838
-8.86050892,0.0799219534
-8.83264255,0.127684444
-8.80479431,0.157147393
-8.77696419,0.100923873
-8.74915791,0.0431863219
-8.72137833,0.0661033616
-8.6936264,0.139296338
-8.66590404,0.133844033
-8.63821411,0.0938255489
-8.61056423,0.1057368
-8.58295155,0.0958958641
-8.55537891,0.0895432085
-8.52784729,0.0908222795
-8.50036335,0.0640996099
-8.47292995,0.0821524113
-8.44554424,0.122609407
-8.41820908,0.150223061
-8.39092636,0.167575553
-8.36370277,0.139977783
-8.33653832,0.149005741
-8.30943203,0.139604881
-8.28238583,0.0935025662
-8.2553997,0.0895525441
-8.22848225,0.0859578177
-8.2016325,0.0781317279
-8.1748476,0.0456946418
-8.14813042,0.0389954746
-8.12148094,0.083248578
-8.09490204,0.120813772
-8.06840134,0.136524737
-8.04197216,0.145608246
-8.01561546,0.169589132
-7.98933268,0.167511419
-7.96312332,0.114261135
-7.93698931,0.088444449
-7.91093969,0.0828174502
-7.8849659,0.0572436005
-7.85906935,0.0856225193
-7.83325005,0.112791039
-7.80750799,0.0909626931
-7.78184462,0.10055653
-7.75625944,0.1419058
-7.73076105,0.196962282
-7.70534182,0.256090075
-7.68000174,0.294891685
-7.65474081,0.253001988
-7.62955952,0.168298632
-7.60445738,0.147684962
-7.57943487,0.137383238
-7.55449152,0.117171466
-7.52962923,0.135528565
-7.50485086,0.142686367
-7.48015165,0.130392492
-7.45553112,0.149578467
-7.43098879,0.146030635
-7.40652513,0.126563668
-7.38213921,0.143989176
-7.357831,0.165031567
-7.33360004,0.179755494
-7.30944633,0.188523635
-7.28536892,0.182574868
-7.2613678,0.178556651
-7.23744202,0.16862525
-7.21359205,0.166691095
-7.18982029,0.173158541
-7.16612244,0.149002567
-7.14249802,0.130171746
-7.11894655,0.156478479
-7.09546804,0.179808438
-7.07206106,0.167489469
-7.0487256,0.146384478
-7.02546072,0.138728753
-7.00226593,0.140348345
-6.97914076,0.145583555
-6.95608473,0.150392935
-6.93309689,0.152495876
-6.91017628,0.168503538
-6.8873229,0.211707428
-6.86453581,0.240372106
-6.84181404,0.1891599
-6.8191576,0.124982506
-6.79656553,0.117766656
-6.77403688,0.131838053
-6.75157118,0.16851005
-6.72916746,0.22845158
-6.70682526,0.243024156
-6.68454409,0.21442616
-6.662323,0.187740922
-6.64016151,0.186198011
-6.61805868,0.213389024
-6.59601355,0.22950083
-6.57402611,0.207440212
-6.55209494,0.17939429
-6.53022003,0.170338407
-6.50839996,0.16724433
-6.48663473,0.170225561
-6.46492338,0.186253443
-6.44326496,0.175241187
-6.42165852,0.141844794
-6.40010595,0.155291662
-6.37860537,0.199020907
-6.35715532,0.191293955
-6.33575487,0.164377078
-6.31440306,0.196203485
-6.29310036,0.23827304
-6.27184486,0.208473161
-6.2506361,0.159883976
-6.22947407,0.160106555
-6.20835781,0.16543375
-6.1872859,0.156157151
-6.16625881,0.176713198
-6.14527512,0.206382468
-6.12433434,0.19455187
-6.10343599,0.163272485
-6.08257961,0.144084364
-6.0617671,0.127940849
-6.04099607,0.132075354
-6.02026415,0.179723114
-5.9995718,0.22641252
-5.97891808,0.223388612
-5.95830202,0.209108308
-5.93772316,0.219779834
-5.91718101,0.217415675
-5.89667511,0.179533184
-5.87620449,0.149563104
-5.85576868,0.171521947
-5.83536959,0.219227686
-5.81500578,0.247073099
-5.79467535,0.240497112
-5.77437687,0.218591437
-5.75411034,0.195804775
-5.73387527,0.184201703
-5.71367121,0.193562776
-5.6934967,0.207122847
-5.67335224,0.210624203
-5.65323639,0.192253947
-5.63315344,0.162503466
-5.61309815,0.140637487
-5.59307051,0.130426571
-5.5730691,0.106432699
-5.55309439,0.0751018003
-5.53314495,0.0739606544
-5.51322079,0.0938657895
-5.49332142,0.120511033
-5.4734478,0.13970533
-5.45359993,0.12162023
-5.43377495,0.0802198425
-5.41397285,0.0697287172
-5.39419222,0.107282698
-5.37443352,0.121225469
-5.35469532,0.0890660882
-5.3349781,0.0563324913
-5.31528187,0.0434795879
-5.29560709,0.0339624397
-5.27595138,0.01146942
-5.25631428,-0.0152146732
-5.23669481,-0.025245091
-5.21709251,-0.0110047301
-5.19750786,0.0231831111
-5.17793941,0.0619399026
-5.15838957,0.0795221254
-5.13885546,0.0573981665
-5.11933613,0.0127855763
-5.09983206,-0.0172240622
-5.08034134,-0.026014857
-5.06086445,-0.0430845506
-5.04140091,-0.0566382371
-5.0219512,-0.0430871472
-5.00251484,-0.00214929064
-4.98308992,0.0351076238
-4.96367645,0.0375366174
-4.94427347,0.00718279323
-4.92488146,-0.0280329194
-4.90549898,-0.0330366902
-4.88612652,-0.0385442525
-4.86676454,-0.0578276738
-4.8474102,-0.0743397027
-4.82806444,-0.0722523257
-4.80872631,-0.0793113858
-4.78939486,-0.10115996
-4.77007055,-0.109101549
-4.7507534,-0.0724730194
-4.73144198,-0.0341151357
-4.71213627,-0.0231070667
-4.69283533,-0.0399227552
-4.67353868,-0.0555729568
-4.65424585,-0.0640308037
-4.63495684,-0.0639434233
-4.61567163,-0.0608584285
-4.59638882,-0.0616928413
-4.57710838,-0.0730164126
-4.55782986,-0.0825494379
-4.53855228,-0.0850952789
-4.51927614,-0.104733899
-4.5,-0.150247112
-4.5,-0.150247112
-4.48038292,-0.179733306
-4.46076536,-0.166895941
-4.44114733,-0.140872166
-4.42152739,-0.14865163
-4.40190554,-0.184281036
-4.3822813,-0.2079041
-4.36265421,-0.207443148
-4.34302378,-0.185710654
-4.32338953,-0.174110934
-4.30375099,-0.18805936
-4.28410769,-0.221437395
-4.26445866,-0.229591921
-4.24480391,-0.201635152
-4.22514296,-0.160256684
-4.20547581,-0.159558594
-4.18580055,-0.19022961
-4.16611815,-0.225292087
-4.14642715,-0.236600235
-4.12672806,-0.246646792
-4.10701895,-0.258897304
-4.0873003,-0.269677877
-4.06757164,-0.268531144
-4.04783249,-0.283956349
-4.02808142,-0.322805524
-4.0083189,-0.35254997
-3.9885447,-0.349120378
-3.96875787,-0.331324846
-3.94895721,-0.324621081
-3.92914295,-0.326876938
-3.90931463,-0.333700478
-3.88947225,-0.347186595
-3.86961341,-0.369070321
-3.84973931,-0.38953945
-3.82984924,-0.417084932
-3.80994248,-0.430746406
-3.79001784,-0.424730778
-3.77007556,-0.396967292
-3.75011516,-0.369104296
-3.73013616,-0.351465017
-3.71013737,-0.358522594
-3.69011831,-0.382173151
-3.67007923,-0.409336448
-3.65001941,-0.431792945
-3.62993813,-0.460059315
-3.60983396,-0.491556406
-3.58970738,-0.506997943
-3.56955814,-0.492914349
-3.54938555,-0.453467071
-3.52918792,-0.434054792
-3.50896525,-0.448880017
-3.48871756,-0.469316989
-3.46844411,-0.475527108
-3.44814467,-0.491335154
-3.42781711,-0.527890205
-3.40746212,-0.540104151
-3.387079,-0.533624709
-3.36666751,-0.539638579
-3.34622717,-0.562267184
-3.3257556,-0.556945622
-3.30525351,-0.53103292
-3.28472066,-0.529397845
-3.26415634,-0.561344922
-3.24356008,-0.610405684
-3.22293067,-0.636502624
-3.20226669,-0.626367331
-3.18156886,-0.604389966
-3.1608367,-0.62242043
-3.14006925,-0.676641226
-3.11926627,-0.713880718
-3.09842634,-0.711903989
-3.07754826,-0.680528521
-3.05663252,-0.630561531
-3.03567839,-0.599268675
-3.01468539,-0.633271635
-2.99365306,-0.700450778
-2.97258019,-0.717331648
-2.95146608,-0.67810154
-2.93030906,-0.666416585
-2.90911007,-0.703200817
-2.88786817,-0.727821827
-2.86658263,-0.715246379
-2.84525275,-0.704537392
-2.82387805,-0.714430988
-2.80245757,-0.756003797
-2.78099084,-0.79942286
-2.75947619,-0.813303053
-2.73791337,-0.784967601
-2.71630216,-0.758935928
-2.69464183,-0.754596233
-2.67293143,-0.758272469
-2.65117073,-0.752361536
-2.62935877,-0.765530288
-2.60749459,-0.804550707
-2.58557773,-0.871018767
-2.56360745,-0.913324177
-2.54158306,-0.902693987
-2.51950359,-0.893515945
-2.49736857,-0.940808237
-2.47517729,-0.983079791
-2.45292878,-0.965277314
-2.43062234,-0.957885981
-2.40825725,-1.00455856
-2.38583279,-1.0486381
