# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
0                      	N/A	N/A	N/A	N/A
1                      	9.999999991924937e-01	1.000000000000000e+00	1.000000000000000e+00	9.999999999771333e-01	1.647662176029931e-01
2                      	6.783921416883326e-01	5.606044759150267e-01	2.210949037933783e-01	7.511203001571305e-01	6.059342181771860e-02
3                      	3.069641155024947e-01	1.494444062785712e-01	2.328213295936314e-01	1.884623174467334e-01	2.141404524438315e-01
4                      	1.579935530795430e-01	7.642212501602767e-02	2.159641745415867e-01	1.121139721502238e-01	8.359551308766262e-02
5                      	2.847728361348772e-01	1.992071347526476e-01	1.084103516196377e-01	6.480676266175092e-02	2.563816438222768e-02
6                      	7.545184997500710e-02	1.750188566659139e-01	3.965541845264723e-01	7.199040999911999e-02	1.162748813679168e-02
7                      	1.099079271228827e-01	1.315818936822716e-01	2.320309996437999e-01	6.029389704963208e-02	9.597891393219307e-03
8                      	7.731895191496868e-02	1.117662576430158e-01	1.762331758327629e-01	4.958424799118184e-02	9.005151811649742e-03
9                      	1.657474688914947e-02	5.223996006932283e-02	4.865473527340397e-01	3.564229117972895e-02	6.915639445544443e-03
10                     	4.579805135486393e-02	3.798705961997013e-02	2.295153038103646e-01	3.239635107339468e-02	4.821974591334133e-03
11                     	2.047058232152178e-02	4.418600389290417e-02	2.935286541513570e-01	3.494710396551536e-02	4.367996771654335e-03
12                     	1.806919446207276e-02	3.136346428770730e-02	2.957944561931302e-01	3.215437171971765e-02	4.250683823534350e-03
13                     	1.877393333034867e-02	2.632172376451538e-02	2.599911271416051e-01	3.203384135049488e-02	3.742367581191371e-03
14                     	6.023745101274196e-03	2.458789449486652e-02	4.976176851537083e-01	3.276040106303979e-02	3.364345049127586e-03
15                     	9.198555967682764e-03	2.008214596818910e-02	2.404845269415154e-01	3.505914173121596e-02	3.361041778969126e-03
16                     	6.153225535851320e-03	1.829788224189300e-02	2.978303896783487e-01	3.597497762229176e-02	3.239075020357595e-03
17                     	5.073390185090835e-03	1.584814182927572e-02	3.705993352233284e-01	3.601464772047974e-02	3.115068804879673e-03
18                     	6.128352312430185e-03	1.345653313582438e-02	2.384502269062345e-01	3.600512723035075e-02	3.017635005680090e-03
19                     	4.196803256611728e-03	1.343518778503860e-02	3.404736368208592e-01	3.586953037741198e-02	2.729616071298967e-03
20                     	3.540393700656559e-03	1.386279658823759e-02	2.422991561135798e-01	3.523738510365285e-02	3.064645948261186e-03
21                     	3.464613376334956e-03	1.401584380923502e-02	2.018258608699412e-01	3.498173056677103e-02	2.847792712366569e-03
22                     	3.474066751520215e-03	1.352935349467463e-02	2.415487007360007e-01	3.488295785710200e-02	2.707979297251366e-03
23                     	3.627857332043990e-03	1.300270935307925e-02	2.351198989422685e-01	3.494768979171323e-02	2.629716686187930e-03
24                     	3.488526165894690e-03	1.280582925248840e-02	2.334819179419927e-01	3.527754366869786e-02	2.424595429988493e-03
25                     	3.302312161821835e-03	1.278817343954034e-02	1.906480260264158e-01	3.534673385261786e-02	2.430904479227712e-03
