# Residuals   
# Time        	Ux            	Uz            	p             	k             	omega         
0             	N/A	N/A	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	2.057582e-01
2             	5.164278e-01	6.883690e-01	5.350852e-02	1.397573e-01	1.198096e-02
3             	1.408707e-01	5.153378e-01	6.162669e-02	5.637945e-02	5.691330e-03
4             	9.124986e-02	4.621399e-01	6.688625e-02	3.698293e-02	1.737255e-02
5             	8.082066e-02	4.179198e-01	7.286510e-02	2.584022e-02	8.381610e-03
6             	6.814024e-02	3.760257e-01	7.600233e-02	1.907257e-02	8.882245e-03
7             	5.341313e-02	3.304306e-01	7.895036e-02	1.485190e-02	5.949834e-03
8             	4.537141e-02	2.885821e-01	8.178255e-02	1.223535e-02	6.076490e-03
9             	3.851895e-02	2.507031e-01	8.750532e-02	1.044079e-02	4.532641e-03
10            	3.330545e-02	2.219779e-01	9.027531e-02	9.162693e-03	3.305929e-03
11            	2.893773e-02	1.929719e-01	9.204128e-02	8.214679e-03	2.807007e-03
12            	2.526807e-02	1.701204e-01	9.155615e-02	7.428443e-03	2.497013e-03
13            	2.188624e-02	1.458225e-01	9.238909e-02	6.845546e-03	2.236374e-03
14            	1.963816e-02	1.289879e-01	9.039414e-02	6.337319e-03	1.726251e-03
15            	1.688310e-02	1.106931e-01	9.212949e-02	5.905742e-03	1.498480e-03
16            	1.477965e-02	9.764771e-02	8.873682e-02	5.559688e-03	1.276672e-03
17            	1.292479e-02	8.481812e-02	8.857642e-02	5.323430e-03	1.069773e-03
18            	1.175597e-02	7.501290e-02	8.607745e-02	5.183149e-03	9.662397e-04
19            	1.069192e-02	6.620204e-02	8.544647e-02	5.034138e-03	8.070405e-04
20            	1.000405e-02	5.974576e-02	8.161068e-02	4.912808e-03	6.985633e-04
21            	9.206958e-03	5.387311e-02	8.225777e-02	4.892034e-03	6.037245e-04
22            	8.631381e-03	4.922988e-02	8.034770e-02	4.844990e-03	5.393720e-04
23            	7.948719e-03	4.579637e-02	7.951917e-02	4.889377e-03	4.747324e-04
24            	7.406076e-03	4.236157e-02	7.756906e-02	4.925758e-03	4.135270e-04
25            	6.932278e-03	4.015594e-02	7.635290e-02	4.946900e-03	3.731740e-04
26            	6.527436e-03	3.773659e-02	7.429113e-02	4.856740e-03	3.362444e-04
27            	6.123364e-03	3.551866e-02	7.160689e-02	4.741571e-03	3.204106e-04
28            	5.749879e-03	3.352994e-02	7.011814e-02	4.609075e-03	3.093919e-04
29            	5.399746e-03	3.205778e-02	6.827013e-02	4.526984e-03	2.951495e-04
30            	5.073618e-03	3.054952e-02	6.729442e-02	4.490653e-03	2.881118e-04
31            	4.755656e-03	2.897726e-02	6.630951e-02	4.510139e-03	2.751680e-04
32            	4.518516e-03	2.747750e-02	6.587223e-02	4.571361e-03	2.716841e-04
33            	4.398158e-03	2.570252e-02	6.473586e-02	4.642262e-03	2.704928e-04
34            	4.241172e-03	2.522212e-02	6.414973e-02	4.733441e-03	2.697118e-04
35            	4.253455e-03	2.460060e-02	6.368473e-02	4.802525e-03	2.715905e-04
36            	4.218298e-03	2.483964e-02	6.348234e-02	4.929163e-03	2.781666e-04
37            	4.328348e-03	2.482441e-02	6.349643e-02	5.090121e-03	2.835486e-04
38            	4.397003e-03	2.572184e-02	6.410996e-02	5.324119e-03	2.926165e-04
39            	4.608105e-03	2.618082e-02	6.437143e-02	5.588346e-03	2.964860e-04
40            	4.832114e-03	2.679676e-02	6.616515e-02	5.882765e-03	3.092461e-04
41            	5.014887e-03	2.818348e-02	6.582401e-02	6.301914e-03	3.075524e-04
