# Residuals   
# Time        	omega         
0             	N/A
1             	3.267971e-04
2             	5.264391e-04
3             	5.586421e-04
4             	3.924599e-04
5             	2.977026e-04
6             	2.349922e-04
7             	1.916991e-04
8             	1.613443e-04
9             	1.390527e-04
10            	1.221844e-04
11            	1.091335e-04
12            	9.885282e-05
13            	9.061008e-05
14            	8.388517e-05
15            	7.830783e-05
16            	7.361202e-05
17            	6.960117e-05
18            	6.613389e-05
19            	6.309913e-05
20            	6.041286e-05
21            	5.801126e-05
22            	5.584929e-05
23            	5.388778e-05
24            	5.209135e-05
25            	5.043310e-05
26            	4.889349e-05
27            	4.745814e-05
28            	4.611406e-05
29            	4.484972e-05
30            	4.365589e-05
31            	4.252481e-05
32            	4.145069e-05
33            	4.042828e-05
34            	3.945199e-05
35            	3.851862e-05
36            	3.762481e-05
37            	3.676787e-05
38            	3.594467e-05
39            	3.515326e-05
40            	3.439088e-05
41            	3.365602e-05
42            	3.294698e-05
43            	3.226274e-05
44            	3.160105e-05
45            	3.096115e-05
46            	3.034215e-05
47            	2.974222e-05
48            	2.916102e-05
49            	2.859719e-05
50            	2.804991e-05
51            	2.751841e-05
52            	2.700205e-05
53            	2.649975e-05
54            	2.601142e-05
55            	2.553637e-05
56            	2.507448e-05
57            	2.462430e-05
58            	2.418650e-05
59            	2.375954e-05
60            	2.334314e-05
61            	2.293660e-05
62            	2.254071e-05
63            	2.215374e-05
64            	2.177573e-05
65            	2.140643e-05
66            	2.104597e-05
67            	2.069347e-05
68            	2.034930e-05
69            	2.001250e-05
70            	1.968359e-05
71            	1.936170e-05
72            	1.904672e-05
73            	1.873831e-05
74            	1.843723e-05
75            	1.814229e-05
76            	1.785372e-05
77            	1.757085e-05
78            	1.729447e-05
79            	1.702314e-05
80            	1.675764e-05
81            	1.649734e-05
82            	1.624268e-05
83            	1.599251e-05
84            	1.574792e-05
85            	1.550770e-05
86            	1.527301e-05
87            	1.504215e-05
88            	1.481602e-05
89            	1.459396e-05
90            	1.437671e-05
91            	1.416325e-05
92            	1.395404e-05
93            	1.374851e-05
94            	1.354709e-05
95            	1.334910e-05
96            	1.315497e-05
97            	1.296427e-05
98            	1.277725e-05
99            	1.259313e-05
100           	1.241327e-05
101           	1.223602e-05
102           	1.206171e-05
103           	1.189049e-05
104           	1.172268e-05
105           	1.155767e-05
106           	1.139550e-05
107           	1.123597e-05
108           	1.107945e-05
109           	1.092576e-05
110           	1.077445e-05
111           	1.062581e-05
112           	1.047986e-05
113           	1.033590e-05
114           	1.019458e-05
115           	1.005584e-05
116           	9.919058e-06
117           	9.784778e-06
118           	9.652854e-06
119           	9.523048e-06
120           	9.395604e-06
121           	9.269546e-06
122           	9.146027e-06
123           	9.024119e-06
124           	8.904465e-06
125           	8.786524e-06
126           	8.670626e-06
127           	8.556667e-06
128           	8.444316e-06
129           	8.333607e-06
130           	8.225216e-06
131           	8.117715e-06
132           	8.012230e-06
133           	7.908309e-06
134           	7.806476e-06
135           	7.705497e-06
136           	7.606425e-06
137           	7.508765e-06
138           	7.412879e-06
139           	7.318158e-06
140           	7.225522e-06
141           	7.133568e-06
142           	7.043629e-06
143           	6.954610e-06
144           	6.867219e-06
145           	6.780991e-06
146           	6.696432e-06
147           	6.612618e-06
148           	6.530557e-06
149           	6.449543e-06
150           	6.370008e-06
151           	6.291823e-06
152           	6.214763e-06
153           	6.138482e-06
154           	6.063811e-06
155           	5.990060e-06
156           	5.917658e-06
157           	5.846273e-06
158           	5.776094e-06
159           	5.706704e-06
160           	5.638739e-06
161           	5.571525e-06
162           	5.506208e-06
163           	5.440903e-06
164           	5.376694e-06
165           	5.313453e-06
166           	5.251506e-06
167           	5.190491e-06
168           	5.130131e-06
169           	5.070984e-06
170           	5.012936e-06
171           	4.955213e-06
172           	4.898567e-06
173           	4.842997e-06
174           	4.787890e-06
175           	4.734431e-06
176           	4.681456e-06
177           	4.629114e-06
178           	4.577185e-06
179           	4.526258e-06
180           	4.476296e-06
181           	4.426888e-06
182           	4.378359e-06
183           	4.330413e-06
184           	4.282893e-06
185           	4.236994e-06
186           	4.191320e-06
187           	4.145888e-06
188           	4.101093e-06
189           	4.057481e-06
190           	4.013891e-06
191           	3.971667e-06
192           	3.929592e-06
193           	3.888217e-06
194           	3.847534e-06
195           	3.807813e-06
196           	3.767942e-06
197           	3.728789e-06
198           	3.690428e-06
199           	3.652684e-06
200           	3.615618e-06
201           	3.578468e-06
202           	3.542181e-06
203           	3.506326e-06
204           	3.471464e-06
205           	3.436384e-06
206           	3.402475e-06
207           	3.368572e-06
208           	3.335776e-06
209           	3.302440e-06
210           	3.269649e-06
211           	3.237272e-06
212           	3.205855e-06
213           	3.174783e-06
214           	3.143866e-06
215           	3.113206e-06
216           	3.083852e-06
217           	3.053965e-06
218           	3.024561e-06
219           	2.996203e-06
220           	2.967646e-06
221           	2.939568e-06
222           	2.912013e-06
223           	2.884441e-06
224           	2.857348e-06
225           	2.831308e-06
226           	2.804880e-06
227           	2.779017e-06
228           	2.753262e-06
229           	2.727944e-06
230           	2.702966e-06
231           	2.678261e-06
232           	2.654319e-06
233           	2.630463e-06
234           	2.606606e-06
235           	2.583126e-06
236           	2.559875e-06
237           	2.537854e-06
238           	2.514950e-06
239           	2.492695e-06
240           	2.470650e-06
241           	2.449584e-06
242           	2.427983e-06
243           	2.406668e-06
244           	2.385508e-06
245           	2.365445e-06
246           	2.344837e-06
247           	2.324595e-06
248           	2.304389e-06
249           	2.285436e-06
250           	2.265565e-06
251           	2.246254e-06
252           	2.227013e-06
253           	2.208576e-06
254           	2.189527e-06
255           	2.171318e-06
256           	2.153021e-06
257           	2.135509e-06
258           	2.117385e-06
259           	2.099620e-06
260           	2.082016e-06
261           	2.064909e-06
262           	2.048374e-06
263           	2.031663e-06
264           	2.015095e-06
265           	1.998309e-06
266           	1.981880e-06
267           	1.965833e-06
268           	1.949496e-06
269           	1.934010e-06
270           	1.918290e-06
271           	1.902848e-06
272           	1.887190e-06
273           	1.871928e-06
274           	1.856847e-06
275           	1.841817e-06
276           	1.827312e-06
277           	1.812553e-06
278           	1.798872e-06
279           	1.784326e-06
280           	1.769799e-06
281           	1.756165e-06
282           	1.741987e-06
283           	1.728348e-06
284           	1.714370e-06
285           	1.700854e-06
286           	1.687643e-06
287           	1.674359e-06
288           	1.661269e-06
289           	1.648088e-06
290           	1.635326e-06
291           	1.622518e-06
292           	1.609659e-06
293           	1.597242e-06
294           	1.585277e-06
295           	1.572531e-06
296           	1.560502e-06
297           	1.548374e-06
298           	1.536294e-06
299           	1.524522e-06
300           	1.512914e-06
301           	1.501091e-06
302           	1.489767e-06
303           	1.478625e-06
304           	1.466957e-06
305           	1.456663e-06
306           	1.445494e-06
307           	1.434157e-06
308           	1.423284e-06
309           	1.412869e-06
310           	1.401835e-06
311           	1.391276e-06
312           	1.381010e-06
313           	1.370334e-06
314           	1.360026e-06
315           	1.349668e-06
316           	1.339304e-06
317           	1.329394e-06
318           	1.319673e-06
319           	1.309844e-06
320           	1.300450e-06
321           	1.290656e-06
322           	1.280586e-06
323           	1.271135e-06
324           	1.261827e-06
325           	1.252551e-06
326           	1.243044e-06
327           	1.234027e-06
328           	1.225141e-06
329           	1.215994e-06
330           	1.207297e-06
331           	1.198244e-06
332           	1.189291e-06
333           	1.180916e-06
