# Residuals            
# Time                 	Ux                     	Uy                     	p                      	k                      	omega                  
0                      	N/A	N/A	N/A	N/A
1                      	9.999999984727727e-01	1.000000000000000e+00	1.000000000000000e+00	9.999999999606999e-01	1.682888079145669e-01
2                      	8.007404917383819e-01	8.589291938438344e-01	9.412710134869805e-01	9.405992547457500e-01	2.721571159534284e-01
3                      	1.656169402966435e-01	1.395694644388238e-01	9.447208753342772e-01	1.334250333705291e-01	3.287296382661899e-01
4                      	4.682049065021111e-01	5.873566136778781e-01	8.015557989214216e-01	3.767127589563097e-01	1.943198024372687e-01
5                      	3.762280445989301e-01	3.938044563918391e-01	9.146768009133989e-01	3.556357313763395e-01	1.163310290991014e-01
6                      	4.036039588509560e-01	4.747791275845244e-01	6.932784825662077e-01	2.345547177555638e-01	1.419736010527650e-01
7                      	4.396420152734116e-01	5.295360433821862e-01	8.773095446794003e-01	3.950065704152303e-01	1.459618676256992e-01
8                      	2.975986342860039e-01	2.954411363496866e-01	8.445858678837035e-01	3.037797255260510e-01	1.239833827257592e-01
9                      	4.114206964523403e-01	4.664175346982410e-01	7.685785626453685e-01	2.606302566615575e-01	1.505355644268415e-01
10                     	3.672206186056937e-01	3.776603633700901e-01	8.572933904206161e-01	2.621437554308281e-01	1.146511648135315e-01
11                     	3.438419691363745e-01	3.724595500931228e-01	7.522190720189235e-01	1.924718356492532e-01	9.857778948759047e-02
12                     	3.614734026117592e-01	4.685075241132474e-01	7.843545979788692e-01	2.121484811967402e-01	8.964309806526036e-02
13                     	2.596883734782200e-01	3.088834826775526e-01	7.844264842564734e-01	1.674155485676252e-01	7.769232355379650e-02
14                     	3.003732812268161e-01	3.574258882533063e-01	7.175483383916345e-01	1.362865126884589e-01	6.009999408453925e-02
15                     	2.366416058694326e-01	2.960382961591764e-01	8.009650143055818e-01	1.082318903441821e-01	4.414814162359378e-02
16                     	1.988139066350342e-01	2.356763193716890e-01	7.416833668655237e-01	8.830353247363426e-02	2.999991713203940e-02
17                     	2.066846740771607e-01	2.801280599862597e-01	7.000165104446835e-01	1.007766822407514e-01	2.510221898653247e-02
18                     	1.266434878675927e-01	1.804595076590076e-01	7.896342908737527e-01	7.972535483124923e-02	1.838501225301213e-02
19                     	1.065299841690217e-01	1.503311546322075e-01	7.188002095040859e-01	6.524257279637692e-02	1.445659801625178e-02
20                     	1.024182655540625e-01	1.584343630722798e-01	6.641988520909310e-01	6.122033274404408e-02	1.241160730893252e-02
21                     	7.105286545995906e-02	1.012666198063970e-01	7.347207605864844e-01	5.377767709990586e-02	9.748906214997275e-03
22                     	6.578359521932010e-02	8.634295377848633e-02	6.802281241139818e-01	4.971590801395374e-02	8.322510156307977e-03
23                     	5.777511303105250e-02	8.143037485900674e-02	6.543331626281357e-01	4.805193824675386e-02	7.156313542762045e-03
24                     	4.425361522089764e-02	6.219829377476419e-02	6.450219025006044e-01	4.633123130413930e-02	6.400897084037087e-03
25                     	4.159432305988838e-02	5.834916204617770e-02	5.877839263435977e-01	4.338529145257874e-02	5.761877227292638e-03
26                     	3.853436704325516e-02	5.221609617474002e-02	5.831355588667648e-01	4.036219858724690e-02	5.293590163924220e-03
27                     	3.432821182585377e-02	4.271214703596675e-02	5.611944878606158e-01	3.808209719315088e-02	4.942694830635148e-03
28                     	3.388901397409765e-02	3.992968238299022e-02	5.018788281844347e-01	3.669348012636831e-02	4.593898426200499e-03
29                     	3.291887744469576e-02	3.872436519566170e-02	4.679766677209456e-01	3.573636868926260e-02	4.409289351089590e-03
30                     	3.079200657032484e-02	3.717012786380552e-02	4.403519139682764e-01	3.530516139204708e-02	4.185391143239301e-03
31                     	2.935262880987824e-02	3.563994421635433e-02	3.865957864755766e-01	3.468924589709414e-02	4.013858761384478e-03
32                     	2.840006357496991e-02	3.459289816173033e-02	3.515503789047411e-01	3.405856364040569e-02	3.777483570408233e-03
33                     	2.767350444906687e-02	3.355550277169719e-02	3.253868013889157e-01	3.309785757636997e-02	3.548354003781611e-03
34                     	2.692295694699796e-02	3.303329934922725e-02	3.084147233797774e-01	3.246164811284472e-02	3.327923582337600e-03
35                     	2.600856375991284e-02	3.277280046233045e-02	2.787005788667345e-01	3.188411079587800e-02	3.175403258098860e-03
36                     	2.512661243995696e-02	3.230267685881315e-02	2.480334555433978e-01	3.130593590417733e-02	3.058824049518296e-03
37                     	2.449025690969133e-02	3.173756968981283e-02	2.254133684901148e-01	3.047434093698112e-02	2.974500314457490e-03
38                     	2.401540585746136e-02	3.120510666317047e-02	2.134163626221380e-01	2.995026722305133e-02	2.850031441542973e-03
39                     	2.363258093772659e-02	3.073625539348528e-02	2.062071352153406e-01	2.938410085070301e-02	2.718267760361187e-03
40                     	2.327415726681608e-02	3.039726713921536e-02	1.950612133105930e-01	2.874528384610963e-02	2.615360303099933e-03
41                     	2.295847790884264e-02	2.995015226850230e-02	1.870713155959096e-01	2.832413288565975e-02	2.640756835962992e-03
42                     	2.260536765961949e-02	2.950706687185817e-02	1.836608210847246e-01	2.790876565120240e-02	2.521359767420539e-03
43                     	2.222547371810699e-02	2.925245671938050e-02	1.798784402422094e-01	2.743046252712077e-02	2.314373007877971e-03
44                     	2.180944198449106e-02	2.917471541981755e-02	1.765286852278317e-01	2.701661162906294e-02	2.222574465133218e-03
45                     	2.132729486428259e-02	2.924290134220806e-02	1.691840567879624e-01	2.676791136979182e-02	2.143441380980412e-03
46                     	2.091884795113058e-02	2.915915067975587e-02	1.629073565480990e-01	2.650635233221224e-02	2.070993496079617e-03
47                     	2.057016410132734e-02	2.902600690901099e-02	1.589690587803440e-01	2.617843577445967e-02	2.001231906571846e-03
48                     	2.024916362590911e-02	2.877096075689438e-02	1.538949468480691e-01	2.556922762286322e-02	1.922628111275140e-03
49                     	1.996410852306538e-02	2.851975262966567e-02	1.494234146047779e-01	2.504600439194117e-02	1.849450189847062e-03
50                     	1.967857839267778e-02	2.828466360641655e-02	1.483975560628563e-01	2.491859066707852e-02	1.778276018694037e-03
51                     	1.940773414911010e-02	2.810227862041573e-02	1.506623838439739e-01	2.486124960854014e-02	1.714288301084244e-03
52                     	1.916350855247654e-02	2.794402804477543e-02	1.561220519308767e-01	2.474824611201758e-02	1.655995122889143e-03
53                     	1.896090592613652e-02	2.770739928479466e-02	1.641151084543516e-01	2.451235429475222e-02	1.610329178527786e-03
54                     	1.875992292612453e-02	2.741041509170766e-02	1.707140540325561e-01	2.437337268776198e-02	1.586966470229101e-03
55                     	1.860560209079188e-02	2.705393210559292e-02	1.732656382876023e-01	2.426082152599217e-02	1.527178843033370e-03
56                     	1.848705546863545e-02	2.668270688608832e-02	1.716909765367307e-01	2.423963685823110e-02	1.503831432647762e-03
57                     	1.837925995337887e-02	2.628094754330962e-02	1.724638287119208e-01	2.405465445556111e-02	1.432266610354147e-03
58                     	1.827108910546105e-02	2.589068004566074e-02	1.725905228803696e-01	2.386642661486008e-02	1.366434587129475e-03
59                     	1.817186198438194e-02	2.553157013855361e-02	1.707571468778671e-01	2.372216850877546e-02	1.298039866570464e-03
60                     	1.806526880218354e-02	2.523351131746120e-02	1.669089382490130e-01	2.353374949173670e-02	1.245725866093122e-03
61                     	1.795263889567457e-02	2.490353597626743e-02	1.693619461438191e-01	2.331195535288451e-02	1.200355559606144e-03
62                     	1.779500840024386e-02	2.465545495650490e-02	1.758927075840105e-01	2.315285262029519e-02	1.167780195759251e-03
