x,y,um,vm,wm,pm,uu,vv,ww,uv,
-0.0518767,1.00004,0,0,0,-0.225714,0,0,0,0,
-0.0389077,1.00003,0,0,0,-0.221573,0,0,0,0,
-0.0129693,1.00001,0,0,0,-0.213289,0,0,0,0,
0.0129694,1.00001,0,0,0,-0.204188,0,0,0,0,
0.0389081,1.00003,0,0,0,-0.196222,0,0,0,0,
0.0648473,1.00005,0,0,0,-0.184597,0,0,0,0,
0.0907853,0.999878,0,0,0,-0.174951,0,0,0,0,
0.116715,0.99923,0,0,0,-0.16374,0,0,0,0,
0.142646,0.998604,0,0,0,-0.153109,0,0,0,0,
0.168552,0.997443,0,0,0,-0.145603,0,0,0,0,
0.194332,0.994597,0,0,0,-0.14079,0,0,0,0,
0.220045,0.991091,0,0,0,-0.129275,0,0,0,0,
0.245622,0.986793,0,0,0,-0.125942,0,0,0,0,
0.270846,0.980766,0,0,0,-0.117794,0,0,0,0,
0.295736,0.97349,0,0,0,-0.112714,0,0,0,0,
0.320143,0.964771,0,0,0,-0.106801,0,0,0,0,
0.34398,0.954568,0,0,0,-0.102549,0,0,0,0,
0.367315,0.943269,0,0,0,-0.0988391,0,0,0,0,
0.390128,0.930951,0,0,0,-0.0954715,0,0,0,0,
0.412447,0.91776,0,0,0,-0.093258,0,0,0,0,
0.43433,0.903859,0,0,0,-0.0914151,0,0,0,0,
0.455829,0.889374,0,0,0,-0.09034,0,0,0,0,
0.476968,0.874368,0,0,0,-0.0885772,0,0,0,0,
0.497892,0.859063,0,0,0,-0.0875281,0,0,0,0,
0.518584,0.843447,0,0,0,-0.0860065,0,0,0,0,
0.538967,0.82743,0,0,0,-0.0851239,0,0,0,0,
0.559134,0.811145,0,0,0,-0.0846152,0,0,0,0,
0.579071,0.79458,0,0,0,-0.0840791,0,0,0,0,
0.598936,0.777927,0,0,0,-0.0838607,0,0,0,0,
0.618794,0.761266,0,0,0,-0.0837338,0,0,0,0,
0.638532,0.744464,0,0,0,-0.0837555,0,0,0,0,
0.65817,0.727545,0,0,0,-0.08369,0,0,0,0,
0.677847,0.710671,0,0,0,-0.0835345,0,0,0,0,
0.697627,0.693918,0,0,0,-0.0833743,0,0,0,0,
0.717457,0.677224,0,0,0,-0.0831603,0,0,0,0,
0.737309,0.660556,0,0,0,-0.0829318,0,0,0,0,
0.75714,0.643863,0,0,0,-0.0828385,0,0,0,0,
0.777088,0.627311,0,0,0,-0.0827171,0,0,0,0,
0.79717,0.610921,0,0,0,-0.0827803,0,0,0,0,
0.817204,0.594472,0,0,0,-0.0826905,0,0,0,0,
0.837274,0.578067,0,0,0,-0.0826544,0,0,0,0,
0.85747,0.561815,0,0,0,-0.0827139,0,0,0,0,
0.877716,0.545628,0,0,0,-0.0826694,0,0,0,0,
0.898015,0.529506,0,0,0,-0.0828375,0,0,0,0,
0.918354,0.513434,0,0,0,-0.082854,0,0,0,0,
0.93872,0.497398,0,0,0,-0.0830498,0,0,0,0,
0.959113,0.481395,0,0,0,-0.0829788,0,0,0,0,
0.979572,0.465476,0,0,0,-0.0832786,0,0,0,0,
1.00006,0.449601,0,0,0,-0.0831467,0,0,0,0,
1.02056,0.433729,0,0,0,-0.0833396,0,0,0,0,
1.04108,0.417887,0,0,0,-0.08307,0,0,0,0,
1.06156,0.402004,0,0,0,-0.083211,0,0,0,0,
1.08233,0.385997,0,0,0,-0.0828049,0,0,0,0,
1.10337,0.369866,0,0,0,-0.0829156,0,0,0,0,
1.12439,0.35371,0,0,0,-0.0823644,0,0,0,0,
1.14546,0.337611,0,0,0,-0.0821043,0,0,0,0,
1.16658,0.32159,0,0,0,-0.0816164,0,0,0,0,
