# Residuals            
# Time                 	Ux                     	Uy                     	Uz                     	p                      	k                      	omega                  
0                      	N/A	N/A	N/A	N/A
1                      	9.999999999999116e-01	8.679533607000322e-01	8.703595994097153e-01	1.036030213734538e-01	9.999999999999675e-01	1.642089932460396e-01
2                      	8.621718237528931e-01	9.541478443058878e-01	9.552294502396321e-01	7.004386810003170e-01	9.529209916674283e-01	7.164851590316695e-02
3                      	1.106793060448255e-01	8.378270675975412e-01	7.069833416107232e-01	8.109675036901730e-01	2.069561478907375e-01	4.077079917026724e-03
4                      	4.782619865458311e-02	5.346987462994744e-01	7.012690347665035e-01	7.924143700266620e-01	5.311254109586048e-02	1.429521292339485e-03
5                      	3.120183726698805e-02	3.738180428683763e-01	4.662477962091415e-01	7.685759108892205e-01	1.862985267006452e-02	4.820270530050786e-04
6                      	2.392416714790533e-02	5.378302893764731e-01	4.722756594974701e-01	6.922021456895162e-01	8.560046621448316e-03	1.945556824553640e-04
7                      	1.976258311751485e-02	4.919998882305353e-01	7.703523116305084e-01	7.379869579683368e-01	4.995686610465599e-03	7.339781354196099e-05
8                      	1.701825343299205e-02	3.567025468113420e-01	4.243635317195298e-01	7.168657686216930e-01	3.386999930306746e-03	2.956288385096252e-05
9                      	1.504248852586824e-02	4.167281262046926e-01	3.507261718337319e-01	6.160508885113594e-01	2.534740035065842e-03	1.132091243526245e-05
10                     	1.351354945301974e-02	5.063425296979829e-01	5.703123426610599e-01	6.038080921803830e-01	2.079955740008884e-03	5.187686118897542e-06
11                     	1.230779726775333e-02	3.044636540640265e-01	4.733542930847397e-01	5.986930618274890e-01	1.849593109485105e-03	2.155309539366842e-06
12                     	1.131260920410920e-02	3.405369396073626e-01	3.510734772651773e-01	5.065071353797429e-01	1.762250299008851e-03	1.388800113684264e-06
13                     	1.049699428971487e-02	4.893902160774967e-01	3.573129893554324e-01	4.815515439295188e-01	1.769869260312614e-03	7.746211091813558e-07
14                     	9.785208707928926e-03	2.902110214344091e-01	4.925236369930411e-01	4.511758840859061e-01	1.832087853080949e-03	6.918813999380945e-07
15                     	9.179890431142564e-03	2.756195350013890e-01	3.739841711070687e-01	3.859734149523745e-01	1.917216132988266e-03	5.050758464003290e-07
16                     	8.650797808717140e-03	3.716458863245345e-01	3.148071423234985e-01	3.218784909691260e-01	2.009493982687303e-03	4.960187169136897e-07
17                     	8.177465115814473e-03	3.295252645649434e-01	3.399005922256349e-01	2.866997671844369e-01	2.103140678977398e-03	4.308528362839194e-07
18                     	7.745391666490787e-03	2.652932380953949e-01	3.866595925241717e-01	2.588547326265915e-01	2.196610062581609e-03	3.973455319150268e-07
19                     	7.377269464063408e-03	2.183403660093817e-01	2.840121516240254e-01	2.452169052741889e-01	2.276428474789874e-03	3.588993841845517e-07
20                     	7.015375688472810e-03	3.249672738335652e-01	3.115425792410202e-01	2.549617952150906e-01	2.354379836576470e-03	3.297328467020505e-07
21                     	6.691361446432214e-03	2.676159956295007e-01	4.342114304222925e-01	2.233016995841428e-01	2.421549575924913e-03	3.020614743718533e-07
22                     	6.411971418800503e-03	2.181475606106408e-01	3.002940907822486e-01	2.061300959119272e-01	2.485690306340970e-03	2.788666832990872e-07
23                     	6.136719949564302e-03	2.770648350321991e-01	2.329769197335290e-01	2.199045994974138e-01	2.558679923707845e-03	2.574162604921996e-07
24                     	5.876039881966701e-03	2.355326097038918e-01	2.262653256363023e-01	1.833067066121846e-01	2.626883843894222e-03	2.389420467430962e-07
25                     	5.641851813171598e-03	1.559133831867734e-01	2.058719324871877e-01	1.933590197088190e-01	2.712025480186577e-03	2.216420225274685e-07
26                     	5.416036650391099e-03	2.236100517971952e-01	2.706986327960004e-01	1.785941900684050e-01	2.843610431258692e-03	2.060616228801480e-07
27                     	5.208301916909589e-03	2.356616203120758e-01	3.258639584346520e-01	1.648782309168371e-01	3.045173505187144e-03	1.921622953421691e-07
28                     	5.010653073047483e-03	1.759748368837441e-01	1.537494687428273e-01	1.568651634741720e-01	3.347836096691808e-03	1.792357225340779e-07
