# Residuals            
# Time                 	omega                  
0                      	N/A
1                      	6.539494311979096e-07
2                      	7.922843753604733e-03
3                      	1.502516378556838e-03
4                      	4.762891366115749e-04
5                      	1.605359715089165e-04
6                      	5.641391834661575e-05
7                      	2.067047112859668e-05
8                      	7.947432080164149e-06
9                      	3.236728160071488e-06
10                     	1.411099728513102e-06
11                     	6.645180017501852e-07
12                     	3.395528105926746e-07
13                     	1.878298275286655e-07
14                     	1.115416780486668e-07
15                     	7.028367848125705e-08
16                     	4.642300395028126e-08
17                     	3.179941911481777e-08
18                     	2.239906681786258e-08
19                     	1.612067150745105e-08
20                     	1.179933626621091e-08
21                     	8.753715518371978e-09
22                     	6.566178072141643e-09
23                     	4.971013793022526e-09
24                     	3.793307395342346e-09
25                     	2.914727949429375e-09
26                     	2.252980769941664e-09
27                     	1.750612683143512e-09
28                     	1.366704175642854e-09
29                     	1.071631789338189e-09
30                     	8.435482318720868e-10
31                     	6.663576860646177e-10
32                     	5.280862267107717e-10
33                     	4.197483258759197e-10
34                     	3.345805043930981e-10
35                     	2.673702858044224e-10
36                     	2.141692965082135e-10
37                     	1.719188727792882e-10
38                     	1.382753168999432e-10
39                     	1.114177247736428e-10
40                     	8.992703802832150e-11
41                     	7.269342418157807e-11
42                     	5.884576633387414e-11
43                     	4.770065989450155e-11
44                     	3.871636153815862e-11
45                     	3.145882095305382e-11
46                     	2.558707438385437e-11
47                     	2.083041507774733e-11
48                     	1.697227323657281e-11
49                     	1.383936944917833e-11
50                     	1.129269912583883e-11
51                     	9.220566785114407e-12
52                     	7.533057327942332e-12
53                     	6.157654814449214e-12
54                     	5.035811520991318e-12
55                     	4.120155127385547e-12
56                     	3.372330339032850e-12
57                     	2.761229914364379e-12
58                     	2.261600082244841e-12
59                     	1.852918038708141e-12
60                     	1.518485787360960e-12
61                     	1.244711825569010e-12
62                     	1.020511587146022e-12
63                     	8.368514203532094e-13
64                     	6.863631172623477e-13
65                     	5.630183334646101e-13
66                     	4.619036143385906e-13
67                     	3.789931571484900e-13
68                     	3.109974742522194e-13
69                     	2.552233453760086e-13
70                     	2.094675095645175e-13
71                     	1.719274884980877e-13
72                     	1.411236417597299e-13
73                     	1.158456765568529e-13
74                     	9.509809687620888e-14
75                     	7.806988203659866e-14
76                     	6.409297620321586e-14
77                     	5.261848382717473e-14
78                     	4.319916436101018e-14
79                     	3.546589654406808e-14
80                     	2.911767853269361e-14
81                     	2.390694625454867e-14
82                     	1.962824745915029e-14
83                     	1.611466699039918e-14
84                     	1.323082968724653e-14
85                     	1.086282698375594e-14
86                     	8.918566722627651e-15
87                     	7.322055473662190e-15
88                     	6.011752035691145e-15
89                     	4.935282946885084e-15
90                     	4.052066710489891e-15
91                     	3.326724696403760e-15
92                     	2.731372314198829e-15
93                     	2.242786057773772e-15
94                     	1.841216250119947e-15
95                     	1.511616603916085e-15
96                     	1.241159406776660e-15
97                     	1.019040822917011e-15
98                     	8.367988033843207e-16
99                     	6.869996589896151e-16
100                    	5.643647327871242e-16
101                    	4.633286134588466e-16
102                    	3.805746889576150e-16
103                    	3.126212727649088e-16
104                    	2.569591662637754e-16
105                    	2.110990673529072e-16
106                    	1.735855499464416e-16
107                    	1.426408134964635e-16
108                    	1.173371038407051e-16
109                    	9.679400001045391e-17
110                    	7.971927865865698e-17
111                    	6.553561460276973e-17
112                    	5.410051300927485e-17
113                    	4.461128935268735e-17
114                    	3.689484275266061e-17
115                    	3.082397082501170e-17
116                    	2.542478245176006e-17
117                    	2.123278112909382e-17
118                    	1.754095960858249e-17
119                    	1.485806768140663e-17
120                    	1.242927793509089e-17
121                    	1.058898518672544e-17
122                    	8.790017102827073e-18
123                    	7.748424060604549e-18
124                    	6.411196309991938e-18
125                    	5.775041176651122e-18
126                    	4.916398105440690e-18
